"listing_id","business_name","input_address","census_matched_address","existing_coordinate","proposed_coordinate","distance_from_control_m","state_bounds_result","match_classification","reviewer_decision","reviewer_notes"
"01d5116b-6fc7-4a6f-909d-11d594522aab","","Smokey Park Hwy (exact street number not published in listing preview), Candler, NC","","","","","n/a","census-no-match","",""
"062c24f7-7145-41f3-97f7-431b2d8965b3","","1000 Truckstop Rd, Kenly, NC 27542","","","","","n/a","census-no-match","",""
"aa56235a-c422-4907-84f7-289e8ff3d204","","122 Truckstop Way, Jackson, GA 30233","122 TRUCK STOP WAY, JACKSON, GA, 30233","33.206476,-84.058568","33.207643994205,-84.058483999613","130.1","in-state","census-calibration-pass","",""
"06ea73db-318b-4f90-812a-353ddb570b13","","5828 Nelson A Miles Pkwy, Grayling, MI 49738","5828 NELSON A MILES PKWY, GRAYLING, MI, 49738","","44.600330203587,-84.712413293227","","in-state","census-manual-review","",""
"060c2ac4-6fdf-40d2-83e8-f888143d35dc","","1300 W Beaver St, Jacksonville, FL 32209","1300 W BEAVER ST, JACKSONVILLE, FL, 32209","","30.336378385755,-81.676130129396","","in-state","census-manual-review","",""
"44f54856-9261-45bc-94e9-26d12134b6f3","","968 Cassville White Rd NE, Cartersville, GA 30121","968 CASSVILLE WHITE RD NE, CARTERSVILLE, GA, 30121","34.272701,-84.807736","34.272704175775,-84.804381792284","308.2","in-state","census-manual-review","",""
"025700b8-af4a-4322-96c1-64fff65ec6b4","","23845 Rogers Clark Blvd, Ruther Glen, VA 22546","23845 ROGERS CLARK BLVD, RUTHER GLEN, VA, 22546","","37.938277456094,-77.46641256462","","in-state","census-manual-review","",""
"1f7194fb-6df2-483c-b775-ff8cef29738c","","1911 Highway 34 W, Dillon, SC 29536","1911 HWY 34 W, DILLON, SC, 29536","","34.419969213674,-79.415871791251","","in-state","census-manual-review","",""
"4e8c0e97-4aab-4853-8e43-904eacb3b0a9","","2111 US Highway 41 NE, Calhoun, GA 30701","","34.55883,-84.935611","","","n/a","census-no-match","",""
"4e95994e-db22-4b01-9b6e-0af55d277eec","","800 Watt Rd, Knoxville, TN 37932","800 N WATT RD, KNOXVILLE, TN, 37934","35.8807,-84.2359","35.880008922388,-84.237284144352","146.5","in-state","census-calibration-pass","",""
"02249e40-0250-4d39-8929-73504935f55f","","435 Dura Ave, Toledo, OH 43612","435 DURA AVE, TOLEDO, OH, 43612","","41.700648458576,-83.536940161969","","in-state","census-manual-review","",""
"0e545ab7-6774-47b5-8f58-30d40f795728","","310 Chicken Foot Rd, Hope Mills, NC 28348","","","","","n/a","census-no-match","",""
"1b9fd8ed-aee3-458f-9296-7a6a5f5ca340","","15976 Whyte Hardee Blvd, Hardeeville, SC 29927","","","","","n/a","census-no-match","",""
"0244b320-2bb1-4d47-a16f-53da1663fa6b","","921 Murfreesboro Rd, Lebanon, TN 37090","921 MURFREESBORO RD, LEBANON, TN, 37090","","36.179244563384,-86.300333799266","","in-state","census-manual-review","",""
"c2bd3356-8933-46a5-9b08-0a520a585d2a","","288 Resaca Beach Blvd NW, Resaca, GA 30735","","34.576411,-84.94715","","","n/a","census-no-match","",""
"4c23e030-e4d3-473c-a3b8-cfafc1599bc4","","115 Truck Stop Way, Jackson, GA 30233","115 TRUCK STOP WAY, JACKSON, GA, 30233","33.208091,-84.05852","33.210672348583,-84.057559282644","300.6","in-state","census-manual-review","",""
"c944296e-5c8f-4346-9755-b470a9aafe77","","1125 Bucksnort Rd, Jackson, GA 30233","1125 BUCKSNORT RD, JACKSON, GA, 30233","33.208006,-84.064004","33.211404145576,-84.06689649051","463.9","in-state","census-manual-review","",""
"96b417a9-ff26-480a-bdea-4ce572470bd7","","7001 Lake Park Bellville Rd, Lake Park, GA 31636","7001 LAKE PARK BELLVILLE RD, LAKE PARK, GA, 31636","30.641236,-83.190486","30.643113229245,-83.189690385251","222.2","in-state","census-manual-review","",""
"8a9e2301-b793-454f-85e6-c01e98b715c7","","2201 16th Ave E, Cordele, GA 31015","2201 16TH AVE E, CORDELE, GA, 31015","31.960264,-83.74661","31.958965809747,-83.745869779738","160.4","in-state","census-manual-review","",""
"bdbeb0cd-6935-4c31-b188-9465f1c1146a","","1125 Bucksnort Rd, Jackson, GA 30233","1125 BUCKSNORT RD, JACKSON, GA, 30233","33.207424,-84.064267","33.211404145576,-84.06689649051","505.7","in-state","census-manual-review","",""
"00151f69-dcb6-4510-ac9e-19f6c5ba77a2","","6180 Benore Rd, Toledo, OH 43612","6180 BENORE RD, TOLEDO, OH, 43612","","41.729175739281,-83.527248937417","","in-state","census-manual-review","",""
"06f08845-dcc4-42ec-ba62-5d3c2c28faa6","","5610 N Marr Rd, Columbus, IN","5610 MARR RD, COLUMBUS, IN, 47203","","39.257327723464,-85.884303752992","","in-state","census-manual-review","",""
"22da63bd-9ee8-45b1-b8cd-ada2c8cb7899","","1911 Highway 34 W, Dillon, SC 29536","1911 HWY 34 W, DILLON, SC, 29536","","34.419969213674,-79.415871791251","","in-state","census-manual-review","",""
"0f848a8a-9f2f-4e89-bed3-97d656bcd25d","","981 Cassville-White Rd, Cartersville, GA 30121","","34.273972,-84.807762","","","n/a","census-rejected","",""
"042f917c-41af-484c-899b-051ebf3194f9","","1001 S Commerce Dr, Seymour, IN 47274","1001 S COMMERCE DR, SEYMOUR, IN, 47274","","38.946896659769,-85.842801639775","","in-state","census-manual-review","",""
"0590d8cb-a505-4dfe-bdd6-5ce120d04412","","3210 Valentine Rd, North Little Rock, AR 72117","3210 E VALENTINE RD, NORTH LITTLE ROCK, AR, 72117","","34.82360690718,-92.096193389223","","in-state","census-manual-review","",""
"0666ef38-a91d-4a71-b242-f94f4a45cca2","","175 Northwoods Blvd, Vandalia, OH 45377","175 NORTHWOODS BLVD, VANDALIA, OH, 45377","","39.901205676236,-84.194788701332","","in-state","census-manual-review","",""
"f2f3cfb3-4d20-4954-8639-39c25dff014c","","I-75 South near mile marker 190, Forsyth, GA","","33.06914,-83.97361","","","n/a","census-no-match","",""
"096dd2fe-80a1-441b-a700-dbea8e1455c2","","2100 Jonesboro Rd SE, Atlanta, GA 30315","2100 JONESBORO RD SE, ATLANTA, GA, 30315","","33.696889752145,-84.369805641331","","in-state","census-manual-review","",""
"c67c7c6b-57f0-444f-9d3f-c6000ae1f51d","","2995 Highway 36 W, Jackson, GA 30233","2995 STATE RTE 36, JACKSON, GA, 30233","33.210567,-84.055973","33.215841353743,-84.050836422732","756.5","in-state","census-manual-review","",""
"338601ce-8529-4ee1-a478-3284d6901206","","968 Cassville-White Rd, Cartersville, GA 30120","","34.272701,-84.807736","","","n/a","census-rejected","",""
"944a23e3-93b6-4f19-a43a-8879c89ae09a","","4431 Union Rd, Tifton, GA 31794","4431 UNION RD, TIFTON, GA, 31794","31.427922,-83.517008","31.377427279258,-83.512424277274","5631.6","in-state","census-manual-review","",""
"599cf7a7-eb06-4527-bcdb-69daa62e11c7","","142 Carbondale Rd SW, Dalton, GA 30721","142 CARBONDALE RD SW, DALTON, GA, 30721","34.655613,-84.981043","34.654468988468,-84.981382275318","130.9","in-state","census-calibration-pass","",""
"3fc244ee-a2a6-43b8-acd4-5befc8bc2d20","","I-75 North near mile marker 190, Forsyth, GA","","33.07038,-83.97336","","","n/a","census-no-match","",""
"93653e22-f954-4d6b-acd8-9f547ce4b947","","6901 Bellville Rd, Lake Park, GA 31636","","30.643997,-83.18766","","","n/a","census-no-match","",""
"04ba3188-26b8-4f28-b7aa-b90da2745d91","","21055 West Rd, Woodhaven, MI 48183","21055 WEST RD, WOODHAVEN, MI, 48183","","42.139119390052,-83.238172339735","","in-state","census-manual-review","",""
"a45b0906-ec99-4785-bfd6-afae328bc2aa","","150 Old Allatoona Rd SE, Emerson, GA 30121","150 OLD ALLATOONA RD SE, EMERSON, GA, 30121","34.118857,-84.743165","34.120262738701,-84.744712255475","211.5","in-state","census-manual-review","",""
"781f82b8-a9a0-4264-bebf-044a9aba151f","","968 Cassville White Rd, Cartersville, GA 30120","","34.272701,-84.807736","","","n/a","census-rejected","",""
"0a0c7a0d-2fb0-4201-a93f-b934e2617b5b","","923 Johnston Pkwy, Kenly, NC 27542","923 JOHNSTON PKWY, KENLY, NC, 27542","","35.581359917897,-78.146581818113","","in-state","census-manual-review","",""
"1c2331c1-e7c3-4f1c-8080-8c77e26ca570","","5501 O'Donnell Street, Baltimore, MD 21224","5501 ODONNELL ST, BALTIMORE, MD, 21224","","39.281166436071,-76.549107697835","","in-state","census-manual-review","",""
"0c0c4cac-8771-4987-becf-d13a6fb414e6","","313 Porter Rd, Sadieville, KY 40370","313 PORTER RD, SADIEVILLE, KY, 40370","","38.379233472354,-84.572018709181","","in-state","census-manual-review","",""
"38139280-d79e-4c84-8807-5831c72095a7","","1503 W 4th St, Adel, GA 31620","","31.138574,-83.444919","","","n/a","census-no-match","",""
"46c70f80-8582-44d1-a7b6-ea9423392fea","","615 Watt Rd, Knoxville, TN 37922","615 N WATT RD, KNOXVILLE, TN, 37934","35.8731,-84.2379","35.873153087956,-84.234760900271","282.9","in-state","census-manual-review","",""
"18df2837-56f3-4b52-9360-d625614d0910","","618 Lambson Ln, New Castle, DE 19720","618 LAMBSON LN, NEW CASTLE, DE, 19720","","39.705251548246,-75.539944865575","","in-state","census-manual-review","",""
"ef42e8a8-4ee1-4ece-a100-ba17bfe15200","","2965 Highway 247C, Byron, GA","","32.612278,-83.744515","","","n/a","census-no-match","",""
"103d2a5b-3b82-4062-b665-c34a02e55421","","693 Karen Dr, Ringgold, GA 30736","693 KAREN DR, RINGGOLD, GA, 30736","","34.967899673335,-85.209162312268","","in-state","census-manual-review","",""
"02cc4878-abf2-44a6-9495-7fbd598d4bc3","","192 Highway 83, Evergreen, AL 36401","192 STATE RTE 83, EVERGREEN, AL, 36401","","31.460002568498,-86.970168893875","","in-state","census-manual-review","",""
"2237db27-ede4-4872-9149-f2ea2e2fb8c7","","409 Yemassee Hwy, Yemassee, SC 29945","","","","","n/a","census-no-match","",""
"6dbef08c-6306-4db2-bccf-5da49a0a2ac8","","178 Southwell Blvd, Tifton, GA 31794","178 SOUTHWELL BLVD, TIFTON, GA, 31794","31.415715,-83.503054","31.415562892656,-83.506839018844","359.6","in-state","census-manual-review","",""
"0ef95380-098c-4503-9bc9-74781c544195","","I-95 Southbound, Mile Marker 107, Ladysmith, VA 22501","","","","","n/a","census-no-match","",""
"55f53612-5494-460b-9ee1-2ac92f154285","","4431 Union Rd, Tifton, GA 31794","4431 UNION RD, TIFTON, GA, 31794","31.428514,-83.51632","31.377427279258,-83.512424277274","5692.6","in-state","census-manual-review","",""
"0233ead3-771d-4d86-ba66-186665572f7d","","2423 W Main St, Clarksville, AR 72830","2423 W MAIN ST, CLARKSVILLE, AR, 72830","","35.471373531965,-93.51425427389","","in-state","census-manual-review","",""
"61744d1b-3abe-4aed-bbcc-775321a08d5b","","2965 Hwy 247C, Byron, GA 31008","","32.612278,-83.744515","","","n/a","census-no-match","",""
"e77e023a-8667-4f3a-ab4e-480cf280ff2d","","7001 Bellville Rd, Lake Park, GA 31636","","30.641522,-83.189746","","","n/a","census-no-match","",""
"000c91b2-9827-443c-8669-5f07c833f485","","3884 Prospect Ave, Naples, FL 34104","3884 PROSPECT AVE, NAPLES, FL, 34104","","26.156900507896,-81.760306419973","","in-state","census-manual-review","",""
"32188e16-75ce-477c-b671-a22f8606b139","","243 Connector 3 SW, Dalton, GA 30720","","34.687265,-85.000154","","","n/a","census-no-match","",""
"5cacc890-42ce-467d-a63b-3cc01d3b9c95","","I-75 South near mile marker 23, Valdosta, GA","","30.91807,-83.36566","","","n/a","census-no-match","",""
"c0c4681b-ae70-4873-8240-f1542361338e","","1190 Frank Amerson Pkwy, Macon, GA","1190 FRANK AMERSON PKWY, MACON, GA, 31216","32.717528,-83.733418","32.719176173911,-83.734473899988","208.2","in-state","census-manual-review","",""
"7ac0bc00-385a-48e5-875a-1576872a51f5","","615 Watt Rd, Knoxville, TN 37922","615 N WATT RD, KNOXVILLE, TN, 37934","35.8731,-84.2379","35.873153087956,-84.234760900271","282.9","in-state","census-manual-review","",""
"020975e1-13ef-41d9-a02e-c94d8ba05896","","2600 W I-65 Service Rd N, Prichard, AL 36612","","","","","n/a","census-no-match","",""
"5adb811d-9b49-4829-a08f-75481f80a864","","507 Hwy 309, Niota, TN 37826","","35.545167,-84.565514","","","n/a","census-no-match","",""
"03ed38e8-cad2-426a-9624-021532e389b4","","11786 E State Road 250, Crothersville, IN 47274","11786 E STATE RD 250, CROTHERSVILLE, IN, 47229","","38.843670590379,-85.818119349139","","in-state","census-manual-review","",""
"03c39975-0f38-4f41-97e7-d50d95b9edf0","","3205 Valentine Rd, North Little Rock, AR 72117","","","","","n/a","census-no-match","",""
"03cfac83-ce8b-457e-98e6-26265c60d3b4","","3404 Highway 63 N, Hazen, AR 72064","","","","","n/a","census-no-match","",""
"0b9d7041-33c5-4e04-9f78-feae94df3de4","","102 Triport Rd, Georgetown, KY 40324","102 TRIPORT RD, GEORGETOWN, KY, 40324","","38.275088791895,-84.553442303154","","in-state","census-manual-review","",""
"0c8f2702-18ba-465d-ad9f-7222b3db2744","","I-95 Median Service Plaza, Mile Marker 82, Aberdeen, MD 21001","","","","","n/a","census-no-match","",""
"0b924a84-cb2d-4876-b433-f63fdfa47c78","","I-95 North, milepost 37, Carson, VA 23830","","","","","n/a","census-no-match","",""
"a178c35e-73ba-4c23-bbe4-605dc4a365c4","","288 Resaca Beach Blvd, Resaca, GA 30735","","34.576835,-84.946624","","","n/a","census-no-match","",""
"07d998a5-79fa-4b95-b63f-7bbeb29ca62e","","9211 Lewisburg Highway, Cornersville, TN 37047","9211 LEWISBURG HWY, CORNERSVILLE, TN, 37047","","35.304676143923,-86.884102253998","","in-state","census-manual-review","",""
"05c5310e-ad0b-4447-8ebb-2d944b974f0d","","579 Old Omega Rd, Tifton, GA 31794","579 OLD OMEGA RD, TIFTON, GA, 31794","","31.440850268737,-83.529052695564","","in-state","census-manual-review","",""
"00da872b-f8e1-4216-87b8-2991147f166f","","750 Buckeye Rd, Lima, OH 45804","750 BUCKEYE RD, LIMA, OH, 45804","","40.708587904275,-84.114709248403","","in-state","census-manual-review","",""
"07c9a38a-fd7d-4453-907e-25c65f54f3fd","","130 W Trinity Ln, Nashville, TN 37207","130 W TRINITY LN, NASHVILLE, TN, 37207","","36.206200144126,-86.773257893557","","in-state","census-manual-review","",""
"05c35c41-6e8f-481f-a2f7-5f50e91170df","","7791 NW 47th Avenue, Ocala, FL 34482","","","","","n/a","census-no-match","",""
"c8d0eb8c-df20-4bd7-89f2-038aa550c3ee","","39 Victory Ln, Vienna, GA 31092","39 VICTORY LN, VIENNA, GA, 31092","32.085408,-83.759891","32.083969839427,-83.761298313491","207.7","in-state","census-manual-review","",""
"78e6f4ee-fc3b-4c79-8946-2f2bc602a54a","","1081 Belwood Rd SE, Calhoun, GA 30701","1081 BELWOOD RD SE, CALHOUN, GA, 30701","34.443856,-84.915181","34.443666695584,-84.914507772724","65.2","in-state","census-calibration-pass","",""
"ff5956ff-3364-46a8-b036-0c8c8a414ad0","","178 Southwell Blvd, Tifton, GA 31794","178 SOUTHWELL BLVD, TIFTON, GA, 31794","31.415715,-83.503054","31.415562892656,-83.506839018844","359.6","in-state","census-manual-review","",""
"08b40c31-f1c3-47c0-b278-00c622cedcba","","155 Petro Rd, Kingston Springs, TN 37082","155 PETRO RD, KINGSTON SPRINGS, TN, 37082","","36.08238229895,-87.093541625455","","in-state","census-manual-review","",""
"00ced50d-f1f6-4e29-9a16-1b866beedef0","","3240 Point Mallard Parkway SE, Priceville, AL 35603","3240 POINT MALLARD PKWY SE, DECATUR, AL, 35603","","34.537288963942,-86.911220873697","","in-state","census-manual-review","",""
"208bb775-28c3-4123-8bd8-6eaaeac77ad4","","I-95 Median Service Plaza, Mile Marker 82, Aberdeen, MD 21001","","","","","n/a","census-no-match","",""
"9689ab8c-c937-4676-8fa4-de202ec699d7","","2111 US Highway 41 NE, Calhoun, GA 30701","","34.558868,-84.935939","","","n/a","census-no-match","",""
"1e825644-fb2f-42c6-8bd1-e862fbbcdf40","","I-75 North near mile marker 23, Valdosta, GA","","30.918,-83.36441","","","n/a","census-no-match","",""
"0432986c-b8ae-47fe-a647-db30b12d9434","","2600 W I-65 Service Rd N, Prichard, AL 36612","","","","","n/a","census-no-match","",""
"ee24eb2e-7055-4814-8772-dc0797965591","","243 Connector 3 SW, Dalton, GA 30720","","34.686835,-85.000111","","","n/a","census-no-match","",""
"04e8fad7-c564-4879-95ba-91816d3b1074","","14197 S US Highway 441, Lake City, FL 32024","14197 S US HWY 441, LAKE CITY, FL, 32024","","29.996262049965,-82.597281828825","","in-state","census-manual-review","",""
"10905c05-3522-4be3-892e-19218c42f507","","377 S Schaefer Hwy, Detroit, MI 48217","","","","","n/a","census-no-match","",""
"05e3d706-abe8-45ac-9a05-7da2c4ddf937","","520 S State Rd 39, Lebanon, IN 46052","520 STATE RD 39, LEBANON, IN, 46052","","40.028762493335,-86.474076922418","","in-state","census-manual-review","",""
"2014a51a-b405-4d49-a3b4-a22a9844ac5f","","2201 E 16th Ave, Cordele, GA","2201 16TH AVE E, CORDELE, GA, 31015","31.959812,-83.746752","31.958965809747,-83.745869779738","125.6","in-state","census-calibration-pass","",""
"076b546a-e264-4c18-abfc-bb32380ceaf5","","401 Cherry Blossom Way, Georgetown, KY 40324","401 CHERRY BLOSSOM WAY, GEORGETOWN, KY, 40324","","38.275261825686,-84.554785595453","","in-state","census-manual-review","",""
"104adff6-82d2-42b0-9d1b-1a8ef5b55a2a","","830 Byrley Rd, Corbin, KY 40701","830 BYRLEY RD, CORBIN, KY, 40701","","36.972156441969,-84.107959605362","","in-state","census-manual-review","",""
"1b0ef012-d5cf-4550-8723-3c19fa283ddb","","I-95 Southbound, Mile Marker 131, Fredericksburg, VA 22553","","","","","n/a","census-no-match","",""
"0d70ce2a-08a6-478f-a91b-b626f7086ab3","","1290 N Monroe St, Monroe, MI 48162","1290 N MONROE ST, MONROE, MI, 48162","","41.933653618999,-83.389769073968","","in-state","census-manual-review","",""
"0fda85a9-364c-4541-99d7-fac38c8f755e","","2607 Scrubby Bluff Rd, Kingsland, GA 31548","2607 SCRUBBY BLUFF RD, KINGSLAND, GA, 31548","","30.760934622588,-81.658232854157","","in-state","census-manual-review","",""
"f6a155cc-c10c-455a-b854-a3643c00535d","","3460 Madison Hwy, Valdosta, GA 31601","3460 MADISON HWY, VALDOSTA, GA, 31601","30.754816,-83.272851","30.754240023721,-83.272254980109","85.7","in-state","census-calibration-pass","",""
"ed2d89b5-609b-4e0e-91fa-bde1dbd93533","","1190 Frank Amerson Pkwy, Macon, GA 31216","1190 FRANK AMERSON PKWY, MACON, GA, 31216","32.717528,-83.733418","32.719176173911,-83.734473899988","208.2","in-state","census-manual-review","",""
"533ac088-b077-4175-880b-04fb1ec093c1","","709 E Vine St, Vienna, IL 62995","709 E VINE ST, VIENNA, IL, 62995","","37.416660740209,-88.885548823589","","in-state","census-manual-review","",""
"a732e380-3d35-43b5-916a-47198de64c3e","","3460 Madison Hwy, Valdosta, GA 31601","3460 MADISON HWY, VALDOSTA, GA, 31601","30.754267,-83.273221","30.754240023721,-83.272254980109","92.4","in-state","census-calibration-pass","",""
"5046a85e-6a9a-49e8-aedd-ab29f95b00d1","","1221 E 12th St, Wilmington, DE 19802","1221 E 12TH ST, WILMINGTON, DE, 19802","","39.741768482093,-75.532929394241","","in-state","census-manual-review","",""
"33e41d22-1dac-425b-a17d-c9b6affcda21","","122 Truck Stop Way, Jackson, GA 30233","122 TRUCK STOP WAY, JACKSON, GA, 30233","33.205898,-84.058286","33.207643994205,-84.058483999613","195.0","in-state","census-manual-review","",""
"15f5c84b-8284-455e-8928-c688f5a308ab","","1081 Belwood Rd SE, Calhoun, GA 30701","1081 BELWOOD RD SE, CALHOUN, GA, 30701","34.443856,-84.915181","34.443666695584,-84.914507772724","65.2","in-state","census-calibration-pass","",""
"1c486059-1bf4-47b8-845f-e817c22b7674","","61 Heather Lane, Perryville, MD 21903","61 HEATHER LN, PERRYVILLE, MD, 21903","","39.588772335764,-76.068126215863","","in-state","census-manual-review","",""
