listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action
000c91b2-9827-443c-8669-5f07c833f485,Naples Truck and Tire,tire-repair,3884 Prospect Ave,Naples,FL,34104,,,26.156901,-81.760306,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 3884 Prospect Ave, Naples, FL 34104; matched: 3884 PROSPECT AVE, NAPLES, FL, 34104",ready
00151f69-dcb6-4510-ac9e-19f6c5ba77a2,Truck Parking Club - 6180 Benore Rd (Toledo),parking,6180 Benore Rd,Toledo,OH,43612,,,41.729176,-83.527249,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 6180 Benore Rd, Toledo, OH 43612; matched: 6180 BENORE RD, TOLEDO, OH, 43612",ready
00ced50d-f1f6-4e29-9a16-1b866beedef0,CAT Scale at Pilot Travel Center #441,cat-scales,3240 Point Mallard Parkway SE,Priceville,AL,35603,,,34.537289,-86.911221,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 3240 Point Mallard Parkway SE, Priceville, AL 35603; matched: 3240 POINT MALLARD PKWY SE, DECATUR, AL, 35603",ready
00da872b-f8e1-4216-87b8-2991147f166f,"Truck Parking Club - 750 Buckeye Rd (Lima, bobtail)",parking,750 Buckeye Rd,Lima,OH,45804,,,40.708588,-84.114709,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 750 Buckeye Rd, Lima, OH 45804; matched: 750 BUCKEYE RD, LIMA, OH, 45804",ready
02249e40-0250-4d39-8929-73504935f55f,Truck Parking Club - 435 Dura Ave (Toledo),parking,435 Dura Ave,Toledo,OH,43612,,,41.700648,-83.536940,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 435 Dura Ave, Toledo, OH 43612; matched: 435 DURA AVE, TOLEDO, OH, 43612",ready
0233ead3-771d-4d86-ba66-186665572f7d,King's Towing & Recovery LLC,roadside-service,2423 W Main St,Clarksville,AR,72830,,,35.471374,-93.514254,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 2423 W Main St, Clarksville, AR 72830; matched: 2423 W MAIN ST, CLARKSVILLE, AR, 72830",ready
0244b320-2bb1-4d47-a16f-53da1663fa6b,CAT Scale at Pilot Travel Center #411,cat-scales,921 Murfreesboro Rd,Lebanon,TN,37090,,,36.179245,-86.300334,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 921 Murfreesboro Rd, Lebanon, TN 37090; matched: 921 MURFREESBORO RD, LEBANON, TN, 37090",ready
025700b8-af4a-4322-96c1-64fff65ec6b4,Love's Travel Stop #435 (Ruther Glen),truck-stops,23845 Rogers Clark Blvd,Ruther Glen,VA,22546,,,37.938277,-77.466413,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 23845 Rogers Clark Blvd, Ruther Glen, VA 22546; matched: 23845 ROGERS CLARK BLVD, RUTHER GLEN, VA, 22546",ready
02cc4878-abf2-44a6-9495-7fbd598d4bc3,Spirit Travel Center,truck-stops,192 Highway 83,Evergreen,AL,36401,,,31.460003,-86.970169,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 192 Highway 83, Evergreen, AL 36401; matched: 192 STATE RTE 83, EVERGREEN, AL, 36401",ready
03ed38e8-cad2-426a-9624-021532e389b4,Uniontown Fuel Stop,truck-stops,11786 E State Road 250,Crothersville,IN,47274,,,38.843671,-85.818119,high,https://geocoding.geo.census.gov/,"census approximate match (); submitted: 11786 E State Road 250, Crothersville, IN 47274; matched: 11786 E STATE RD 250, CROTHERSVILLE, IN, 47229",ready
