listing_id,address,city,state,zip,interstate
000c91b2-9827-443c-8669-5f07c833f485,3884 Prospect Ave,Naples,FL,34104,I-75
00151f69-dcb6-4510-ac9e-19f6c5ba77a2,6180 Benore Rd,Toledo,OH,43612,I-75
00ced50d-f1f6-4e29-9a16-1b866beedef0,3240 Point Mallard Parkway SE,Priceville,AL,35603,I-65
00da872b-f8e1-4216-87b8-2991147f166f,750 Buckeye Rd,Lima,OH,45804,I-75
01d5116b-6fc7-4a6f-909d-11d594522aab,Smokey Park Hwy (exact street number not published in listing preview),Candler,NC,,I-40
020975e1-13ef-41d9-a02e-c94d8ba05896,2600 W I-65 Service Rd N,Prichard,AL,36612,I-65
02249e40-0250-4d39-8929-73504935f55f,435 Dura Ave,Toledo,OH,43612,I-75
0233ead3-771d-4d86-ba66-186665572f7d,2423 W Main St,Clarksville,AR,72830,I-40
0244b320-2bb1-4d47-a16f-53da1663fa6b,921 Murfreesboro Rd,Lebanon,TN,37090,I-40
025700b8-af4a-4322-96c1-64fff65ec6b4,23845 Rogers Clark Blvd,Ruther Glen,VA,22546,I-95
02cc4878-abf2-44a6-9495-7fbd598d4bc3,192 Highway 83,Evergreen,AL,36401,I-65
03c39975-0f38-4f41-97e7-d50d95b9edf0,3205 Valentine Rd,North Little Rock,AR,72117,I-40
03cfac83-ce8b-457e-98e6-26265c60d3b4,3404 Highway 63 N,Hazen,AR,72064,I-40
03ed38e8-cad2-426a-9624-021532e389b4,11786 E State Road 250,Crothersville,IN,47274,I-65
042f917c-41af-484c-899b-051ebf3194f9,1001 S Commerce Dr,Seymour,IN,47274,I-65
0432986c-b8ae-47fe-a647-db30b12d9434,2600 W I-65 Service Rd N,Prichard,AL,36612,I-65
04ba3188-26b8-4f28-b7aa-b90da2745d91,21055 West Rd,Woodhaven,MI,48183,I-75
04e8fad7-c564-4879-95ba-91816d3b1074,14197 S US Highway 441,Lake City,FL,32024,I-75
0590d8cb-a505-4dfe-bdd6-5ce120d04412,3210 Valentine Rd,North Little Rock,AR,72117,I-40
05c35c41-6e8f-481f-a2f7-5f50e91170df,7791 NW 47th Avenue,Ocala,FL,34482,I-75
05c5310e-ad0b-4447-8ebb-2d944b974f0d,579 Old Omega Rd,Tifton,GA,31794,I-75
05e3d706-abe8-45ac-9a05-7da2c4ddf937,520 S State Rd 39,Lebanon,IN,46052,I-65
060c2ac4-6fdf-40d2-83e8-f888143d35dc,1300 W Beaver St,Jacksonville,FL,32209,I-95
062c24f7-7145-41f3-97f7-431b2d8965b3,1000 Truckstop Rd,Kenly,NC,27542,I-95
065b431c-e56b-493b-a68a-b9ba7e309d23,3900 Petro Rd,West Memphis,AR,72301,I-40
0666ef38-a91d-4a71-b242-f94f4a45cca2,175 Northwoods Blvd,Vandalia,OH,45377,I-75
06ea73db-318b-4f90-812a-353ddb570b13,5828 Nelson A Miles Pkwy,Grayling,MI,49738,I-75
06f08845-dcc4-42ec-ba62-5d3c2c28faa6,5610 N Marr Rd,Columbus,IN,,I-65
076b546a-e264-4c18-abfc-bb32380ceaf5,401 Cherry Blossom Way,Georgetown,KY,40324,I-75
07c9a38a-fd7d-4453-907e-25c65f54f3fd,130 W Trinity Ln,Nashville,TN,37207,I-65
07d998a5-79fa-4b95-b63f-7bbeb29ca62e,9211 Lewisburg Highway,Cornersville,TN,37047,I-65
08661573-91b9-49cf-9232-e8fed94860f0,200 Holiday Dr,Forrest City,AR,72335,I-40
08b40c31-f1c3-47c0-b278-00c622cedcba,155 Petro Rd,Kingston Springs,TN,37082,I-40
08e36b89-6dee-438f-bd37-edf4a6eab784,300 Arby Dr,Clanton,AL,35045,I-65
090acdd8-3db7-40af-8c57-85e784bb49d8,2539 Burr St,Gary,IN,46406,I-65
096dd2fe-80a1-441b-a700-dbea8e1455c2,2100 Jonesboro Rd SE,Atlanta,GA,30315,I-75
09974385-8c93-4bb5-be59-13552b53e2b3,155 Highway 138 (Providence Road),Denmark,TN,38391,I-40
0a0c7a0d-2fb0-4201-a93f-b934e2617b5b,923 Johnston Pkwy,Kenly,NC,27542,I-95
0a51733c-8243-4972-be0c-fd9b39dea490,13820 US-641 N,Holladay,TN,38341,I-40
0b2df467-c976-472b-bd9f-45a8cbd17039,6410 E State Road 64,Bradenton,FL,34208,I-75
0b34c58e-1c6e-4138-a978-f49cbf546920,11459 SW 61st Way,Jasper,FL,32052,I-75
0b661f90-b412-443b-920a-0e3e56a199aa,13550 S US 231,Remington,IN,47977,I-65
0b924a84-cb2d-4876-b433-f63fdfa47c78,"I-95 North, milepost 37",Carson,VA,23830,I-95
0b9d7041-33c5-4e04-9f78-feae94df3de4,102 Triport Rd,Georgetown,KY,40324,I-75
0bb17862-7612-4347-8917-657be20158b0,9499 US Highway 70,Lehi,AR,,I-40
0c0c4cac-8771-4987-becf-d13a6fb414e6,313 Porter Rd,Sadieville,KY,40370,I-75
0c8f2702-18ba-465d-ad9f-7222b3db2744,"I-95 Median Service Plaza, Mile Marker 82",Aberdeen,MD,21001,I-95
0d70ce2a-08a6-478f-a91b-b626f7086ab3,1290 N Monroe St,Monroe,MI,48162,I-75
0d9f969f-916e-40b3-a489-b04d8e20ad2d,2202 N Main St,Brinkley,AR,72021,I-40
0dacd3b0-435a-46af-9e4f-da23099fc2bb,925 N Ocean St,Jacksonville,FL,32202,I-95
0e24e007-db84-40db-bfc1-222e5d0eebad,1639 County Road 437,Cullman,AL,35055,I-65
