listing_id,exclusion_reason,state
7e3bf39e-aaad-40cc-b496-182450fb2ffe,highway-or-insufficient,FL
d07bf85c-8a1e-4f99-b194-19e7307a8889,highway-or-insufficient,FL
6a994e3d-56e9-4f0c-97dc-5557807a5fe4,highway-or-insufficient,GA
8abd0ae7-4cad-4015-9309-0c1ad798955e,highway-or-insufficient,GA
789edf6c-1440-44ca-8034-2d2a483a651d,highway-or-insufficient,KY
b4a4a740-5466-4969-9770-542cc900e3b6,highway-or-insufficient,KY
d7e9da52-4a01-4b3d-9c14-86f59343ca7c,highway-or-insufficient,KY
0c8f2702-18ba-465d-ad9f-7222b3db2744,highway-or-insufficient,MD
208bb775-28c3-4123-8bd8-6eaaeac77ad4,highway-or-insufficient,MD
6bc0c663-fe39-4d71-b270-4b4d3d04b651,highway-or-insufficient,MD
6c6a902c-51f9-4aee-859d-3eb835664f64,highway-or-insufficient,MD
80786332-ef51-4045-9f28-a33abfbf56bd,highway-or-insufficient,MD
9ee0d88b-f880-4157-81ec-2453ef1f37ed,highway-or-insufficient,MD
01d5116b-6fc7-4a6f-909d-11d594522aab,highway-or-insufficient,NC
2063c01e-5281-4755-bb20-ddf02a1653bd,highway-or-insufficient,NC
25dea13e-8d96-411a-8945-782f2b5694d4,highway-or-insufficient,NC
50f05436-a429-44f6-829e-630075daec0d,highway-or-insufficient,NC
99f4a8cf-a977-46a5-8226-ad8721be76b9,highway-or-insufficient,NC
d8c8b88a-0af7-4faf-838f-5288eef85239,highway-or-insufficient,NC
97a91141-ec4d-49fb-b8d2-4c30a90c308a,highway-or-insufficient,OH
e7edb2b3-ca16-40d5-b412-7435c59bd132,highway-or-insufficient,OH
e587e93e-816e-4cb7-ac11-c681dcae2cd7,highway-or-insufficient,SC
1251f757-4ab4-4acf-93d1-a95df046b3b1,highway-or-insufficient,TN
128a2d09-7f2f-42f0-81cc-1f714b61b3d7,highway-or-insufficient,TN
188b983c-bfc5-4d1d-9027-02850775a06a,highway-or-insufficient,TN
79b23309-1563-43cb-9657-4edb9d990acb,highway-or-insufficient,TN
804c5c9d-e0f9-4667-984d-e4bbd51775db,highway-or-insufficient,TN
84220419-b8f4-47eb-bae1-d9fb3dc20040,highway-or-insufficient,TN
a57aadf4-496b-4065-83e8-5c87885bf2b0,highway-or-insufficient,TN
db877e00-74cc-4667-b567-9cc8df78f72b,highway-or-insufficient,TN
e9a4dbbb-9015-4850-91ec-28fbad53f841,highway-or-insufficient,TN
0b924a84-cb2d-4876-b433-f63fdfa47c78,highway-or-insufficient,VA
0ef95380-098c-4503-9bc9-74781c544195,highway-or-insufficient,VA
1b0ef012-d5cf-4550-8723-3c19fa283ddb,highway-or-insufficient,VA
20527ca4-925d-432f-a857-1150c2a09ba8,highway-or-insufficient,VA
7af1a802-82f1-4501-a026-986e8230ccfb,highway-or-insufficient,VA
9a0ac97f-90d6-4f60-a96d-d51791049ffe,highway-or-insufficient,VA
b440fb9a-6e87-485e-8279-680b862a8f0b,highway-or-insufficient,VA
ee07dd11-b979-45e2-90a1-9ba14254ba28,highway-or-insufficient,VA
f4089b87-a23d-4210-bb67-5485d5a6447d,highway-or-insufficient,VA
fe637d31-d4dc-4482-9e3c-2b196a38335c,highway-or-insufficient,VA
0c12c406-4c2e-44e8-9782-2a153284e104,missing-address,AL
34d6ae7a-216e-46fa-986d-81d0a47ea7e4,missing-address,AL
3aab07e4-ad3b-4220-91ee-7894d6c3502b,missing-address,AL
4f21b0d2-18b1-46a0-9a7e-a11b3922f9a7,missing-address,AL
6f4f6754-96fb-4fe2-be0a-9e1c2f7358d8,missing-address,AL
7e23df57-04ed-4904-a5ca-c80c5ecbbdd7,missing-address,AL
87f37135-0d5e-4f02-9889-537c3adc6bd3,missing-address,AL
9b5a7530-2901-474a-ad32-b53c84cbd478,missing-address,AL
cbd5d136-9f13-4141-b126-9e0d8d414157,missing-address,AL
edec532e-6c37-48e3-938d-064666b181fd,missing-address,AL
f3c46c18-6a34-496a-8f0b-b36901142096,missing-address,AL
f7aeb412-6df9-459d-b662-a68cf00f3f42,missing-address,AL
06e42540-a961-466c-8a92-b323201f9410,missing-address,AR
110ba438-bcf5-4d06-892f-4c107be0581f,missing-address,AR
13fbe19d-84fb-4f7b-b4e4-f40b556c3235,missing-address,AR
16b6c4e2-49bc-47f6-89de-cd8db48e1427,missing-address,AR
32e6a809-fac2-4ed9-9b6f-466bd58dbd12,missing-address,AR
362fcb47-e547-41fc-906c-0e919a652678,missing-address,AR
3d8ca37c-b13f-4f2b-847e-7365440ac123,missing-address,AR
3f69b705-f6fc-4802-bea2-68c7bd838ed7,missing-address,AR
581dc977-7484-4a7c-a5a8-651dba638261,missing-address,AR
77957a3c-8092-4517-8b33-2e50e4047ed4,missing-address,AR
7e1b02c3-b62d-490a-9974-eafe3428f02a,missing-address,AR
84fa50b8-a334-4d48-a35e-094013ae1772,missing-address,AR
89e875dc-9852-4f4d-9a5e-0265fd2f564c,missing-address,AR
902453cb-99ec-47e4-9a2a-45b1502c85f3,missing-address,AR
99c486f6-7e9b-4c26-b6da-b7219cc694c6,missing-address,AR
9fe701ff-4960-4778-89fa-3c7602733ca0,missing-address,AR
b7f8d80e-0fbe-47f0-b26c-81d1ceafcfe7,missing-address,AR
cac9d520-9a63-441f-866f-d2de402affe6,missing-address,AR
d284bab0-f773-43c5-9c3e-20b4580c5c0a,missing-address,AR
d63266c7-1e06-4353-9ee9-5f5bb7775346,missing-address,AR
4e7f48fa-e247-4722-bc76-34f269cde7f3,missing-address,DE
0ea22351-f61f-4716-adf4-d44bb53de66a,missing-address,FL
13be8788-04e4-4034-ade5-45061a9c25ec,missing-address,FL
1e7a6551-2a7e-4d32-a04f-400c8ed8db63,missing-address,FL
2336b0fe-5981-4520-b61b-5bfa9d81fced,missing-address,FL
45b986e7-6555-41bc-9735-4ce59bfae89d,missing-address,FL
46a4172e-6c72-4fa2-aecc-c6d44fbb6f74,missing-address,FL
47af659e-3b29-419f-a723-21d6bcd4f152,missing-address,FL
54a502b2-9b7d-49be-ba59-e2a4ef38ce72,missing-address,FL
688309bc-4aac-48a4-97ce-0b3db43d8d33,missing-address,FL
6b484fca-b4c5-41aa-bf35-2560cb161aff,missing-address,FL
74aacea6-d2b2-4040-88d9-dbbb25571af5,missing-address,FL
77f995a5-8ff3-46d9-a772-c1731bd609ba,missing-address,FL
7e66d12a-90ea-4550-bf23-c4ef369c55bf,missing-address,FL
80a397c9-f16f-4be8-a819-bfc96ca43746,missing-address,FL
80e720ca-5925-46a8-a9a1-005528f34f4c,missing-address,FL
a01a4518-ce97-4894-8d57-674209395e9e,missing-address,FL
b90d812b-1e76-445c-bb73-779032a1a4c3,missing-address,FL
b9c3bccf-a9fd-4aff-a7b1-57cca6f58b63,missing-address,FL
c05b09af-8df6-4092-9130-91c9a3deb61e,missing-address,FL
c33d248f-de4a-48ce-8b98-555d7b1f92ad,missing-address,FL
db53fced-a16d-49cf-9a90-186e8acaedc3,missing-address,FL
de64c6c1-113f-4ede-a07c-93d02f8f1193,missing-address,FL
e46dde1f-f966-449f-8017-0b5956c8a8e9,missing-address,FL
e58cf487-aa6f-4583-b627-f3cf1528ad49,missing-address,FL
fdaa1660-b2bb-4d97-bd0f-7be6287ec055,missing-address,FL
0fa0d81a-c5bf-427b-9015-3a607768f25b,missing-address,GA
2533368e-1ea7-4a8f-b73e-a6c79eec61c5,missing-address,GA
270b3a0e-3826-4c85-8c3d-d1dd311b1c71,missing-address,GA
456620fc-23bd-4cf1-a984-21ec9138b774,missing-address,GA
45a1cbfc-d6ab-4797-9708-e993055412e4,missing-address,GA
49bf9a34-856c-4427-b94b-c8af02009a4c,missing-address,GA
58062585-dc00-475c-a72f-3ca3df99520e,missing-address,GA
6df953c3-9071-4d79-9238-a770b8948f8a,missing-address,GA
6e3a9268-d9ac-4350-9e70-6f1c9a9d1964,missing-address,GA
780cc3cf-1b89-490d-b3f8-676a93f4c6f9,missing-address,GA
9668985d-0c95-4ec6-9d8f-55c3a0e4b034,missing-address,GA
b7154959-9416-47c5-8665-52458bdd0de3,missing-address,GA
eaf18864-af61-48b8-bbeb-edee81021740,missing-address,GA
431feb1a-211c-4ca1-9c3c-d6b9e32cba5f,missing-address,IL
4ab44bf3-6b50-4ff0-b5d6-7161536c8563,missing-address,IL
5cb0eddc-0234-4964-8e45-0cb9980b9c8b,missing-address,IL
6a17477e-60fd-4cb3-86e2-9bdb93546852,missing-address,IL
71be62b4-a262-4f8d-b1df-481f987e5298,missing-address,IL
bdc8b533-9542-4312-b7da-1a39a2f6d297,missing-address,IL
ca6444ea-5194-40de-a7a4-5f3428c4f36e,missing-address,IL
d4b5471d-8f4e-4668-b659-bf7c6e00c353,missing-address,IL
13facf37-f06a-48ef-acb8-b73b634a4505,missing-address,IN
471132d2-2361-4f71-a7c8-23c836f28f02,missing-address,IN
580ad9fe-73e7-4c6a-bac4-72d30e46f2f7,missing-address,IN
94480a62-6e45-41d9-ab9c-ddaf9d084ca8,missing-address,IN
b56d0a14-0fd0-4b65-aa19-9af1edb59f4b,missing-address,IN
cd150996-dea1-4ec3-82aa-268f08bf0ba2,missing-address,IN
e637db12-eba1-494a-a73a-aa86545cf6bc,missing-address,IN
e9f9100d-6132-4979-a13e-bc3f90a6df1f,missing-address,IN
f975e826-2c84-4032-ae61-177240dec9fb,missing-address,IN
01141f13-1417-494d-a94d-1445b4261451,missing-address,KY
424c3177-2768-489b-914b-cff1d01ef43f,missing-address,KY
5495d58c-7ab4-4954-af09-7e7d9a6b6804,missing-address,KY
7397efa7-9bc0-4be1-8b78-6e3e8e2d39a0,missing-address,KY
b3c32523-9238-4888-a80f-48c89bb738ea,missing-address,KY
b5d0079f-4f1b-4399-a662-e881a2059892,missing-address,KY
f4ede9a9-960e-46a2-a8e7-8251b45405d2,missing-address,KY
fa0a4d6a-3627-4d84-b35d-f39e8a2ba94b,missing-address,KY
12dde434-b831-4783-97f6-f524314da838,missing-address,MD
22a4681b-6a31-4b56-a959-f4b3fe40ab2f,missing-address,MD
59355245-49a7-4da9-b672-e7e257c8e1e9,missing-address,MD
8adc84ed-7d07-4b43-8225-6ff185121d86,missing-address,MD
b690a7a6-401c-47ad-8c8b-7c4a63306b33,missing-address,MD
148c8e61-8e91-4f2e-85a1-cc1b5d178d5b,missing-address,MI
17cb6c79-6277-4649-8ed0-b39aaecd96bd,missing-address,MI
18ded510-87c5-4865-86e6-b043c6768486,missing-address,MI
455fc247-b84b-46fe-91fe-29749283ab41,missing-address,MI
56a93068-45d4-4033-ba20-a00d3fe66ba6,missing-address,MI
57d57e31-b67b-4313-bb11-c8ac084587ef,missing-address,MI
73a2d986-6a30-41a4-83b8-e396fb3b71e1,missing-address,MI
810e3a7f-2fb7-4966-be83-faa58fbc5407,missing-address,MI
86d47759-3b76-45cc-af33-522640ecec16,missing-address,MI
87de1008-5deb-4d36-a871-6b48dd5ddf9f,missing-address,MI
9cd99e1e-66f3-43a9-977f-2f0e3f9e9810,missing-address,MI
9d0f39c3-4609-4b0b-8051-7ca9b53f97b0,missing-address,MI
9e98d564-93c0-4149-9680-1b13a06e0740,missing-address,MI
a3bd4ae7-8628-43ac-ba05-c03028eb215c,missing-address,MI
a5cf4099-551f-4a7b-b4e2-344446b62a4c,missing-address,MI
c7f25b2f-f452-4eb3-b77d-7f74097bd34e,missing-address,MI
d0b37299-61ff-49e7-bcc9-46d9ce6616ab,missing-address,MI
f272ad94-84b1-4088-8ce0-b1efa77a4230,missing-address,MI
046b382e-6805-4be0-867d-d919b6cedadb,missing-address,NC
06883341-0452-4e42-ac4a-110e3c75596d,missing-address,NC
0b4195b4-4e0a-4192-99a0-dea2c6eb0d9e,missing-address,NC
3f5861a1-e8dd-4b4a-8f04-bd0f52d5d5e0,missing-address,NC
754ad6c5-67c3-471c-a1f0-a2add44818fa,missing-address,NC
7e5d2317-5854-4dbb-8ebd-dad61a06f0c4,missing-address,NC
7efc409a-2666-417c-8c11-38fe30e02d21,missing-address,NC
8b02e14f-6692-4781-9589-8b907c49850f,missing-address,NC
9a6d740d-debc-4f90-b5fc-e9daae0d3986,missing-address,NC
9e06c3ca-5ad6-4e47-b42c-583b6befe935,missing-address,NC
a55fe534-cdce-4fa2-946f-7e54ac747462,missing-address,NC
ad3e43c4-ef04-43df-b994-d7c9fb475388,missing-address,NC
b106bf49-e8d4-4e65-96c0-d9124ddf49fc,missing-address,NC
bef99f45-641b-4410-b4a8-9b261b2b1c72,missing-address,NC
d111217f-786e-4b71-b57e-ffa4dca9f3b2,missing-address,NC
f2ee667c-a7d7-4e9d-9f9d-b3333d69bb73,missing-address,NC
f4d3f9bc-301b-4c9d-bdf5-843989754796,missing-address,NC
fdbe5898-24a8-4743-a127-a5a1769e3ef9,missing-address,NC
ff910909-fb85-4078-89de-733cdf1b24f3,missing-address,NC
0fdb9170-a4db-4d78-9139-2772e54dc673,missing-address,OH
4b60c1b7-624c-4541-8466-0844e9e0369e,missing-address,OH
640d6b42-4c71-4eb9-b734-da42ae182bab,missing-address,OH
7d8b58e5-05b3-43bc-8ce7-2ec4e660fc2e,missing-address,OH
88da4d5c-2816-4329-947d-6a77e584c45d,missing-address,OH
944b49c4-30dd-432f-bdd3-c137cf827e86,missing-address,OH
9c02196d-c003-4a1c-8d12-900557e6c70f,missing-address,OH
9d5a2272-c6dd-4da0-bebb-cefcb166dbca,missing-address,OH
a458560a-f2f2-4149-b476-a63e7a260094,missing-address,OH
c318488f-fe10-471f-afb2-407f771beb82,missing-address,OH
e1730d2e-0567-43bc-a3db-6e15a0f8cb11,missing-address,OH
ef9a0053-4768-456f-a747-0e383547a97a,missing-address,OH
1933b8ea-539e-40c2-a8c1-3b177375cc7a,missing-address,SC
238eeba1-8e9e-4260-99e9-907013e3acd2,missing-address,SC
3392e09d-00c0-4f3d-b676-752172385b76,missing-address,SC
344a08fa-8320-4f25-95b6-1519225ca8b4,missing-address,SC
4c5cc4c2-5394-4b3e-900e-ab729ab8bc54,missing-address,SC
60eb6009-2034-4200-b1ea-da4d5bd0fe73,missing-address,SC
6ad4784a-e243-424d-add0-f86c493522d8,missing-address,SC
86e0949e-2d59-46d6-96f2-7d23539bdc3e,missing-address,SC
992872b0-b0e0-4f51-867c-1460666822b7,missing-address,SC
9ba81ef1-4451-4a4d-83fe-93baa59df27c,missing-address,SC
a10529de-1b68-4339-b067-ecbb6b3e9fd5,missing-address,SC
a78733d7-c361-4bb9-b33b-fce85430accb,missing-address,SC
a9a6b5c2-d0aa-4f0b-bce6-0feba95184e7,missing-address,SC
b0bc8564-8366-420d-ae6b-5e7beba07881,missing-address,SC
b6e214a9-642b-4f97-a844-fe869483a318,missing-address,SC
d759e929-70d5-47a8-a632-081f53f3a93f,missing-address,SC
f06d1393-166a-44a7-8ea1-9bb9ffdf749a,missing-address,SC
f71dfc37-7d4f-4693-a5d8-964a03945701,missing-address,SC
132a8918-4b7b-429b-b420-ce69e9ecb151,missing-address,TN
291f4ba9-2de3-4f95-a81d-642f0bf0ac93,missing-address,TN
34f173ec-5520-4e3b-aa7e-41cd6bb9de9d,missing-address,TN
39d8b991-c7a4-4631-82f9-23f3e3947ae9,missing-address,TN
3b66bf1e-4b38-46c8-8b27-b1945714c544,missing-address,TN
5f8a9e1f-6fd6-411f-83aa-6a56f2cb8c97,missing-address,TN
7bddc0f4-c215-42e9-958a-82260e323ba5,missing-address,TN
89e8f796-d286-4e0e-b0d3-327b03d76cfa,missing-address,TN
9294ef9c-0e44-440c-a480-81bc00da21e5,missing-address,TN
b0e52e2c-764d-4cfb-a8bb-2d785e119711,missing-address,TN
c1b2faaa-1b77-420d-88ce-d1d2d36f7a5b,missing-address,TN
c4c53150-93d8-46e4-a4a5-8a5ede62e6ec,missing-address,TN
ce99eb50-9aef-4eef-b2a6-022e4f902a17,missing-address,TN
d1a0677b-70ad-4022-ad21-d629f8373457,missing-address,TN
d375452a-670c-4a2e-8d3e-92fc53756210,missing-address,TN
f2afcd23-d5f0-4a59-b8b0-00b83e24da33,missing-address,TN
37a7f0ab-cf4f-4a92-8bc2-22b25dfdbfec,missing-address,VA
3a2d2598-0016-4b6e-a4c8-78a0e542015d,missing-address,VA
51038905-7826-4be7-83d8-b1ef23a9b7f6,missing-address,VA
5e324390-1d0f-44c0-a290-adba7b6310fe,missing-address,VA
642f5b91-976b-4b31-aee9-c9dec2f544e8,missing-address,VA
73fe0660-9015-47b0-8a05-d0a5dc71160a,missing-address,VA
7a03c1f5-6b4d-4951-98a2-a3e752d2270b,missing-address,VA
8095c618-daf7-49a4-ad3d-4a4cd02617e3,missing-address,VA
837b89e1-93fb-456c-9c38-ec7e3f0a8cef,missing-address,VA
a10bc9c5-3119-4a79-bb06-906f09e4d234,missing-address,VA
a7dbd110-935e-4a13-ba6f-0596c4c20676,missing-address,VA
af0c8334-1b41-4f45-a2ed-8969463fb763,missing-address,VA
c6dca596-3afa-47c7-8ece-e1c653234879,missing-address,VA
e36e07df-2f06-48a6-9494-8cf3b0f4cc15,missing-address,VA
e963cb04-0c2f-4b9e-aecf-f914523faefd,missing-address,VA
