"listing_id","business_name","input_address","census_matched_address","existing_coordinate","proposed_coordinate","distance_from_control_m","state_bounds_result","match_classification","reviewer_decision","reviewer_notes"
"925013f5-8de1-4263-999a-8121bb9bd399","CAT Scale — Flying J Travel Center #668, Saginaw","3475 E Washington Rd, Saginaw, MI 48601","3475 E WASHINGTON RD, SAGINAW, MI, 48601","","43.450721242849,-83.893831675949","","in-state","census-manual-review","",""
"9eb4f46e-b11a-4d3c-be3b-6e34a79f3631","CAT Scale at TA Candler","153 Wiggins Rd, Candler, NC 28715","153 WIGGINS RD, CANDLER, NC, 28715","","35.544525627205,-82.755393036071","","in-state","census-manual-review","",""
"1b28a7ae-3fa0-4c3a-975d-b96459b104d1","Southern Tire Mart at Pilot - Jackson","30 Sand Pebble Rd (at Pilot Travel Center #366), Jackson, TN 38305","","","","","n/a","census-no-match","",""
"06ea73db-318b-4f90-812a-353ddb570b13","Super 8 by Wyndham Grayling (Fick & Sons)","5828 Nelson A Miles Pkwy, Grayling, MI 49738","5828 NELSON A MILES PKWY, GRAYLING, MI, 49738","","44.600330203587,-84.712413293227","","in-state","census-manual-review","",""
"11ed7674-3739-4cfa-9433-51c982f1d544","CAT Scale at ONE9 Travel Center #226","505 Patriot Dr, Dandridge, TN 37725","505 PATRIOT DR, DANDRIDGE, TN, 37725","","36.03907915899,-83.444214712387","","in-state","census-manual-review","",""
"27490a78-a0da-432e-9f3b-7d351f0b1ef4","CAT Scale at Love's Travel Stop #459","4155 S Indianapolis Rd, Whitestown, IN 46075","4155 INDIANAPOLIS RD, WHITESTOWN, IN, 46075","","39.978017165801,-86.397236740986","","in-state","census-manual-review","",""
"44ef662c-3372-40a8-9c5b-eb2f0c76fc2c","VIP Quality Express Truck Wash","7535 Montevideo Road, Jessup, MD 20794","7535 MONTEVIDEO RD, JESSUP, MD, 20794","","39.16383825077,-76.769680708308","","in-state","census-manual-review","",""
"1ea6395c-a3b6-45ea-8e77-44eeca7f1ef6","Comfort Suites Cullman I-65 Exit 310","2054 St Joseph Drive NW, Cullman, AL 35055","","","","","n/a","census-no-match","",""
"9eb5cdaa-1e13-48a0-b82f-d573166dfe03","Speedway #3424","1475 W Market St, Troy, OH","1475 N MARKET ST, TROY, OH, 45373","","40.054403205762,-84.189237162531","","in-state","census-manual-review","",""
"3e5fef77-bc72-4174-b45d-04f6096c8fde","TA Earle (TravelCenters of America #033)","408 Highway 149 N, Earle, AR 72331","408 STATE HWY 149, EARLE, AR, 72331","","35.282286600748,-90.468684301219","","in-state","census-manual-review","",""
"410fb4a6-1480-436d-b89b-b5721608cc2a","Truck Wash at Pilot Travel Center (Burr Street, Gary)","2501 Burr St, Gary, IN 46406","2501 BURR ST, GARY, IN, 46406","","41.57345062487,-87.403375915921","","in-state","census-manual-review","",""
"603f66e7-ab68-4307-908f-1d1d6ca2d69a","Truck Parking Club - 1712 Germantown Rd (Middletown)","1712 Germantown Road, Middletown, OH 45042","","","","","n/a","census-no-match","",""
"773a8400-7000-4901-b31c-6f83dda77af6","Alpha Dawg Diesel Truck & Trailer Repair","1001 Baker Drive, Monroe, OH 45050","","","","","n/a","census-no-match","",""
"f12efc5b-1023-449c-b0b6-5b4df2dbadb1","Hy-Miler (Mobil) Travel Center","2488 Oregon Rd, Northwood, OH 43619","2488 OREGON RD, NORTHWOOD, OH, 43619","","41.609200270118,-83.538230034796","","in-state","census-manual-review","",""
"c36a20c0-a035-4478-93c5-c93dceffb194","CAT Scale at Pilot Travel Center #406","9211 Lewisburg Highway, Cornersville, TN 37047","9211 LEWISBURG HWY, CORNERSVILLE, TN, 37047","","35.304676143923,-86.884102253998","","in-state","census-manual-review","",""
"ea77b1ed-08aa-424a-a08f-dd7928387ad7","Shrader Tire & Oil — North Toledo Truck Tire Center","6032 Hagman Rd, Toledo, OH 43612","6032 HAGMAN RD, TOLEDO, OH, 43612","","41.727389919942,-83.508820675401","","in-state","census-manual-review","",""
"1beb847b-eca9-4b86-a151-558340292504","Flying J Travel Plaza #624 (Dade City / San Antonio)","29933 State Road 52, San Antonio, FL 33576","29933 STATE RD 52, SAN ANTONIO, FL, 33576","","28.325553237509,-82.322268497102","","in-state","census-manual-review","",""
"146b8332-2938-43e7-ab80-e6069aee6443","Love's Truck Care - Frenchtown/Monroe (#645)","1609 Nadeau Rd, Frenchtown, MI 48161","","","","","n/a","census-no-match","",""
"71e6cb4a-6c13-4f87-9686-92e6044703a0","95 Truck & Trailer Repair","11765 Capital Ln, Fredericksburg, VA 22407","11765 CAPITAL LN, FREDERICKSBURG, VA, 22408","","38.279625793878,-77.446148576434","","in-state","census-manual-review","",""
"783d1792-e352-4fb3-bd2b-fc38951c19c8","TA Gary #010 (Burr Street)","2510 Burr St, Gary, IN 46406","2510 BURR ST, GARY, IN, 46406","","41.573278036,-87.403567223452","","in-state","census-manual-review","",""
"8f2aedd7-e4a2-40b8-98c0-22c027127390","All Hooked Up Towing & Recovery","134 Toney Penna Dr, Jupiter, FL 33458","134 TONEY PENNA DR, JUPITER, FL, 33458","","26.926236725737,-80.095612482629","","in-state","census-manual-review","",""
"00151f69-dcb6-4510-ac9e-19f6c5ba77a2","Truck Parking Club - 6180 Benore Rd (Toledo)","6180 Benore Rd, Toledo, OH 43612","6180 BENORE RD, TOLEDO, OH, 43612","","41.729175739281,-83.527248937417","","in-state","census-manual-review","",""
"779bb801-20f2-4567-b127-011270581bd1","TA Truck Service at Petro Gary","3001 Grant St, Gary, IN 46408","3001 GRANT ST, GARY, IN, 46408","","41.559707240659,-87.355879322194","","in-state","census-manual-review","",""
"b9c7c0fd-8292-4f9f-8424-ab1914e68738","CAT Scale at Pilot Sadler's Emporia","918 W Atlantic St, Emporia, VA 23847","918 W ATLANTIC ST, EMPORIA, VA, 23847","","36.70415608575,-77.553025704599","","in-state","census-manual-review","",""
"cdeb1524-21ed-4454-9667-4b4781f3e8fb","Love's Travel Stop #346","1624 Bear Creek Pike, Columbia, TN 38401","1624 BEAR CREEK PIKE, COLUMBIA, TN, 38401","","35.644334713207,-86.88599342113","","in-state","census-manual-review","",""
"7b969fa7-19c1-4bd2-b0c5-9663b9007464","Love's Travel Stop #308","3308 Hwy 226 S, Marion, NC 28752","","","","","n/a","census-no-match","",""
"4afcec75-e167-44b6-bf5b-3219086c047e","Dolly's Tennessean Travel Stop","3686 Pulaski Highway, Cornersville, TN 37047","","","","","n/a","census-no-match","",""
"7d908a8c-749c-4c46-9c03-9c73ad7b7b36","Truck Parking Club - 830 Eastern Bypass (Richmond)","830 Eastern Bypass, Richmond, KY 40475","830 EASTERN BYP, RICHMOND, KY, 40475","","37.731404257377,-84.280899280514","","in-state","census-manual-review","",""
"b853c27b-e5f4-4288-a608-0d9f240d5b71","Coty's Hi-Pressure Wash & General Truck Repair (Saginaw)","3460 E Washington Rd, Saginaw, MI 48601","3460 E WASHINGTON RD, SAGINAW, MI, 48601","","43.450627560638,-83.895522788655","","in-state","census-manual-review","",""
"d6097cf6-67ee-4259-bd01-c63af2c6bc0f","Highway Transport Chemical Tank Wash","7800 Foundation Dr, Florence, KY 41042","7800 FOUNDATION DR, FLORENCE, KY, 41042","","38.983648135293,-84.595308037882","","in-state","census-manual-review","",""
"27c0d036-6d49-449f-963a-a57b7b3e1784","Rocky Mount Inn","1921 N Wesleyan Blvd, Rocky Mount, NC 27804","1921 N WESLEYAN BLVD, ROCKY MOUNT, NC, 27804","","35.986281676039,-77.783449242405","","in-state","census-manual-review","",""
"abd74d87-27d2-44c5-bf68-7e0c999a1021","Bcity Tire Service and Sales, Inc.","5640 15th St E, Bradenton, FL 34208","5640 15TH ST E, BRADENTON, FL, 34203","","27.441153648376,-82.546733013566","","in-state","census-manual-review","",""
