"listing_id","business_name","input_address","census_matched_address","existing_coordinate","proposed_coordinate","distance_from_control_m","state_bounds_result","match_classification","reviewer_decision","reviewer_notes"
"1b28a7ae-3fa0-4c3a-975d-b96459b104d1","Southern Tire Mart at Pilot - Jackson","30 Sand Pebble Rd (at Pilot Travel Center #366), Jackson, TN 38305","","","","","n/a","census-no-match","",""
"1ea6395c-a3b6-45ea-8e77-44eeca7f1ef6","Comfort Suites Cullman I-65 Exit 310","2054 St Joseph Drive NW, Cullman, AL 35055","","","","","n/a","census-no-match","",""
"603f66e7-ab68-4307-908f-1d1d6ca2d69a","Truck Parking Club - 1712 Germantown Rd (Middletown)","1712 Germantown Road, Middletown, OH 45042","","","","","n/a","census-no-match","",""
"773a8400-7000-4901-b31c-6f83dda77af6","Alpha Dawg Diesel Truck & Trailer Repair","1001 Baker Drive, Monroe, OH 45050","","","","","n/a","census-no-match","",""
"146b8332-2938-43e7-ab80-e6069aee6443","Love's Truck Care - Frenchtown/Monroe (#645)","1609 Nadeau Rd, Frenchtown, MI 48161","","","","","n/a","census-no-match","",""
"7b969fa7-19c1-4bd2-b0c5-9663b9007464","Love's Travel Stop #308","3308 Hwy 226 S, Marion, NC 28752","","","","","n/a","census-no-match","",""
"4afcec75-e167-44b6-bf5b-3219086c047e","Dolly's Tennessean Travel Stop","3686 Pulaski Highway, Cornersville, TN 37047","","","","","n/a","census-no-match","",""
"2f8d337f-56bf-4d5d-bfca-44de796066ca","Love's Truck Care - Ocala (#363)","7791 NW 47th Ave, Ocala, FL 34482","","","","","n/a","census-no-match","",""
"13a9285c-b1a3-41c1-8bd8-b37661403226","Conoco Truck Stop (Carlisle One Stop)","1491 Bobby L Glover Highway, Carlisle, AR 72024","","","","","n/a","census-no-match","",""
"55ea9889-c967-4506-aab5-c5fb836ee30e","Michigan Welcome Center - St. Ignace (I-75)","I-75 N Mackinac Bridge Plaza, St. Ignace, MI 49781","","","","","n/a","census-no-match","",""
"1822b81f-648c-4711-a265-fe1800ccb423","Love's Travel Stop #451","5115 N 300 E, Whiteland, IN 46184","","","","","n/a","census-no-match","",""
"525d165f-3020-48a5-a584-8bf689288500","Love's Speedco #906","130 Pilot Dr, Brunswick, GA 31523","","","","","n/a","census-no-match","",""
"d7669ede-a1d0-4fc9-9bd7-ab2fc25db55e","CAT Scale at Love's Travel Stop #330","110 Fast Ln, Baxter, TN 38544","","","","","n/a","census-no-match","",""
"da698161-6d20-4069-9e12-64db6fb9cf21","Pilot Travel Center #9","6830 Franklin-Lebanon Road, Franklin, OH 45005","","","","","n/a","census-no-match","",""
"0432986c-b8ae-47fe-a647-db30b12d9434","Love's Truck Tire Care #624, Prichard","2600 W I-65 Service Rd N, Prichard, AL 36612","","","","","n/a","census-no-match","",""
"2aafd4fa-3045-492d-a047-49a8ada973dd","CAT Scale — Pilot Travel Center #231, Corbin","249 W Cumberland Gap Pkwy, Corbin, KY 40701","","","","","n/a","census-no-match","",""
