listing_id,business_name,category,city,state,interstate,exit_number,classification,reason
01141f13-1417-494d-a94d-1445b4261451,HOB-CO LLC Mobile Truck & Trailer Repair,roadside-service,Richmond,KY,I-75,,unresolved,no exit path and no street address
020975e1-13ef-41d9-a02e-c94d8ba05896,"CAT Scale — Love's Travel Stop #624, Prichard",cat-scales,Prichard,AL,I-65,8,needs-external-geocode,outside-anchor-range; has street address (Census rejected this address)
03cfac83-ce8b-457e-98e6-26265c60d3b4,Love's Truck Wash - Hazen,truck-washes,Hazen,AR,I-40,193,needs-external-geocode,anchor-gap-too-large; has street address (Census rejected this address)
0432986c-b8ae-47fe-a647-db30b12d9434,"Love's Truck Tire Care #624, Prichard",tire-repair,Prichard,AL,I-65,8,needs-external-geocode,outside-anchor-range; has street address (Census rejected this address)
062c24f7-7145-41f3-97f7-431b2d8965b3,Pilot Travel Center #6990,truck-stops,Kenly,NC,I-95,106,needs-external-geocode,anchor-gap-too-large; has street address (Census rejected this address)
06883341-0452-4e42-ac4a-110e3c75596d,Waynesville Tire Inc,tire-repair,Waynesville,NC,I-40,,unresolved,no exit path and no street address
06e42540-a961-466c-8a92-b323201f9410,Arkansas Highway Police Weigh Station - I-40 Westbound (Riverside / West Memphis),weigh-stations,West Memphis,AR,I-40,,unresolved,no exit path and no street address
0b34c58e-1c6e-4138-a978-f49cbf546920,"CAT Scale — Love's Travel Stop #470, Jasper",cat-scales,Jasper,FL,I-75,451,needs-external-geocode,anchor-gap-too-large; has street address (Census rejected this address)
0b4195b4-4e0a-4192-99a0-dea2c6eb0d9e,Halifax County I-95 Weigh Station (SHP),weigh-stations,Enfield,NC,I-95,,unresolved,no exit path and no street address
0b924a84-cb2d-4876-b433-f63fdfa47c78,Carson Safety Rest Area,parking,Carson,VA,I-95,,needs-external-geocode,no-exit-number; has street address (Census rejected this address)
0c12c406-4c2e-44e8-9782-2a153284e104,I-65 Athens Weigh Station (Northbound),weigh-stations,Athens,AL,I-65,,unresolved,no exit path and no street address
0c8f2702-18ba-465d-ad9f-7222b3db2744,Maryland House Travel Plaza,truck-stops,Aberdeen,MD,I-95,,needs-external-geocode,no-exit-number; has street address (Census rejected this address)
0ea22351-f61f-4716-adf4-d44bb53de66a,American Towing Service - Miami,roadside-service,Miami,FL,I-95,,unresolved,no exit path and no street address
