listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action,confidence_reason,reviewer_notes,priority,anchor_provenance
01d5116b-6fc7-4a6f-909d-11d594522aab,Truck Parking Club - Candler lot off Smokey Park Hwy,parking,Smokey Park Hwy (exact street number not published in listing preview),Candler,NC,,,,35.557336,-82.635671,medium,,mile-marker interpolation; interpolated between mileposts 44 and 44 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 36f8c6be-7609-4ada-92c7-9d344b0abf58 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
03c39975-0f38-4f41-97e7-d50d95b9edf0,Petro Stopping Center #326 (Petro N. Little Rock),truck-stops,3205 Valentine Rd,North Little Rock,AR,72117,,,34.823607,-92.096193,medium,,mile-marker interpolation; interpolated between mileposts 161 and 161 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,"CO-LOCATED: identical point to pending anchor of listing 0590d8cb-a505-4dfe-bdd6-5ce120d04412 — confirm distinct businesses at this exit; shares proposed point with candidate(s) 5ff985fa-b430-487b-8217-485a94e97d7d, 683aa9c6-51fa-479d-8042-b597b0bf2958, 740eb2a8-11f4-417c-b100-55913cdad7bb, 7eaa790a-ef79-4337-8268-12328f968bfb, 930d8058-2612-4312-99fe-c80cc9d03e11, d33bd5af-db05-4f0b-a829-7db826c27a96, ea928447-ab0f-46a4-9d40-916a91f2ffa2",high,exact-exit anchor: census-pending-approval
046b382e-6805-4be0-867d-d919b6cedadb,North Carolina Welcome Center - I-95 Northampton,parking,,Pleasant Hill,NC,27866,,,36.523860,-77.588397,medium,,mile-marker interpolation; interpolated between mileposts 180 and 180 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing b89a9bb7-6833-4f23-8466-1d6660615cd3 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
05c35c41-6e8f-481f-a2f7-5f50e91170df,"CAT Scale — Love's Travel Stop #363, Ocala",cat-scales,7791 NW 47th Avenue,Ocala,FL,34482,,,29.267063,-82.191807,medium,,mile-marker interpolation; interpolated between mileposts 358 and 358 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,"CO-LOCATED: identical point to pending anchor of listing 1fbc776a-057a-4370-96e9-bc049b0385a8 — confirm distinct businesses at this exit; shares proposed point with candidate(s) 2f8d337f-56bf-4d5d-bfca-44de796066ca, fe6917b6-5da4-42db-a6ab-e533a1101e62",high,exact-exit anchor: census-pending-approval
08e36b89-6dee-438f-bd37-edf4a6eab784,Love's Travel Stop #368,truck-stops,300 Arby Dr,Clanton,AL,35045,,,32.841523,-86.601370,low,,mile-marker interpolation; interpolated between mileposts 200 and 219 (gap 19 mi),manual-review,anchor gap based; capped at medium by design,"shares proposed point with candidate(s) 21dc37d4-6706-44d4-8dee-b871cdce17d4, b92f4315-9237-42fc-ba92-71c2e383e7cc",normal,lower: census-pending-approval; upper: census-pending-approval
0bb17862-7612-4347-8917-657be20158b0,PJ's Country Store (Jump Stop / Valero),truck-stops,9499 US Highway 70,Lehi,AR,,,,35.211479,-90.285452,low,,mile-marker interpolation; interpolated between mileposts 260 and 280 (gap 20 mi),manual-review,anchor gap based; capped at medium by design,,normal,lower: census-pending-approval; upper: census-pending-approval
0e545ab7-6774-47b5-8f58-30d40f795728,Sheetz #804,truck-stops,310 Chicken Foot Rd,Hope Mills,NC,28348,,,34.906753,-78.877571,low,,mile-marker interpolation; interpolated between mileposts 22 and 49 (gap 27 mi),manual-review,anchor gap based; capped at medium by design,,normal,lower: census-pending-approval; upper: census-pending-approval
0fd1e82b-0a8e-410b-9af9-8787d6ab89b8,TA Whitestown (TravelCenters of America #173),truck-stops,5930 E State Road 334,Whitestown,IN,46075,,,39.989770,-86.374869,medium,,mile-marker interpolation; interpolated between mileposts 130 and 130 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,"CO-LOCATED: identical point to pending anchor of listing efa068e0-042c-4242-a821-08949d2486c2 — confirm distinct businesses at this exit; shares proposed point with candidate(s) 97fcf610-ee57-4801-ab8f-87af7945076d, a8c59dd9-a02e-41d1-b843-850c5fa78b43",high,exact-exit anchor: census-pending-approval
12dde434-b831-4783-97f6-f524314da838,Menendez Road Service,roadside-service,,Jessup,MD,20794,,,39.163838,-76.769681,medium,,mile-marker interpolation; interpolated between mileposts 41 and 41 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 44ef662c-3372-40a8-9c5b-eb2f0c76fc2c — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
13be8788-04e4-4034-ade5-45061a9c25ec,Florida Weigh Station - I-75 Northbound (Punta Gorda),weigh-stations,,Punta Gorda,FL,,,,26.894764,-82.009206,medium,,mile-marker interpolation; interpolated between mileposts 161 and 161 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 7500cfb3-d609-4280-9869-356cb5588398 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
13fbe19d-84fb-4f7b-b4e4-f40b556c3235,Little Rock Truck Parking - Conway Lot,parking,,Conway,AR,,,,35.074058,-92.433166,medium,,mile-marker interpolation; interpolated between mileposts 125 and 125 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing dc42c076-4e52-4013-98b4-5a57ddc223c9 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
