listing_id,business_name,city,state,interstate,lat,lng,severity,findings,miles_outside_state,miles_outside_corridor
277f07bd-626c-4e6a-ba01-55dcae73dba5,101 Travel Center (101 Travel Stop),Cedar Grove,TN,I-40,,,no-coordinates,no-coordinates,,
fed4a341-e7ca-4020-b95e-11a589f9d537,160 Driving Academy - Newark,Newark,DE,I-95,,,no-coordinates,no-coordinates,,
3a2d2598-0016-4b6e-a4c8-78a0e542015d,2020 CDL Training (Fredericksburg),Fredericksburg,VA,I-95,,,no-coordinates,no-coordinates,,
73fe0660-9015-47b0-8a05-d0a5dc71160a,2020 Truck and Trailer Repair,Fredericksburg,VA,I-95,,,no-coordinates,no-coordinates,,
bfadf192-bbdd-45b1-a64a-e6bf10c2ba74,24/7 Diesel and Tire Repair,Valdosta,GA,I-75,,,no-coordinates,no-coordinates,,
488ef5d6-960c-4504-a163-4c4c8c6d11fc,247 Truck Stop,Widener,AR,I-40,,,no-coordinates,no-coordinates,,
c43fdbd0-acb9-4d1d-a319-33fffc4c53eb,49er Fuel Center,East Bernstadt,KY,I-75,,,no-coordinates,no-coordinates,,
2b918267-6d9e-42db-ba42-77f879f9dc43,76 Fuel Center,Berea,KY,I-75,,,no-coordinates,no-coordinates,,
54011c80-7ce2-44f4-b11a-f2b8985f9794,76 Truck Plaza (Truck Parking Club listing),Berea,KY,I-75,,,no-coordinates,no-coordinates,,
71e6cb4a-6c13-4f87-9686-92e6044703a0,95 Truck & Trailer Repair,Fredericksburg,VA,I-95,,,no-coordinates,no-coordinates,,
c0d803ff-2516-4efe-aecb-b94c0a7e3649,99 Truck Stop (Joe's Stop 99),Anna,OH,I-75,,,no-coordinates,no-coordinates,,
1563a9b1-b685-4915-9ef4-eed8e80c4827,A Anytime Anywhere 24 Hour Mobile Truck Repair,Macon,GA,I-75,,,no-coordinates,no-coordinates,,
f89415ea-400b-4f6a-954b-7e920013cf4a,A-1 Truck Stop,Ashburn,GA,I-75,,,no-coordinates,no-coordinates,,
59355245-49a7-4da9-b672-e7e257c8e1e9,A.B. CDL Training,Laurel,MD,I-95,,,no-coordinates,no-coordinates,,
72a21b70-6f02-439d-a737-1423eabc65f5,Admiral — Sault Ste. Marie (I-75 Business Spur),Sault Ste. Marie,MI,I-75,,,no-coordinates,no-coordinates,,
46a4172e-6c72-4fa2-aecc-c6d44fbb6f74,"After Hours Road Service, Inc.",Naples,FL,I-75,,,no-coordinates,no-coordinates,,
