listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action,queue_reasons
38139280-d79e-4c84-8807-5831c72095a7,"CAT Scale — Adel Truck Plaza, Adel",cat-scales,1503 W 4th St,Adel,GA,31620,,,31.138574,-83.444919,high,https://www.allstays.com/truckstops-details/90451.php,"truck-stop directory POI point via web search; Adel Truck Plaza at I-75 exit 39 (GA-37/W 4th St interchange). Point sits at the exit 39 interchange, correct side for the plaza. A WhosOnFirst venue (Huddle House, same 1503 W 4th St address) geocodes ~900 m east at 31.134378,-83.436166 (likely street-interpolated); kept the truck-stop-directory point at the interchange. Single-source conflict noted, [AUDITED:confirmed] Promote medium->high: Huddle House official locator for 1503 West Fourth St (restaurant inside Adel Truck Plaza) gives 31.138438,-83.444989 — ~20 m from proposed 31.138574,-83.444 [FINAL-AUDIT:approved] Independent manual truck-parking dataset (eRedekopp/trucker.alp) puts Adel T",ready,action=ready; confidence=high; valid coordinates
61744d1b-3abe-4aed-bbcc-775321a08d5b,"CAT Scale — Pilot Travel Center #267, Byron",cat-scales,2965 Hwy 247C,Byron,GA,31008,,,32.612278,-83.744515,high,https://raw.githubusercontent.com/baxbergenut/fuelbot/master/all_locations.csv,"Pilot-network location dataset + independent scrape cross-check; Pilot #267 (I-75 exit 146). Pilot-derived dataset 32.61227799,-83.74451508 confirmed by RVUnicorn pilot-flying-j.csv 32.612766,-83.744558 (~60 m) and by findtruckservice-derived snippet (same value). CAT scale is on this host Pilot property. [AUDITED:confirmed] Independent OSM node 537306491 (lokal-ninja/georgia byron/pilot.yml): Pilot, 2965 Highway 247C, website locations.pilotflyingj.com/us/ga/byron — 32.61221,-83.74452, ~8 m from propo [FINAL-AUDIT:approved] Uncited Pilot store-267 geocodes (laurabethstone dlobo_latlong 32.612766,-83.744558, 54 m; adnmcq same) and OSM node 537",ready,action=ready; confidence=high; valid coordinates
ef42e8a8-4ee1-4ece-a100-ba17bfe15200,Pilot Travel Center #267,truck-stops,2965 Highway 247C,Byron,GA,,,,32.612278,-83.744515,high,https://github.com/baxbergenut/fuelbot/blob/main/all_locations.csv,"Pilot Flying J location-API data (scraped dataset, store #267, phone/exit match) cross-checked against older official Pilot CSV; Current PFJ API dump: 32.61227799,-83.74451508 (I-75 Exit 146, phone 478-956-5316). Older official pilot_locations.csv (github adnmcq/geo, store 267): 32.612766,-83.744558 - agrees within ~55 m. Both trace to Pilot's own published data (locations.pilotflyingj.com itself  [AUDITED:confirmed] Independent OSM node 537306491 (Pilot, 2965 Highway 247C, Byron): 32.61221,-83.74452 — ~8 m from proposed. Exit 146 latitude verified (special concern): ~4.2 mi south of Byron/US- [FINAL-AUDIT:approved] Uncited dlobo_latlong store 267 (32.612766,-83.744558, 54 m) and RouteFlare",ready,action=ready; confidence=high; valid coordinates
78e6f4ee-fc3b-4c79-8946-2f2bc602a54a,"CAT Scale — Love's Travel Stop #735, Calhoun",cat-scales,1081 Belwood Rd SE,Calhoun,GA,30701,,,34.443856,-84.915181,high,https://github.com/dsollberger/30DayMapChallenge/blob/master/2022/data/All_The_Places/loves.geojson,"alltheplaces scrape of loves.com + co-located POI cross-check; Love's #735 (I-75 exit 310). loves.com-scraped point 34.443856,-84.915181 confirmed by co-located Burger King at 1081 Belwood Rd SE (34.4433007,-84.9157337, ~75 m) and RVUnicorn loves.csv (34.442816,-84.915598, ~120 m). CAT scale on host Love's property. [FINAL-AUDIT:approved] OSM node 13149411585 (fetched myself from lokal-ninja, not cited on this row) puts Love's at 1081 Belwood Rd SE at 34.44",ready,action=ready; confidence=high; valid coordinates
4e8c0e97-4aab-4853-8e43-904eacb3b0a9,"CAT Scale — Pilot Travel Center #4558, Calhoun",cat-scales,2111 US Highway 41 NE,Calhoun,GA,30701,,,34.55883,-84.935611,high,https://raw.githubusercontent.com/baxbergenut/fuelbot/master/all_locations.csv,"Pilot-network location dataset + independent scrape cross-check; Pilot #4558 (I-75 exit 318, US-41). 34.55883045,-84.93561143 confirmed by RVUnicorn 34.558868,-84.935939 (~30 m) and truckstopsandservices-derived snippet 34.55882111,-84.93563384. CAT scale on host Pilot property. [FINAL-AUDIT:approved] Uncited Pilot store-4558 geocode in laurabethstone dlobo_latlong (34.5588042,-84.9356175) is 3 m from proposed; POI-Fact",ready,action=ready; confidence=high; valid coordinates
15f5c84b-8284-455e-8928-c688f5a308ab,Love's Travel Stop #735,truck-stops,1081 Belwood Rd SE,Calhoun,GA,30701,,,34.443856,-84.915181,high,https://github.com/dsollberger/30DayMapChallenge/blob/main/2022/data/All_The_Places/loves.geojson,"loves.com official data (All The Places loves spider, Site 735) + two independent cross-checks; ATP/loves.com: 34.443856,-84.915181 (1081 Belwood Road SE, phone 706-624-8193). Cross-checks: RVUnicorn loves.csv 34.442816,-84.915598 (~120 m) and campgroundviews.com 34.4439,-84.9152 (~10 m). Co-located Burger King OSM point 34.44330,-84.91573 also on-property. I-75 exit 310. [AUDITED:confirmed] Independent OSM node 13149411585 (lokal-ninja/georgia calhoun/loves.yml): Love's, 1081 Belwood Road Southeast, 34.44329,-84.91551 — ~70 m from proposed 34.443856,-84.915181. [FINAL-AUDIT:approved] Yelp (June 2026), Subway and BFGoodrich dealer locators independently confirm Love's #735 operating at 1081",ready,action=ready; confidence=high; valid coordinates
9689ab8c-c937-4676-8fa4-de202ec699d7,Pilot Travel Center #4558,truck-stops,2111 US Highway 41 NE,Calhoun,GA,30701,,,34.558868,-84.935939,high,https://github.com/adnmcq/geo/blob/master/pilot_locations.csv,"official Pilot location CSV (store 4558) + independent geocoded dataset cross-check; Pilot official data: 34.558868,-84.935939 (2111 US Highway 41 NE, I-75 Exit 318, phone 706-625-4368). Independent cross-check (github laurabethstone/data dlobo_latlong.csv, keyed by store 4558): 34.5588042,-84.9356175 - agrees within ~30 m. [FINAL-AUDIT:approved] Uncited POI-Factory truck-stop dataset has Pilot #4558 at exactly 34.558868,-84.935939 (0 m) and current PFJ API dump (f",ready,action=ready; confidence=high; valid coordinates
338601ce-8529-4ee1-a478-3284d6901206,"CAT Scale — Pilot Travel Center #67, Cartersville",cat-scales,968 Cassville-White Rd,Cartersville,GA,30120,,,34.272701,-84.807736,high,https://raw.githubusercontent.com/baxbergenut/fuelbot/master/all_locations.csv,"Pilot-network location dataset + two independent cross-checks; Pilot #67 (I-75 exit 296). 34.27270118,-84.80773601 confirmed by RVUnicorn 34.27204,-84.807653 (~75 m) and by WOF venues McDonald's/Subway inside the Pilot building at 968 Cassville White Rd NE (34.273159,-84.808113, ~60 m). CAT scale on host Pilot property. [AUDITED:confirmed] Same point as host Pilot #67 (PFJ API, re-fetched from fuelbot CSV; older Pilot CSV/Allstays 75 m away on same parcel). South side of Cassville-White Rd, correct side vs TA (north) [FINAL-AUDIT:approved] Uncited dlobo_latlong store 67 geocode 34.2720688,-84.8077599 is 70 m from proposed; IHOP-inside-TA point (34.27410,-84.",ready,action=ready; confidence=high; valid coordinates
781f82b8-a9a0-4264-bebf-044a9aba151f,Pilot Travel Center #67,truck-stops,968 Cassville White Rd,Cartersville,GA,30120,,,34.272701,-84.807736,high,https://github.com/baxbergenut/fuelbot/blob/main/all_locations.csv,"Pilot Flying J location-API data (store #67) cross-checked against older official Pilot CSV and adjacent TA/Popeyes point; Current PFJ API dump: 34.27270118,-84.80773601 (968 Cassville White Rd, I-75 Exit 296, phone 770-607-7835). Older official POI-Factory Pilot data: 34.27204,-84.807653 (~75 m). TA/Popeyes across the street at 981 Cassville White (34.273972,-84.807762) confirms the interchange g [AUDITED:confirmed] PFJ API (fuelbot, re-fetched) 34.27270,-84.80774; older Pilot official CSV and Allstays both 34.27204,-84.80765 (~75 m, same parcel) — Pilot is on the SOUTH side of Cassville-Whit [FINAL-AUDIT:approved] Uncited dlobo_latlong store 67 (34.2720688,-84.8077599, 70 m) matches; house",ready,action=ready; confidence=high; valid coordinates
44f54856-9261-45bc-94e9-26d12134b6f3,S & B Truck Wash — Cartersville,truck-washes,968 Cassville White Rd NE,Cartersville,GA,30121,,,34.272701,-84.807736,high,https://www.loc8nearme.com/georgia/cartersville/s-and-b-truckwash/4688559/,"co-location with host property (Pilot #67); S & B Truck Wash, 968 Cassville White Rd NE — same street address as Pilot Travel Center #67; the wash operates on the Pilot property (allstays lists a truck wash at this Pilot). Assigned the verified host-property point (high-confidence Pilot #67 coords). Co-located row, same point as Pilot #67 is expected. [AUDITED:confirmed] Co-location verified: Yelp/YellowPages list S & B Truck Wash at exactly 968 Cassville White Rd NE (the Pilot #67 address), and Pilot Flying J advertises truck wash service at that  [FINAL-AUDIT:approved] RouteFlare PFJ dump lists 'Truck Wash' as an amenity of Pilot #67 (968 Cassville White Rd), and Birdeye (322 reviews) pl",ready,action=ready; confidence=high; valid coordinates
