name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TravelCenters of America - TA Mobile #54,truck-stops,Grand Bay,AL,travelcenters-of-america-ta-mobile-54-grand-bay-al,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #846,truck-stops,Irvington,AL,love-s-travel-stop-846-irvington-al,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #302,truck-stops,Theodore,AL,pilot-travel-center-302-theodore-al,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Action Resources - Theodore Tank Wash,truck-washes,Theodore,AL,action-resources-theodore-tank-wash-theodore-al,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
Super 8 by Wyndham Mobile/Tillmans Corner,hotels-truck-parking,Mobile,AL,super-8-by-wyndham-mobile-tillmans-corner-mobile-al,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Stop N Shop (Texaco) - Rangeline Rd,parking,Mobile,AL,stop-n-shop-texaco-rangeline-rd-mobile-al,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,ZIP; Exit number; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #206,truck-stops,Loxley,AL,love-s-travel-stop-206-loxley-al,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Oasis Travel Center (TA Express / AmBest),truck-stops,Robertsdale,AL,oasis-travel-center-ta-express-ambest-robertsdale-al,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Oasis Travel Center Truck Wash,truck-washes,Robertsdale,AL,oasis-travel-center-truck-wash-robertsdale-al,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
CAT Scale at Love's #206 - Loxley,cat-scales,Loxley,AL,cat-scale-at-love-s-206-loxley-loxley-al,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Love's Truck Care - Loxley,tire-repair,Loxley,AL,love-s-truck-care-loxley-loxley-al,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
"All Truck and Trailer, LLC",roadside-service,Robertsdale,AL,all-truck-and-trailer-llc-robertsdale-al,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
