name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Fleet Travel Center #320 (Circle K),truck-stops,3225 W Nine Mile Rd,Pensacola,FL,,850-477-0039,,"Independent/Circle K-affiliated travel center just off I-10 Exit 5 in Pensacola with diesel, truck parking, showers and a CAT Scale.",I-10,5,yes,yes,yes,,yes,,yes,,
Fleet Travel Center #319 (Circle K),truck-stops,7950 Pensacola Blvd,Pensacola,FL,32534,850-471-9854,,"Circle K-operated truck stop at I-10 Exit 10B in Pensacola offering 24-hour diesel, a convenience store/deli, showers and a certified CAT Scale.",I-10,10B,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop #802,truck-stops,3840 Garcon Point Rd,Milton,FL,32583,850-564-2654,https://www.loves.com/,"Love's Travel Stop at the Garcon Point Road interchange near Milton with diesel, an Arby's, showers, laundry, a dog park and a CAT Scale.",I-10,26,yes,yes,yes,yes,yes,,yes,yes,
Love's Travel Stop #561,truck-stops,17750 Hwy 285 Dr S,Mossy Head,FL,,850-951-1067,https://www.loves.com/,"Love's Travel Stop at I-10 Exit 70 in Mossy Head, between Crestview and DeFuniak Springs, with diesel, truck parking, showers and a store.",I-10,70,yes,yes,yes,,yes,,,yes,
CJ's Food Mart,truck-stops,2385 S Ferdon Blvd,Crestview,FL,32536,850-682-1333,,"Independent fuel/food mart near I-10 Exit 56 (SR-85) in Crestview offering diesel, truck parking and a restaurant/deli.",I-10,56,,yes,yes,,yes,,,,
Emerald Express (76),truck-stops,2396 US Highway 331 S,DeFuniak Springs,FL,32435,850-892-6020,,"76-branded independent fuel plaza at I-10 Exit 85 (US-331) in DeFuniak Springs with diesel, a convenience store and truck parking.",I-10,85,,yes,yes,,yes,,,,
"Murphy Heavy Duty, LLC",roadside-service,3269 Hwy 90 E,DeFuniak Springs,FL,32433,850-892-2914,,Family-owned heavy-duty truck and trailer repair shop and parts store serving the I-10 Exit 85 area of DeFuniak Springs.,I-10,85,,,,,,yes,,,
Best Western Crossroads Inn - DeFuniak Springs,hotels-truck-parking,2343 US Highway 331 S,DeFuniak Springs,FL,32435,850-892-5111,,Midscale motel at I-10 Exit 85 in DeFuniak Springs listed in truck-stop directories for its large lot with truck parking near the interchange.,I-10,85,,yes,,,yes,,,yes,
Love's Travel Stop #453,truck-stops,2510 Highway 231,Cottondale,FL,32431,850-352-2041,https://www.loves.com/,"Love's travel center directly off I-10 Exit 130 in Cottondale, near Marianna, with 24-hour diesel and truck parking.",I-10,130,yes,yes,yes,,yes,,yes,yes,
Love's Truck Care #453 - Cottondale,tire-repair,2510 Highway 231,Cottondale,FL,32431,850-352-2041,https://www.loves.com/,"Truck service center at the Cottondale Love's offering tire service, light mechanical repair, and roadside assistance off I-10 Exit 130.",I-10,130,,,yes,,,yes,yes,,
TravelCenters of America (TA) Marianna #178,truck-stops,2112 Highway 71 S,Marianna,FL,32448,850-526-3303,https://www.ta-petro.com/,"Full-service TA travel center at I-10 Exit 142 in Marianna with truck service bays, restaurants, and driver amenities.",I-10,142,yes,yes,yes,yes,yes,yes,yes,,
Flying J Travel Center #623,truck-stops,32670 Blue Star Hwy,Midway,FL,32343,850-574-1299,https://locations.pilotflyingj.com/,"Flying J travel plaza off I-10 Exit 192 in Midway, just west of Tallahassee, with restaurant, showers, and truck parking.",I-10,192,yes,yes,yes,yes,yes,,yes,yes,
Pilot Travel Center #425,truck-stops,33333 Blue Star Hwy,Midway,FL,32343,850-576-3200,https://locations.pilotflyingj.com/,"Pilot travel center off I-10 Exit 192 in Midway near Tallahassee with showers, deli, CAT scale, and truck parking.",I-10,192,yes,yes,yes,yes,yes,,yes,yes,
Simbo's Auto/Truck Stop (Citgo),truck-stops,,Bonifay,FL,32425,,,Independent Citgo-branded auto and truck stop near I-10 Exit 112 (FL-79) in Bonifay offering diesel and truck parking.,I-10,112,yes,,yes,,yes,,,,
CAT Scale - TA Marianna,cat-scales,2112 Highway 71 S,Marianna,FL,32448,850-526-3303,https://catscale.com/,Certified CAT Scale located at the TA travel center off I-10 Exit 142 in Marianna.,I-10,142,,,,,,,yes,,
Love's Travel Stop #379,truck-stops,3204 SE County Road 255,Lee,FL,32059,850-971-4115,https://www.loves.com/,"Full-service Love's travel center directly off I-10 at the Lee/US-90 exit with fuel lanes, showers, a CAT scale and truck service bays.",I-10,262,yes,yes,yes,,yes,yes,yes,yes,
Busy Bee #25 Travel Plaza,truck-stops,6468 US Highway 129,Live Oak,FL,32060,386-487-2935,,"Popular independent Busy Bee travel plaza at the I-10/US-129 interchange with fuel lanes, showers, laundry, a CAT scale and a convenience store with quick-service food.",I-10,283,yes,yes,yes,yes,yes,,yes,yes,
Penn Oil - Live Oak,parking,6458 US Highway 129,Live Oak,FL,32060,386-362-2948,,Independent fuel and truck-parking stop at the I-10/US-129 interchange with a store and deli food.,I-10,283,,yes,yes,,yes,,,,
Pilot Travel Center #087,truck-stops,1050 US 301 South,Baldwin,FL,32234,904-266-4238,https://locations.pilotflyingj.com/,"Pilot travel center off I-10 at the US-301 Baldwin exit with diesel lanes, showers, a Subway, laundry and a CAT scale.",I-10,343,yes,yes,yes,yes,yes,,yes,yes,
TA Baldwin Travel Center,truck-stops,1024 US 301 South,Baldwin,FL,32234,904-266-4281,https://www.ta-petro.com/,"TravelCenters of America full-service stop off I-10 at Baldwin with showers, laundry, a Country Pride restaurant and Arby's, and overnight truck parking.",I-10,343,yes,yes,yes,yes,yes,yes,,,
Jimmies Truck Stop,truck-stops,6375 S State Road 53,Madison,FL,,850-973-2973,,"Independent truck stop at the I-10/SR-53 Madison exit with a restaurant, store, showers, laundry and on-site repair.",I-10,258,yes,yes,yes,yes,yes,yes,,,
Johnson & Johnson Truck Stop,truck-stops,6332 S State Road 53,Madison,FL,,850-973-4735,,Independent fuel stop and store at the I-10/SR-53 Madison exit with deli food and truck parking.,I-10,258,,yes,yes,,yes,,,,
Exxon Truck Parking - Macclenny,parking,1710 S 6th St,Macclenny,FL,,904-259-8292,,Fuel station with a store and truck parking at the I-10/FL-121 Macclenny exit.,I-10,335,,,yes,,yes,,,,
S & S Food Store - Lake City,truck-stops,3519 N US Highway 441,Lake City,FL,,,,Independent fuel and truck-parking stop with a store and deli at the I-10/US-441 Lake City exit.,I-10,303,,yes,yes,,yes,,,,
