name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #243,truck-stops,Iowa,LA,love-s-travel-stop-243-iowa-la,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #1051,truck-stops,Iowa,LA,pilot-travel-center-1051-iowa-la,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Delta Town Truck Stop,truck-stops,Vinton,LA,delta-town-truck-stop-vinton-la,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mission Fuel - Sulphur,truck-stops,Sulphur,LA,mission-fuel-sulphur-sulphur-la,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Jennings Travel Plaza,truck-stops,Jennings,LA,jennings-travel-plaza-jennings-la,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Petro Stopping Center - Egan,truck-stops,Egan,LA,petro-stopping-center-egan-egan-la,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Exit 80 Travel Plaza (Citgo),truck-stops,Crowley,LA,exit-80-travel-plaza-citgo-crowley-la,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Truck Service - Egan,tire-repair,Egan,LA,ta-truck-service-egan-egan-la,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Love's Travel Stop #523,truck-stops,Duson,LA,love-s-travel-stop-523-duson-la,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Lafayette,truck-stops,Lafayette,LA,ta-lafayette-lafayette-la,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #274,truck-stops,Breaux Bridge,LA,pilot-travel-center-274-breaux-bridge-la,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Frog City Travel Plaza,truck-stops,Rayne,LA,frog-city-travel-plaza-rayne-la,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
