name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #240,truck-stops,751 S Lobdell Hwy,Port Allen,LA,70767,225-389-9111,https://www.loves.com/,"Love's travel stop just off I-10 Exit 151 in Port Allen, west of the Mississippi River bridge, with truck fueling, showers, and a CAT scale.",I-10,151,yes,yes,yes,,yes,,yes,yes,
Pilot Travel Center #1439,truck-stops,420 N Lobdell Hwy,Port Allen,LA,70767,225-263-1366,https://locations.pilotflyingj.com/,"Pilot travel center at I-10 Exit 151 in Port Allen offering diesel lanes, showers and an on-site CAT scale.",I-10,151,yes,yes,yes,,yes,,yes,yes,
CAT Scale at Love's #240 - Port Allen,cat-scales,751 S Lobdell Hwy,Port Allen,LA,70767,225-389-9111,https://catscale.com/,Certified CAT scale located at the Love's Travel Stop off I-10 Exit 151 in Port Allen.,I-10,151,,,,,,,yes,,
Sorrento Super Stop,truck-stops,7140 LA-22,Sorrento,LA,70778,225-675-5393,,"Independent truck plaza at I-10 Exit 182 (LA-22) in Sorrento with fuel, deli, showers, laundry and scales.",I-10,182,yes,yes,yes,yes,yes,,yes,,
Speedy Junction,truck-stops,7139 LA-22,Sorrento,LA,70778,225-675-5213,,"Fuel and travel stop at I-10 Exit 182 in Sorrento with convenience store, deli and truck parking.",I-10,182,,yes,yes,,yes,,,yes,
Chabill's Tire & Auto Service - Port Allen,tire-repair,3465 LA-1 South,Port Allen,LA,70767,225-372-6788,https://chabillstire.com/,Tire and auto service shop in Port Allen near I-10 Exit 151 that advertises 24-hour commercial road service.,I-10,151,,,,,,yes,,,
Cooper's Truck N RV Wash,truck-washes,2825 Sharlot Blvd,Port Allen,LA,70767,225-663-6866,,Truck and RV wash facility in Port Allen near the I-10 Exit 151 truck-stop cluster.,I-10,151,,,,,,,,,
24/7 Roadside Assistance - Emergency Tire Service (Baton Rouge),roadside-service,,Baton Rouge,LA,,225-488-1840,,"Mobile 24/7 roadside and emergency truck tire service covering the Baton Rouge and Port Allen I-10 corridor (dispatched, no fixed storefront verified).",I-10,,,,,,,yes,,,
Roady's LaPlace Travel Center,truck-stops,4325 Highway 51 (US-51),LaPlace,LA,70068,985-651-1800,,"Independent full-service truck plaza just off I-10 Exit 209 in LaPlace with fuel lanes, showers, a restaurant/deli, laundry, and an on-site CAT Scale.",I-10,209,yes,yes,yes,yes,yes,,yes,yes,
River Parishes Truck Stop & Casino,truck-stops,1173 E Airline Hwy,LaPlace,LA,70068,985-652-3426,https://rptruckstop.com/,"Louisiana truck stop and gaming plaza near I-10 Exit 209 (US-51 at Airline Hwy) in LaPlace offering fuel, food, and restrooms.",I-10,209,,yes,yes,,yes,,,,
Stan's Truck Stop,truck-stops,15200 Chef Menteur Hwy,New Orleans,LA,70129,504-254-3313,,"Independent truck stop in New Orleans East on Chef Menteur Hwy (US-90), reached from I-10 East via the I-510 interchange, offering diesel fuel and overnight truck parking.",I-10,,,,yes,,yes,,,yes,
TA Slidell (TravelCenters of America),truck-stops,1682 Gause Blvd,Slidell,LA,70458,985-643-9974,https://www.ta-petro.com/,"Full-service TravelCenters of America off I-10 Exit 266 in Slidell with diesel lanes, showers, laundry, a Country Pride restaurant, truck service/repair, a truck wash, and a CAT Scale.",I-10,266,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at LaPlace Travel Center,cat-scales,4325 US-51,LaPlace,LA,70068,985-651-1800,https://catscale.com/,Certified CAT Scale located at the LaPlace Travel Center just off I-10 Exit 209 for truck weighing.,I-10,209,,,,,,,yes,,
Slidell Mobile Truck Repair,roadside-service,,Slidell,LA,,,https://slidellmobiletruckrepair.com/,"Mobile heavy-duty truck and trailer repair service covering the I-10 / I-12 / I-59 corridor around Slidell (dispatch-based, no fixed storefront verified).",I-10,,,,,,,yes,,,
