name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Petro Stopping Center - El Paso,truck-stops,,El Paso,TX,,,https://www.ta-petro.com/,"Large full-service Petro/TravelCenters of America on the I-10 corridor in El Paso with fuel lanes, showers, truck service and restaurants.",I-10,,yes,yes,yes,,yes,yes,yes,yes,
Pilot Travel Center - Van Horn,truck-stops,501 Van Horn Dr,Van Horn,TX,79855,,https://locations.pilotflyingj.com/,"Pilot travel center on the east side of Van Horn with diesel lanes, reservable showers, and overnight truck parking.",I-10,140A,yes,yes,yes,yes,yes,,,yes,
Chevron Truck Stop - Van Horn,truck-stops,1901 SW Frontage Rd,Van Horn,TX,79855,,,Independent Chevron truck stop on the I-10 frontage road at the west end of Van Horn.,I-10,138,,yes,yes,,yes,,,,
Chevron - Kent,truck-stops,,Kent,TX,,,,"24-hour Chevron fuel stop at the remote Kent exit, a key refueling point on this stretch of I-10.",I-10,181,,yes,yes,,yes,,,,
Flying J Travel Center - Fort Stockton,truck-stops,2571 N Front St,Fort Stockton,TX,79735,432-336-3410,https://locations.pilotflyingj.com/,"Major Flying J travel center in Fort Stockton with truck parking, showers, a CAT Scale, and quick-service food.",I-10,259,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop - Fort Stockton,truck-stops,2723 E US Highway 290,Fort Stockton,TX,79735,432-336-3622,https://www.loves.com/,"Love's travel stop in Fort Stockton offering diesel, showers, restrooms, and a convenience store off I-10.",I-10,261,yes,yes,yes,,yes,,,yes,
Circle Bar Truck Corral - Ozona,truck-stops,3331 I-10 E,Ozona,TX,76943,325-392-2637,,"Long-running independent truck stop in Ozona with a restaurant, motel, truck wash, tire and repair service, showers, and scales.",I-10,372,yes,yes,yes,yes,yes,yes,yes,,
Love's Travel Stop #700,truck-stops,3880 Loop 467,Sonora,TX,76950,325-387-2768,https://www.loves.com/,"Full-service Love's travel stop at I-10 and Loop 467 in Sonora with diesel, showers, a Subway, an on-site CAT Scale and Love's Truck Care.",I-10,404,yes,yes,yes,yes,yes,yes,yes,yes,
Love's Travel Stop #464,truck-stops,43 US Highway 87,Comfort,TX,78013,830-995-2770,https://www.loves.com/,"Love's travel stop at I-10 Exit 523 in Comfort offering fuel, showers, a McDonald's and Subway, truck care and a CAT Scale.",I-10,523,yes,yes,yes,,yes,yes,yes,yes,
TA Express Junction (formerly Segovia Truck Stop),truck-stops,115 S Segovia Access Rd,Junction,TX,76849,325-446-3193,https://www.ta-petro.com/,"Independent Segovia truck stop at I-10 Exit 465 near Junction, now operating as a TA Express, with fuel, showers, laundry, a Sonic and Hunt Brothers Pizza.",I-10,465,yes,yes,yes,yes,yes,yes,,yes,
CAT Scale at Love's #464 - Comfort,cat-scales,43 US Highway 87,Comfort,TX,78013,,https://catscale.com/,Certified CAT Scale located at the Love's Country Store at I-10 Exit 523 in Comfort.,I-10,523,,,,,,,yes,,
CAT Scale at Love's #700 - Sonora,cat-scales,3880 Loop 467,Sonora,TX,76950,,https://catscale.com/,Certified CAT Scale on-site at the Love's Travel Stop at I-10 Exit 404 in Sonora.,I-10,404,,,,,,,yes,,
Holmes Wrecker Service,roadside-service,,Sonora,TX,76950,325-387-3470,,"24-hour tire, mechanical and towing/wrecker service serving the I-10 Sonora area near the Love's at Exit 404.",I-10,404,,,,,,yes,,,
