name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Rocking Chair Truck Stop,truck-stops,410 Highway 80 Spur,Cuba,AL,,205-392-7821,,"Independent truck stop at the first Alabama exit off I-20/59 near the Mississippi line, with a store, restaurant/deli and truck parking.",I-20,1,,yes,yes,,yes,,,,
DNJ Truck Stop,truck-stops,,Livingston,AL,35470,205-652-2667,,"Independent 24-hour truck stop off I-20/59 Exit 17 with diesel lanes, showers, truck parking and a restaurant.",I-20,17,yes,yes,yes,,yes,yes,,,
Love's Travel Stop #773,truck-stops,7561 Mesopotamia Street,Eutaw,AL,35462,205-372-9244,https://www.loves.com/,"Love's travel center off I-20/59 Exit 40 in Eutaw with diesel fueling, truck parking, showers and food.",I-20,40,yes,yes,yes,,yes,,,yes,
TA Tuscaloosa (Travel Centers of America #016),truck-stops,3501 Buttermilk Road,Cottondale,AL,35453,205-554-0215,https://www.ta-petro.com/,"Full-service TA travel center off I-20/59 Exit 77 near Tuscaloosa with truck parking, showers, a CAT scale and TA Truck Service repair bays.",I-20,77,yes,yes,yes,,yes,yes,yes,yes,
Pilot Travel Center / ONE9 (Cottondale),truck-stops,3201 Buttermilk Road,Cottondale,AL,35453,,https://locations.pilotflyingj.com/,"Pilot-operated (ONE9) travel center off I-20/59 Exit 77 in Cottondale with diesel, food and truck parking.",I-20,77,yes,yes,yes,,yes,,,yes,
Love's Travel Stop #227,truck-stops,22183 Highway 216,McCalla,AL,35111,205-477-9423,https://www.loves.com/,"Love's travel center off I-20/59 Exit 100 with diesel lanes, showers, Love's Truck Care service bays and an on-site scale.",I-20,100,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #601,truck-stops,6098 McAshan Drive,McCalla,AL,35111,205-477-9181,https://locations.pilotflyingj.com/,"Flying J travel center off I-20/59 Exit 104 in the McCalla/Bessemer area with diesel lanes, showers, a CAT scale and large truck parking.",I-20,104,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop #530,truck-stops,2625 Kelly Creek Rd S,Moody,AL,35004,205-699-2977,https://www.loves.com/,"Love's travel stop east of Birmingham near Leeds/Moody with a CAT scale, showers, and quick-service food.",I-20,147,yes,yes,yes,yes,yes,,yes,yes,
QuikTrip Travel Center - Pell City,truck-stops,685 Mineral Springs Rd,Pell City,AL,35125,,,QuikTrip travel center off I-20 in Pell City that opened in 2023 with diesel fueling and food.,I-20,156,,yes,yes,,yes,,,,
Henson's - Pell City,roadside-service,3323 Comer Ave,Pell City,AL,35125,205-338-7566,,"Independent Pell City stop off Exit 158 offering truck parking, a store, and towing/road service.",I-20,158,,,,,yes,yes,,,
TravelCenters of America (TA Lincoln) #260,truck-stops,75246 AL Highway 77,Lincoln,AL,35096,205-763-2771,https://www.ta-petro.com/,"Full-service TA travel center at Exit 168 in Lincoln with truck repair bays, showers, and a restaurant.",I-20,168,yes,yes,yes,yes,yes,yes,,yes,
Pilot Travel Center #1549,truck-stops,75750 AL Highway 77,Lincoln,AL,35096,205-763-1531,https://locations.pilotflyingj.com/,"Pilot travel center at Exit 168 in Lincoln with diesel lanes, showers, and an Arby's.",I-20,168,yes,yes,yes,,yes,,,yes,
Circle K Travel Center - Oxford,truck-stops,1601 AL Highway 21 S,Oxford,AL,36203,256-831-1239,,"Truck-serving travel center at the Oxford/Anniston Exit 185 with 24-hour diesel, showers, and a deli.",I-20,185,yes,yes,yes,,yes,,,,
I-20 Texaco - Heflin,truck-stops,1945 Almon St,Heflin,AL,36264,,,"Heflin fuel and travel stop at Exit 199 with truck parking, a restaurant, and a travel store.",I-20,199,,yes,yes,,yes,,,,
Love's Travel Stop #818,truck-stops,6647 AL Highway 46,Heflin,AL,36264,256-807-6001,https://www.loves.com/,"Love's travel stop near the Georgia line at Exit 205 with a CAT scale, showers, and RV facilities.",I-20,205,yes,yes,yes,yes,yes,,yes,yes,
205 Truck Center,truck-stops,7000 AL Highway 46,Heflin,AL,36264,256-463-7341,,"Independent truck center at Exit 205 with diesel lanes, truck and tire repair bays, and a deli.",I-20,205,,yes,yes,,yes,yes,,yes,
