name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Newborn Truck Stop,truck-stops,Tallapoosa,GA,newborn-truck-stop-tallapoosa-ga,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #311,truck-stops,Waco,GA,love-s-travel-stop-311-waco-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #417,truck-stops,Temple,GA,pilot-travel-center-417-temple-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #634,truck-stops,Temple,GA,flying-j-travel-center-634-temple-ga,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #4559,truck-stops,Villa Rica,GA,pilot-travel-center-4559-villa-rica-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
RaceTrac - Lithia Springs,truck-stops,Lithia Springs,GA,racetrac-lithia-springs-lithia-springs-ga,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
QuikTrip #777 Travel Center,truck-stops,Atlanta,GA,quiktrip-777-travel-center-atlanta-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #781,truck-stops,Madison,GA,love-s-travel-stop-781-madison-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #420,truck-stops,Madison,GA,pilot-travel-center-420-madison-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Travel Center Madison #45,truck-stops,Madison,GA,ta-travel-center-madison-45-madison-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #633,truck-stops,Greensboro,GA,flying-j-travel-center-633-greensboro-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #354,truck-stops,Thomson,GA,love-s-travel-stop-354-thomson-ga,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #65,truck-stops,Augusta,GA,pilot-travel-center-65-augusta-ga,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Circle K Trux Stop - Augusta,truck-stops,Augusta,GA,circle-k-trux-stop-augusta-augusta-ga,,60,Needs work,needs-geocoding,,import-unpublished,completeness 60 — enrich before publishing,ZIP; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
