name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #209,truck-stops,9600 Highway 80,Greenwood,LA,71033,318-938-8986,https://www.loves.com/,"Full-service Love's travel stop just off I-20 Exit 3 near the Texas line, with fuel, an Arby's, showers, tire care and a CAT scale.",I-20,3,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #665,truck-stops,9510 Greenwood Road,Greenwood,LA,71033,318-938-7744,https://locations.pilotflyingj.com/,"Pilot Flying J travel center at I-20 Exit 3 in Greenwood offering diesel lanes, a Denny's, showers, laundry and a CAT scale.",I-20,3,yes,yes,yes,yes,yes,,yes,yes,
Petro Stopping Center #308 (Petro Shreveport),truck-stops,6910 W Bert Kouns Industrial Loop,Shreveport,LA,71129,318-686-6111,https://www.ta-petro.com/,"Large TA/Petro travel center at I-20 Exit 8 in Shreveport with an Iron Skillet restaurant, truck service bays, showers, laundry and scales.",I-20,8,yes,yes,yes,yes,yes,yes,yes,yes,
Pilot Travel Center #199,truck-stops,490 N Elm St,Haughton,LA,71037,318-390-9709,https://locations.pilotflyingj.com/,"Pilot Travel Center at I-20 Exit 33 (LA-157) in Haughton with fuel lanes, showers and truck parking.",I-20,33,yes,yes,yes,,yes,,,yes,
Fillmore Express / Wally's Truck Stop,truck-stops,224 Goodwill Rd,Minden,LA,71055,318-371-1717,,"Independent Valero-branded truck stop at I-20 Exit 38 (Goodwill Road) with 24-hour diesel, a diner, convenience store and truck parking.",I-20,38,yes,yes,yes,,yes,,,yes,
TA Express Minden,truck-stops,2198 Highway 532,Minden,LA,71055,318-588-0192,https://www.ta-petro.com/,"TA Express travel stop with an on-site casino at I-20 Exit 52 near Minden, offering fuel, food and roughly 50 truck parking spaces.",I-20,52,yes,yes,yes,,yes,,,,
TA Express Grambling (Exxon),truck-stops,1130 RWE Jones Rd,Grambling,LA,71245,,https://www.ta-petro.com/,"TA Express travel center just off I-20 Exit 81 near Grambling/Ruston with Exxon fuel, deli/hot food and roughly 31 truck parking spaces.",I-20,81,,yes,yes,,yes,,,,
Pilot Travel Center #428,truck-stops,300 Well Rd,West Monroe,LA,,,https://locations.pilotflyingj.com/,"Pilot Travel Center at I-20 Exit 112 in West Monroe with diesel lanes, showers, Subway/Wendy's, laundry and overnight truck parking.",I-20,112,yes,yes,yes,yes,yes,,,yes,
Love's Travel Stop #806 - Monroe,truck-stops,335 Hwy 594,Monroe,LA,71203,,https://www.loves.com/,"Love's Travel Stop off I-20 Exit 124 (LA-594) east of Monroe with diesel fuel, showers, food and 24-hour truck parking.",I-20,124,yes,yes,yes,,yes,,,,
Pilot Travel Center #335,truck-stops,103 Grimshaw St,Rayville,LA,71269,318-728-4100,https://locations.pilotflyingj.com/,"Pilot Travel Center at I-20 Exit 138 in Rayville with diesel fuel lanes, showers, Wendy's, a scale and truck parking.",I-20,138,yes,yes,yes,,yes,,yes,,
Cenla Express / Jubilee Truck Stop (Delhi),truck-stops,,Delhi,LA,,,,"Independent truck stop at I-20 Exit 153 (LA-17) in Delhi offering fuel, deli/store, restrooms and truck parking.",I-20,153,,yes,yes,,yes,,,,
Love's Travel Stop #237,truck-stops,227 Hwy 65 S,Tallulah,LA,71282,318-574-6413,https://www.loves.com/,"Love's Travel Stop at I-20 Exit 171 in Tallulah with diesel fuel, showers, food, truck service bays and 24-hour parking.",I-20,171,yes,yes,yes,,yes,yes,yes,,
TA Tallulah (TravelCenters of America),truck-stops,224 Hwy 65 S,Tallulah,LA,71282,,https://www.ta-petro.com/,"Full-service TA travel center at I-20 Exit 171 in Tallulah with diesel fuel, showers, Country Pride restaurant and truck repair service.",I-20,171,yes,yes,yes,,yes,yes,yes,,
Tallulah Truck Stop,truck-stops,266 US-65,Tallulah,LA,71282,318-574-1325,,"Independent truck stop at I-20 Exit 171 in Tallulah with fuel, showers, restrooms and truck parking.",I-20,171,yes,,yes,,yes,,,,
