name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #776,truck-stops,Vicksburg,MS,love-s-travel-stop-776-vicksburg-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Speedco at Love's #776 - Vicksburg,roadside-service,Vicksburg,MS,speedco-at-love-s-776-vicksburg-vicksburg-ms,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Petro Jackson (TA/Petro Stopping Center #328),truck-stops,Jackson,MS,petro-jackson-ta-petro-stopping-center-328-jackson-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #77,truck-stops,Jackson,MS,pilot-travel-center-77-jackson-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #420,truck-stops,Flowood,MS,love-s-travel-stop-420-flowood-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
SOS Truck Stop,truck-stops,Clinton,MS,sos-truck-stop-clinton-ms,,49,Needs work,needs-geocoding,,import-unpublished,"completeness 49, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
RD's Road Service - Vicksburg,roadside-service,Vicksburg,MS,rd-s-road-service-vicksburg-vicksburg-ms,,48,Needs work,needs-geocoding,,import-unpublished,"completeness 48, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Website; Verified date; Approved reviews
Love's Travel Stop #639,truck-stops,Lake,MS,love-s-travel-stop-639-lake-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Newton Crossing,truck-stops,Newton,MS,newton-crossing-newton-ms,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Queen City Truck Stop,truck-stops,Meridian,MS,queen-city-truck-stop-meridian-ms,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #388,truck-stops,Meridian,MS,pilot-travel-center-388-meridian-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Meridian #047,truck-stops,Meridian,MS,ta-meridian-047-meridian-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #343,truck-stops,Toomsuba,MS,love-s-travel-stop-343-toomsuba-ms,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Knight's Tire Towing & Auto Service,roadside-service,Meridian,MS,knight-s-tire-towing-auto-service-meridian-ms,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
