name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Circle K (Belvedere/North Augusta Travel Center),truck-stops,North Augusta,SC,circle-k-belvedere-north-augusta-travel-center-north-augusta-sc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
S & S Truck Stop - North Augusta,truck-stops,North Augusta,SC,s-s-truck-stop-north-augusta-north-augusta-sc,,60,Needs work,needs-geocoding,,import-unpublished,completeness 60 — enrich before publishing,ZIP; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Circle K #5377 (Aiken),truck-stops,Aiken,SC,circle-k-5377-aiken-aiken-sc,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #424,truck-stops,Lexington,SC,love-s-travel-stop-424-lexington-sc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Truck Care & Speedco - Lexington,tire-repair,Lexington,SC,love-s-truck-care-speedco-lexington-lexington-sc,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Flying J Travel Center #712,truck-stops,Columbia,SC,flying-j-travel-center-712-columbia-sc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Columbia North,truck-stops,Columbia,SC,ta-columbia-north-columbia-sc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #751,truck-stops,Elgin,SC,love-s-travel-stop-751-elgin-sc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #346,truck-stops,Lugoff,SC,pilot-travel-center-346-lugoff-sc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #4581,truck-stops,Bishopville,SC,pilot-travel-center-4581-bishopville-sc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
