name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Circle K (Belvedere/North Augusta Travel Center),truck-stops,115 Laurel Lake Dr,North Augusta,SC,29860,803-278-3124,https://www.circlek.com/,"A 24-hour Circle K truck stop just off I-20 Exit 5 near the Georgia line with diesel lanes, a CAT scale, a shower, and a deli.",I-20,5,yes,yes,yes,,yes,,yes,yes,
S & S Truck Stop - North Augusta,truck-stops,1175 Edgefield Rd,North Augusta,SC,,803-279-8116,,"A long-running independent truck stop near I-20 Exit 5 in North Augusta offering diesel, a deli/store, showers and repair service.",I-20,5,yes,yes,yes,,yes,yes,,,
Circle K #5377 (Aiken),truck-stops,2645 Columbia Hwy N,Aiken,SC,,803-642-1869,https://www.circlek.com/,A 24-hour Circle K fuel and truck stop at I-20 Exit 22 in Aiken with diesel lanes and limited truck parking but no showers.,I-20,22,,,yes,,yes,,,yes,
Love's Travel Stop #424,truck-stops,340 Longs Pond Rd,Lexington,SC,29073,803-957-7856,https://www.loves.com/,"A full-service Love's Travel Stop at I-20 Exit 51 in Lexington with truck parking, showers, CAT scale, McDonald's and Chester's Chicken.",I-20,51,yes,yes,yes,,yes,yes,yes,yes,
Love's Truck Care & Speedco - Lexington,tire-repair,340 Longs Pond Rd,Lexington,SC,29073,803-957-7856,https://www.loves.com/,"On-site truck service bays at the Lexington Love's (I-20 Exit 51) providing tire service, light mechanical work and emergency roadside assistance.",I-20,51,,,,,yes,yes,,,
Flying J Travel Center #712,truck-stops,5901 Fairfield Rd,Columbia,SC,29203,803-735-9006,https://locations.pilotflyingj.com/,"A large Flying J travel center at I-20 Exit 70 in Columbia with many truck parking spaces, showers, a CAT scale and a Denny's restaurant.",I-20,70,yes,yes,yes,yes,yes,,yes,yes,
TA Columbia North,truck-stops,7400 Wilson Blvd,Columbia,SC,29203,,https://www.ta-petro.com/,"A TravelCenters of America location at I-20 Exit 71 in Columbia with truck parking, showers, laundry, a CAT scale and a full TA truck service shop.",I-20,71,yes,yes,yes,yes,yes,yes,yes,yes,
Love's Travel Stop #751,truck-stops,701 White Pond Rd,Elgin,SC,29045,803-408-0275,https://www.loves.com/,"Full-service Love's travel stop directly at I-20 Exit 87 in the Elgin/Lugoff area with an Arby's, CAT scale, and truck service bays.",I-20,87,yes,yes,yes,,yes,yes,yes,yes,
Pilot Travel Center #346,truck-stops,522 Highway 601 South,Lugoff,SC,29078,803-438-5175,https://locations.pilotflyingj.com/,"Pilot truck stop at I-20 Exit 92 (US-601) serving the Lugoff/Camden area, with Subway, Dairy Queen, showers, and a CAT scale.",I-20,92,yes,yes,yes,,yes,,yes,yes,
Pilot Travel Center #4581,truck-stops,1340 Sumter Hwy,Bishopville,SC,29010,803-868-6034,https://locations.pilotflyingj.com/,"Pilot Travel Center at I-20 Exit 116 in Bishopville with fuel, showers, truck parking, and fast food.",I-20,116,yes,yes,yes,,yes,,,yes,
