name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
ONE9 Travel Center (former Pilot Travel Center #254),truck-stops,Wildwood,GA,one9-travel-center-former-pilot-travel-center-254-wildwood-ga,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
CAT Scale at ONE9 Travel Center Wildwood,cat-scales,Wildwood,GA,cat-scale-at-one9-travel-center-wildwood-wildwood-ga,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Georgia I-24 Weigh / Inspection Station (Dade County),weigh-stations,Wildwood,GA,georgia-i-24-weigh-inspection-station-dade-county-wildwood-ga,,35,Incomplete,needs-geocoding,,import-unpublished,"completeness 35, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Description; Verified date; Approved reviews
Mapco Express #3524,truck-stops,Wildwood,GA,mapco-express-3524-wildwood-ga,,24,Incomplete,needs-geocoding,,import-unpublished,"completeness 24, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; Amenities; Description; TPC reservation link; Verified date; Approved reviews
Metropolis Truck Plaza,truck-stops,Metropolis,IL,metropolis-truck-plaza-metropolis-il,,73,Good,needs-geocoding,,ready-to-publish,completeness 73 with address,Verified coordinates; Website; TPC reservation link; Verified date; Approved reviews
Super 8 by Wyndham Metropolis,hotels-truck-parking,Metropolis,IL,super-8-by-wyndham-metropolis-metropolis-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Truck-space count; TPC reservation link; Verified date; Approved reviews
Fort Massac Welcome Center / Rest Area (I-24 MM 37),parking,Metropolis,IL,fort-massac-welcome-center-rest-area-i-24-mm-37-metropolis-il,,24,Incomplete,needs-geocoding,,import-unpublished,"completeness 24, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; Amenities; Description; TPC reservation link; Verified date; Approved reviews
Truck Parking Club lot - 2409 IL-145 Metropolis,parking,Metropolis,IL,truck-parking-club-lot-2409-il-145-metropolis-metropolis-il,,24,Incomplete,needs-geocoding,,import-unpublished,"completeness 24, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; Amenities; Description; TPC reservation link; Verified date; Approved reviews
Truck parking only lot - 5570 S US Route 45 (former truck stop),parking,Metropolis,IL,truck-parking-only-lot-5570-s-us-route-45-former-truck-stop-metropolis-il,,24,Incomplete,needs-geocoding,,import-unpublished,"completeness 24, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; Amenities; Description; TPC reservation link; Verified date; Approved reviews
Holiday Inn Express Metropolis,hotels-truck-parking,Metropolis,IL,holiday-inn-express-metropolis-metropolis-il,,24,Incomplete,needs-geocoding,,import-unpublished,"completeness 24, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; Amenities; Description; TPC reservation link; Verified date; Approved reviews
On-Site Truck and Trailer Services,roadside-service,Metropolis,IL,on-site-truck-and-trailer-services-metropolis-il,,27,Incomplete,needs-geocoding,,import-unpublished,"completeness 27, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Amenities; Description; Verified date; Approved reviews
Keen's Truck & Trailer Repair (at Metropolis Truck Plaza),roadside-service,Metropolis,IL,keen-s-truck-trailer-repair-at-metropolis-truck-plaza-metropolis-il,,27,Incomplete,needs-geocoding,,import-unpublished,"completeness 27, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Amenities; Description; Verified date; Approved reviews
Plaza Tire Service - Metropolis,tire-repair,Metropolis,IL,plaza-tire-service-metropolis-metropolis-il,,27,Incomplete,needs-geocoding,,import-unpublished,"completeness 27, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Amenities; Description; Verified date; Approved reviews
BP Vienna (E Vine St),truck-stops,Vienna,IL,bp-vienna-e-vine-st-vienna-il,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Truck-space count; TPC reservation link; Verified date; Approved reviews
Hotel 7 Inn Vienna,hotels-truck-parking,Vienna,IL,hotel-7-inn-vienna-vienna-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Truck-space count; TPC reservation link; Verified date; Approved reviews
Vienna Automotive Center,tire-repair,Vienna,IL,vienna-automotive-center-vienna-il,,27,Incomplete,needs-geocoding,,import-unpublished,"completeness 27, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Amenities; Description; Verified date; Approved reviews
