Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
ONE9 Travel Center (former Pilot Travel Center #254),Truck Stops,650 GA-299,Wildwood,GA,30757,,,(706) 820-7353,https://locations.pilotflyingj.com/us/ga/wildwood/650-ga-299,"ONE9 Travel Center (Pilot Company's One9 Fuel Network, formerly Pilot Travel Center #254) at I-24 Exit 169 (GA-299/US-11) in Wildwood, the only full-service truck stop on I-24's short Georgia segment in Dade County. Open 24 hours with 6 diesel lanes, bulk DEF, 3 showers, CAT scale, Subway, ATM, and about 20 truck parking spaces.",20,,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,,,,,I-24,169,yes,no
CAT Scale at ONE9 Travel Center Wildwood,CAT Scales,650 GA-299,Wildwood,GA,30757,,,(706) 820-7353,https://locations.pilotflyingj.com/us/ga/wildwood/650-ga-299,"Certified CAT scale located at the ONE9 Travel Center (former Pilot #254) at I-24 Exit 169 (GA-299/US-11) in Wildwood, GA. Available 24 hours alongside the travel center's diesel lanes.",,,,,,,,yes,,yes,,yes,,,,,,I-24,169,yes,no
Georgia I-24 Weigh / Inspection Station (Dade County),Weigh Stations,,Wildwood,GA,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Mapco Express #3524,Truck Stops,,Wildwood,GA,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Metropolis Truck Plaza,Truck Stops,2105 E 5th St,Metropolis,IL,62960,,,618-524-4831,,"Independent 24-hour truck stop on US-45 at I-24 Exit 37 in Metropolis with 24-hour diesel, truck parking, convenience store, and on-site truck service bays offering tire, lube, and engine repair. Directories list about 15 truck parking spaces; the former on-site Huddle House restaurant closed in 2025 but the store remains open.",15,,,,yes,,yes,yes,,yes,yes,,yes,,,,,I-24,37,yes,no
Super 8 by Wyndham Metropolis,Hotels with Truck Parking,2055 E 5th St,Metropolis,IL,62960,,,618-524-8200,https://www.wyndhamhotels.com/super-8/metropolis-illinois/super-8-metropolis/overview,"Super 8 motel on US-45 at I-24 Exit 37 in Metropolis that explicitly advertises free truck, bus, and RV parking for guests. Amenities include free continental breakfast, WiFi, and an indoor pool.",,yes,,,yes,,yes,,,,,,yes,,,,,I-24,37,yes,no
Fort Massac Welcome Center / Rest Area (I-24 MM 37),Truck Parking,,Metropolis,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Truck Parking Club lot - 2409 IL-145 Metropolis,Truck Parking,,Metropolis,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Truck parking only lot - 5570 S US Route 45 (former truck stop),Truck Parking,,Metropolis,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Holiday Inn Express Metropolis,Hotels with Truck Parking,,Metropolis,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
On-Site Truck and Trailer Services,Roadside Service,,Metropolis,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Keen's Truck & Trailer Repair (at Metropolis Truck Plaza),Roadside Service,,Metropolis,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Plaza Tire Service - Metropolis,Tire Repair,,Metropolis,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
BP Vienna (E Vine St),Truck Stops,612 E Vine St,Vienna,IL,62995,,,,https://map.bp.com/en-US/US/gas-station/vienna/bp/61113836576126299500100000000000,"Independent BP fuel station and convenience store on IL-146 at I-24 Exit 16 in Vienna, IL. Sells diesel and has a large gravel lot used by truckers, with paid truck parking (about $10, reimbursed with an in-store purchase per driver reports on Trucker Path).",,,yes,,,,,yes,,yes,,,,,,,,I-24,16,yes,no
Hotel 7 Inn Vienna,Hotels with Truck Parking,709 E Vine St,Vienna,IL,62995,,,(618) 658-6300,https://www.hotel7vienna.com/,"Budget hotel on IL-146 immediately off I-24 Exit 16 in Vienna, IL, with free self parking explicitly including RV, bus, and truck parking. Offers free WiFi, continental breakfast, and an indoor pool.",,yes,,,yes,,,,,yes,,,yes,,,,,I-24,16,yes,no
Vienna Automotive Center,Tire Repair,,Vienna,IL,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
