Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
MAPCO / Circle K,Truck Stops,2727 Rossville Blvd,Chattanooga,TN,37404,,,423-629-4993,,"Convenience-store fuel stop at I-24 Exit 180B (Rossville Blvd) with 24-hour diesel and a small truck lot (about 4 truck spaces). Amenities include convenience store, deli, ATM, bulk DEF and WiFi.",4,,,,,,yes,yes,,,,,yes,,,,,I-24,180B,yes,no
Conoco / MAPCO Favorite Market,Truck Stops,201 Browns Ferry Rd,Chattanooga,TN,37419,,,423-825-5515,,"Fuel stop at I-24 Exit 175 (Browns Ferry Rd, Lookout Valley) with 24-hour diesel (about 3 lanes) and limited truck parking listed as overnight-capable. On-site McDonald's and Hardee's, convenience store, ATM and WiFi.",3,,,,yes,,yes,yes,,,,,yes,,,,,I-24,175,yes,no
MAPCO Express (Cummings Hwy),Truck Stops,,Chattanooga,TN,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
MAPCO Express #3534 (100 W 20th),Truck Stops,,Chattanooga,TN,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
MAPCO Express #1007,Truck Stops,2732 York Rd,Pleasant View,TN,37146,,,615-746-8325,,"Truck-friendly MAPCO travel plaza at I-24 Exit 24 in Pleasant View. Redesigned store with eight tractor-trailer diesel bays with DEF, showers, renovated restrooms, deli/fast food, and roughly 58 free truck parking spaces on a paved, lighted lot.",58,yes,,,yes,yes,yes,yes,,yes,,,yes,,,,,I-24,24,yes,no
QuikTrip #7149,Truck Stops,1265 Rossview Rd,Clarksville,TN,37043,,,931-263-5440,https://locations.quiktrip.com/tn/clarksville/1265-rossview-rd,"24-hour QuikTrip travel center at I-24 Exit 11 (Rossview Rd). Diesel, QT Kitchens food, restrooms, pay-at-pump. Listed as a truck stop by Trucker Path; on-site truck parking not confirmed.",,,,,,,yes,yes,,yes,,,,,,,,I-24,11,yes,no
Heritage Travel Center,Truck Stops,7201 Whites Creek Pike,Joelton,TN,37080,,,615-299-8829,,"BP-branded travel center near I-24 Exit 35 (Whites Creek Pike). Diesel and gas, convenience store, and food (Dairy Queen, Subway, pizza). Truck parking/showers not confirmed.",,,,,,,yes,yes,,yes,,,,,,,,I-24,35,yes,no
Sudden Service #25 (Shell),Truck Stops,,Clarksville,TN,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Scots Market / Chips Quik Stop,Truck Stops,,Joelton,TN,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
"I-24 Weigh Station (near KY line, Montgomery/Robertson)",Weigh Stations,,Clarksville,TN,,,,,,,,,,,,,,,,,,,,,,,,I-24,,no,no
Pilot Travel Center #4599,Truck Stops,640 Dixie Lee Ave,Monteagle,TN,37356,,,931-924-5111,https://locations.pilotflyingj.com/us/tn/monteagle/640-dixie-lee-ave,"Full-service Pilot travel center at the top of Monteagle Mountain, I-24 Exit 135. 24-hour diesel (8 lanes), ~92 truck parking spaces (23 reserved, 23 paid), 7 showers, CAT Scale, deli/fast food, convenience store, WiFi.",92,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,,,,,I-24,135,yes,no
CAT Scale - Pilot Travel Center #4599,CAT Scales,640 Dixie Lee Ave,Monteagle,TN,37356,,,931-924-5111,https://catscale.com/cat-scale-locator/,"Certified CAT Scale located at Pilot Travel Center #4599, I-24 Exit 135, Monteagle.",,,,,,,,,,,,yes,,,,,,I-24,135,yes,no
Sam's Travel Center,Truck Stops,414 Dixie Lee Ave,Monteagle,TN,37356,,,931-924-3676,,"Independent 24-hour travel center at I-24 Exit 135, Monteagle. 24-hour diesel, convenience store, restaurant/fast food, restrooms. Smaller independent stop across from the Pilot.",,,,,,,yes,yes,,yes,,,,,,,,I-24,135,yes,no
