name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Camp I-30 Truck Stop (BP),truck-stops,Texarkana,AR,camp-i-30-truck-stop-bp-texarkana-ar,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #606,truck-stops,Texarkana,AR,flying-j-travel-center-606-texarkana-ar,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #277,truck-stops,Prescott,AR,love-s-travel-stop-277-prescott-ar,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Truck Care - Prescott,roadside-service,Prescott,AR,love-s-truck-care-prescott-prescott-ar,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Southfork Truck Stop,truck-stops,Gurdon,AR,southfork-truck-stop-gurdon-ar,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Southfork Truck Stop - Tire & Road Service,tire-repair,Gurdon,AR,southfork-truck-stop-tire-road-service-gurdon-ar,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Website; Verified date; Approved reviews
Pilot Travel Center #492,truck-stops,Arkadelphia,AR,pilot-travel-center-492-arkadelphia-ar,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot #492 - Arkadelphia,cat-scales,Arkadelphia,AR,cat-scale-at-pilot-492-arkadelphia-arkadelphia-ar,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Love's Travel Stop #779,truck-stops,Malvern,AR,love-s-travel-stop-779-malvern-ar,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #118,truck-stops,Benton,AR,pilot-travel-center-118-benton-ar,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Speedzone (Mapco/Conoco) - Bryant,truck-stops,Bryant,AR,speedzone-mapco-conoco-bryant-bryant-ar,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
County Line Superstop,truck-stops,Alexander,AR,county-line-superstop-alexander-ar,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #457,truck-stops,Little Rock,AR,love-s-travel-stop-457-little-rock-ar,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot #118 - Benton,cat-scales,Benton,AR,cat-scale-at-pilot-118-benton-benton-ar,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Love's #457 - Little Rock,cat-scales,Little Rock,AR,cat-scale-at-love-s-457-little-rock-little-rock-ar,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Firestone Complete Auto Care - Benton,tire-repair,Benton,AR,firestone-complete-auto-care-benton-benton-ar,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
