name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Camp I-30 Truck Stop (BP),truck-stops,3115 E 54th St,Texarkana,AR,71854,870-774-2251,,Independent BP-branded truck stop just off I-30 on the Arkansas side of Texarkana with fuel and truck parking.,I-30,2,,yes,yes,,yes,,,,
Flying J Travel Center #606,truck-stops,8300 State Hwy 108,Texarkana,AR,71854,870-774-3595,https://locations.pilotflyingj.com/,"Full-service Flying J travel center on the Arkansas side of Texarkana at I-30 Exit 7 with fuel lanes, showers, and a CAT Scale.",I-30,7,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop #277,truck-stops,116 Ron Harrod Rd,Prescott,AR,71857,870-887-1744,https://www.loves.com/,"Love's Travel Stop at I-30 Exit 46 in Prescott offering fuel, showers, a deli, and scales for truckers.",I-30,46,yes,yes,yes,,yes,,yes,yes,
Love's Truck Care - Prescott,roadside-service,116 Ron Harrod Rd,Prescott,AR,71857,,https://www.loves.com/,Love's Truck Care commercial truck repair bay co-located with the Prescott Love's at I-30 Exit 46.,I-30,46,,,,,,yes,,,
Southfork Truck Stop,truck-stops,2066 Highway 53 N,Gurdon,AR,71743,870-353-4363,,"Independent Gurdon truck plaza at I-30 Exit 63 with large truck parking, a restaurant, laundry, and on-site tire and road service.",I-30,63,,yes,yes,yes,yes,yes,,,
Southfork Truck Stop - Tire & Road Service,tire-repair,2066 Highway 53 N,Gurdon,AR,71743,870-353-4363,,"Southfork offers 24-hour road service, tire repair, and tire sales with a mechanic on duty at I-30 Exit 63 in Gurdon.",I-30,63,,,,,yes,yes,,,
Pilot Travel Center #492,truck-stops,170 Valley Street,Arkadelphia,AR,71923,870-245-3119,https://locations.pilotflyingj.com/,"Pilot Travel Center at I-30 Exit 78 (Caddo Valley/Arkadelphia) with fuel lanes, showers, Dunkin', and a CAT Scale.",I-30,78,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot #492 - Arkadelphia,cat-scales,170 Valley Street,Arkadelphia,AR,71923,,https://catscale.com/,Certified CAT Scale located at the Pilot Travel Center at I-30 Exit 78 in the Arkadelphia/Caddo Valley area.,I-30,78,,,,,,,yes,,
Love's Travel Stop #779,truck-stops,6716 Highway 171 (AR-171),Malvern,AR,72104,501-337-9545,https://www.loves.com/,"24-hour Love's travel center off I-30 Exit 97 with an on-site Arby's, truck tire/repair bays, and a CAT Scale.",I-30,97,yes,yes,yes,yes,yes,yes,yes,yes,
Pilot Travel Center #118,truck-stops,7801 Alcoa Road,Benton,AR,72015,501-794-5900,https://locations.pilotflyingj.com/,"24-hour Pilot travel center at I-30 Exit 121 with diesel lanes, showers, laundry, and a CAT Scale.",I-30,121,yes,yes,yes,yes,yes,,yes,yes,
Speedzone (Mapco/Conoco) - Bryant,truck-stops,2301 N Reynolds Road,Bryant,AR,72022,,,"Independent fuel/travel store off I-30 Exit 123 in Bryant with a deli, limited truck parking, and 24-hour fuel.",I-30,123,,yes,yes,,yes,,,,
County Line Superstop,truck-stops,13400 Interstate 30,Alexander,AR,72210,501-455-4224,,"Independent superstop at I-30 Exit 126 with a cafe/deli, convenience store, and limited overnight truck parking.",I-30,126,,yes,yes,,yes,,,,
Love's Travel Stop #457,truck-stops,11700 Interstate 30,Little Rock,AR,72210,501-407-0227,https://www.loves.com/,"24-hour Love's travel center on the south/west I-30 side of Little Rock at Exit 128 with Love's Truck Care, showers, and a CAT Scale.",I-30,128,yes,yes,yes,,yes,yes,yes,yes,
CAT Scale at Pilot #118 - Benton,cat-scales,7801 Alcoa Road,Benton,AR,72015,,https://catscale.com/,Certified CAT Scale co-located at the Pilot Travel Center off I-30 Exit 121 in Benton.,I-30,121,,,,,,,yes,,
CAT Scale at Love's #457 - Little Rock,cat-scales,11700 Interstate 30,Little Rock,AR,72210,,https://catscale.com/,Certified CAT Scale co-located at the Love's Travel Stop off I-30 Exit 128 in Little Rock.,I-30,128,,,,,,,yes,,
Firestone Complete Auto Care - Benton,tire-repair,17300 I-30 Frontage Road,Benton,AR,,501-303-4238,https://www.firestonecompleteautocare.com/,Tire sales and repair shop directly on the I-30 frontage road in Benton offering flat repair and tire service.,I-30,,,,,,,yes,,,
