name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Speedy's Truck Stop,truck-stops,Lupton,AZ,speedy-s-truck-stop-lupton-az,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-40 Sanders Port of Entry (Weigh Station),weigh-stations,Sanders,AZ,i-40-sanders-port-of-entry-weigh-station-sanders-az,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Chambers Mobil,truck-stops,Chambers,AZ,chambers-mobil-chambers-az,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Hopi Travel Plaza,truck-stops,Holbrook,AZ,hopi-travel-plaza-holbrook-az,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Holbrook,truck-stops,Holbrook,AZ,ta-holbrook-holbrook-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #278,truck-stops,Joseph City,AZ,love-s-travel-stop-278-joseph-city-az,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #971,truck-stops,Winslow,AZ,love-s-travel-stop-971-winslow-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #612,truck-stops,Winslow,AZ,flying-j-travel-center-612-winslow-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center (Flying J) - Bellemont,truck-stops,Bellemont,AZ,pilot-travel-center-flying-j-bellemont-bellemont-az,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Little America Travel Center - Flagstaff,truck-stops,Flagstaff,AZ,little-america-travel-center-flagstaff-flagstaff-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - Pilot Bellemont,cat-scales,Bellemont,AZ,cat-scale-pilot-bellemont-bellemont-az,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Bellemont Truck Repair & Towing,roadside-service,Bellemont,AZ,bellemont-truck-repair-towing-bellemont-az,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Rocky Mountain Truck Centers - Flagstaff,roadside-service,Flagstaff,AZ,rocky-mountain-truck-centers-flagstaff-flagstaff-az,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Golightly Tire,tire-repair,Flagstaff,AZ,golightly-tire-flagstaff-az,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,Exit number; Verified coordinates; Phone; Verified date; Approved reviews
I-40 Truck Wash,truck-washes,Flagstaff,AZ,i-40-truck-wash-flagstaff-az,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
Love's Travel Stop #553,truck-stops,Williams,AZ,love-s-travel-stop-553-williams-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Kingman #094,truck-stops,Kingman,AZ,ta-kingman-094-kingman-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #610,truck-stops,Kingman,AZ,flying-j-travel-center-610-kingman-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #272,truck-stops,Kingman,AZ,love-s-travel-stop-272-kingman-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Petro Stopping Center #315 (Petro Kingman),truck-stops,Kingman,AZ,petro-stopping-center-315-petro-kingman-kingman-az,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Crazy Fred's Truck Stop,truck-stops,Kingman,AZ,crazy-fred-s-truck-stop-kingman-az,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Topock Port of Entry (Weigh Station),weigh-stations,Topock,AZ,topock-port-of-entry-weigh-station-topock-az,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
