Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
Van Buren Travel Center,Truck Stops,,Van Buren,AR,,,,,,,,,,,,,,,,,,,,,,,,I-40,,no,no
Ozark Truck & Travel Plaza,Truck Stops,,Alma,AR,,,,,,,,,,,,,,,,,,,,,,,,I-40,,no,no
Truck Parking Club - Pence Ln lot behind Workman's Travel Center,Truck Parking,,Ozark,AR,,,,,,,,,,,,,,,,,,,,,,,,I-40,,no,no
Quality Inn & Suites Alma I-40,Hotels with Truck Parking,,Alma,AR,,,,,,,,,,,,,,,,,,,,,,,,I-40,,no,no
Highway 64 Truck & Trailer Repair,Roadside Service,,Van Buren,AR,,,,,,,,,,,,,,,,,,,,,,,,I-40,,no,no
Petro Stopping Center #326 (Petro N. Little Rock),Truck Stops,3205 Valentine Rd,North Little Rock,AR,72117,,,(501) 945-3206,https://www.ta-petro.com/location/ar/petro-n-little-rock/,"Large TA/Petro travel center at the Galloway/Protho Junction cluster, I-40 Exit 161. Approx. 250 truck parking spaces with Reserve-It reserved parking, 10 diesel lanes, 14 showers, Iron Skillet restaurant, laundry, CAT scale, trucker lounge, CB shop, and on-site TA Truck Service shop. Open 24 hours.",250,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,I-40,161,yes,no
Pilot Travel Center #332,Truck Stops,3300 Highway 391 N,North Little Rock,AR,72117,,,(501) 945-2226,https://locations.pilotflyingj.com/us/ar/north-little-rock/3300-highway-391-north,"Pilot travel center at I-40 Exit 161 (Galloway Rd), part of the Protho Junction truck-stop cluster. About 100 truck parking spaces including 24 reserved/paid Prime Parking spots, 7 showers (reservable via the Pilot app), 11 fuel lanes, CAT scale, and convenience store food. Open 24 hours.",100,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,,,,,I-40,161,yes,no
Love's Travel Stop #236,Truck Stops,11801 E I-40 (Galloway Rd),North Little Rock,AR,72117,,,(501) 945-5400,https://www.loves.com/locations/ar/n-little-rock/loves-travel-stop-n-little-rock-236,"Love's travel stop at I-40 Exit 161 in the Galloway/Protho Junction cluster. Approx. 65 truck parking spaces, 5 showers, 8 fuel lanes, CAT scale, bulk DEF, laundry, WiFi, and food options including Chester's Fried Chicken and Godfather's Pizza. Speedco truck care is adjacent. Open 24 hours.",65,yes,,,yes,yes,yes,yes,yes,yes,,yes,yes,,,,,I-40,161,yes,no
Circle K (Valero) - Lonoke,Truck Stops,1954 Highway 31 N,Lonoke,AR,72086,,,(501) 676-2902,https://www.circlek.com/store-locator/US/lonoke/1954-hwy-31-n/2741791,"Circle K/Valero fuel stop and convenience store at I-40 Exit 175 in Lonoke (formerly a Cracker Box/Flash Market travel center). Truck diesel with satellite pumps and roughly 28 truck parking spots, ATM, paved lot, and WiFi. No showers or service bays listed. Open 24 hours.",28,yes,,,yes,,,yes,,yes,,,yes,,,,,I-40,175,yes,no
Blue Beacon Truck Wash of Little Rock,Truck Washes,3210 Valentine Rd,North Little Rock,AR,72117,,,(501) 945-7023,https://bluebeacon.com/locations/listing/little-rock-ar,"Blue Beacon exterior truck and trailer wash at I-40 Exit 161, located in the Galloway/Protho Junction truck-stop cluster next to the Petro and Pilot. Open 24 hours.",,,,,,,,,,,,,,,,,,I-40,161,yes,no
