name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Russell's Truck & Travel Center,truck-stops,,Glenrio,NM,88434,575-576-8700,https://www.russellsttc.com,"Large 24-hour travel center at the Texas line offering diesel, showers, a diner and a free car museum, now operated under TravelCenters of America.",I-40,369,yes,yes,yes,,yes,yes,,yes,
San Jon Port of Entry / Weigh Station,weigh-stations,,San Jon,NM,,575-576-2743,https://www.dot.nm.gov/planning-research-multimodal-and-safety/modal/ports-of-entry/,New Mexico commercial vehicle weigh station and port of entry on I-40 near San Jon serving both eastbound and westbound truck traffic.,I-40,,,,,,,,,,
Love's Travel Stop #262,truck-stops,1900 Mountain Rd,Tucumcari,NM,88401,575-461-1900,https://www.loves.com/locations/nm/tucumcari/loves-travel-stop-tucumcari-262,"24-hour Love's travel stop in Tucumcari with diesel lanes, showers, a CAT scale, tire service and quick-service restaurants.",I-40,333,yes,yes,yes,,yes,yes,yes,yes,
TA Santa Rosa,truck-stops,2634 Historic Route 66,Santa Rosa,NM,88435,575-472-3432,https://www.ta-petro.com/location/nm/ta-santa-rosa/,"TravelCenters of America full-service travel center at Exit 277 with fuel, showers, laundry, a CAT scale and truck repair bays.",I-40,277,yes,yes,yes,yes,yes,yes,yes,,
Love's Travel Stop #285,truck-stops,1028 NM-156,Santa Rosa,NM,88435,575-472-1160,https://www.loves.com/locations/nm/santa-rosa/loves-travel-stop-santa-rosa-285,"24-hour Love's travel stop at Santa Rosa Exit 277 with diesel, showers, tire and truck repair, and a fast-food restaurant.",I-40,277,yes,yes,yes,,yes,yes,,yes,
Clines Corners Travel Center,truck-stops,,Clines Corners,NM,,575-472-5488,https://www.clinescorners.com,"Historic Route 66 travel plaza at the I-40/US-285 junction offering fuel, a restaurant, large gift shop, restrooms and truck and RV parking.",I-40,218,,yes,yes,,yes,,,,
Pilot Travel Center #475,truck-stops,305 W Abrahames Rd,Moriarty,NM,87035,,https://www.pilotflyingj.com,"Pilot travel center at Moriarty Exit 196 with diesel and gas lanes, restrooms and quick-service dining including Subway.",I-40,196,yes,yes,yes,,yes,,,,
TA Moriarty,truck-stops,1700 US Route 66,Moriarty,NM,87035,,https://www.ta-petro.com,"TravelCenters of America location at Moriarty Exit 194 serving trucks with fuel, showers and travel services.",I-40,194,yes,yes,yes,,yes,yes,,,
TA Albuquerque (TravelCenters of America),truck-stops,2501 University Blvd NE,Albuquerque,NM,87107,505-859-7887,https://www.ta-petro.com/location/nm/ta-albuquerque/,"Full-service TravelCenters of America truck stop at the I-40/I-25 interchange with fuel, restaurant, showers, laundry, an on-site truck service shop and a CAT scale.",I-40,159A,yes,yes,yes,yes,yes,yes,yes,yes,
Love's Travel Stop #614,truck-stops,12605 Central Ave NW,Albuquerque,NM,87121,505-831-5533,https://www.loves.com/locations/nm/albuquerque/loves-travel-stop-albuquerque-614,"West-side Love's Travel Stop with diesel lanes, showers, truck service bays, a CAT scale and a Carl's Jr., open 24 hours off I-40 Exit 149.",I-40,149,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #689,truck-stops,9911 Avalon Rd NW,Albuquerque,NM,87121,505-831-2001,https://locations.pilotflyingj.com/us/nm/albuquerque/9911-avalon-rd-nw,"West-side Pilot Flying J travel center with diesel lanes, reservable showers, laundry, restaurant and truck service bays off I-40 Exit 153.",I-40,153,yes,yes,yes,yes,yes,yes,,yes,
Route 66 Travel Center (Rio Puerco),truck-stops,14314 Central Ave SW,Rio Puerco,NM,,505-352-7920,https://www.rt66casino.com/rt-66-travel-center/,"Large travel center on the Rio Puerco/west approach at I-40 Exit 140 next to the Route 66 Casino, offering diesel, private showers, a Dairy Queen and extensive truck parking.",I-40,140,yes,yes,yes,,yes,,,,
CAT Scale at TA Albuquerque,cat-scales,2501 University Blvd NE,Albuquerque,NM,87107,1-877-228-7225,https://catscale.com/cat-scale-locator/,Certified CAT truck scale located at the TA travel center at the I-40/I-25 interchange for weighing loaded rigs.,I-40,159,,,,,,,yes,,
"Commercial Tire, Inc.",tire-repair,12400 Central Ave SW,Albuquerque,NM,87121,505-226-2125,https://commercialtirenm.com/,"West-side commercial tire dealer selling and mounting semi and RV tires with retreads, alignments and road service, near I-40 Exit 149.",I-40,149,,,,,,yes,,,
Corning Truck Wash (Flying J plaza),truck-washes,9920 Avalon Rd NW,Albuquerque,NM,87121,505-839-4141,,Truck and trailer wash with livestock washout service at the west-side Flying J plaza off I-40 Exit 153 (this site has also been listed historically as a Blue Beacon).,I-40,153,,,,,,,,,
Interstate Fleet Services (mobile truck & tire repair),roadside-service,,Albuquerque,NM,,,https://www.ifleetservices.com/new-mexico/albuquerque/tire-sales-service/mobile-truck-tire-repair-in-albuquerque-nm,"24/7 mobile commercial truck and tire roadside repair service covering the Albuquerque I-40 corridor; dispatched to the breakdown, so it has no fixed address.",I-40,,,,,,,yes,,,
