name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Candler (TravelCenters of America #221),truck-stops,Candler,NC,ta-candler-travelcenters-of-america-221-candler-nc,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Candler,cat-scales,Candler,NC,cat-scale-at-ta-candler-candler-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Diesel Power Truck Center,roadside-service,Candler,NC,diesel-power-truck-center-candler-nc,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
West Carolina Freightliner,roadside-service,Asheville,NC,west-carolina-freightliner-asheville-nc,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Website; Verified date; Approved reviews
Super 8 by Wyndham Black Mountain,hotels-truck-parking,Black Mountain,NC,super-8-by-wyndham-black-mountain-black-mountain-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Truck-space count; TPC reservation link; Verified date; Approved reviews
Quality Inn Black Mountain-Asheville East,hotels-truck-parking,Black Mountain,NC,quality-inn-black-mountain-asheville-east-black-mountain-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Truck-space count; TPC reservation link; Verified date; Approved reviews
Asheville Weigh Station (NC State Highway Patrol),weigh-stations,Asheville,NC,asheville-weigh-station-nc-state-highway-patrol-asheville-nc,,59,Needs work,needs-geocoding,,import-unpublished,completeness 59 — enrich before publishing,ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Truck Parking Club - 1464 Brevard Rd lot,parking,Asheville,NC,truck-parking-club-1464-brevard-rd-lot-asheville-nc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,ZIP; Verified coordinates; Phone; Verified date; Approved reviews
Truck Parking Club - Candler lot off Smokey Park Hwy,parking,Candler,NC,truck-parking-club-candler-lot-off-smokey-park-hwy-candler-nc,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Phone; Truck-space count; Verified date; Approved reviews
Comfort Inn Asheville East-Blue Ridge Pkwy Access,hotels-truck-parking,Asheville,NC,comfort-inn-asheville-east-blue-ridge-pkwy-access-asheville-nc,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Truck-space count; TPC reservation link; Verified date; Approved reviews
Walker Tire (Bill Walker Tire Centers),tire-repair,Asheville,NC,walker-tire-bill-walker-tire-centers-asheville-nc,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Phone; Verified date; Approved reviews
