Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
TA Candler (TravelCenters of America #221),Truck Stops,153 Wiggins Rd,Candler,NC,28715,,,828-665-1156,https://www.ta-petro.com/location/nc/ta-candler/,"Full-service TA travel center at I-40 Exit 37 (Wiggins Rd), open 24/7. 106 truck parking spots (38 reservable), 8 diesel fuel lanes, 8 showers, restaurant/deli, convenience store, laundry, CAT scale, bulk DEF, and TA Truck Service shop with 4 bays offering tire repair, oil/lube, DOT inspections and truck repairs (truck service: 828-641-9658). Confirmed operating post-Hurricane Helene (reviews through mid-2026).",106,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-40,37,yes,no
CAT Scale at TA Candler,CAT Scales,153 Wiggins Rd,Candler,NC,28715,,,828-665-1156,https://www.ta-petro.com/location/nc/ta-candler/,"Certified CAT scale located at the TA Candler travel center, I-40 Exit 37, open 24 hours with the truck stop. The only verified CAT scale on I-40 between Canton and Old Fort in the Asheville metro segment.",,,,,,,,,,,,yes,,,,,,I-40,37,yes,no
Diesel Power Truck Center,Roadside Service,2348 Smokey Park Hwy,Candler,NC,28715,,,828-303-2009,https://dieselpowertruckcenter.com,"Independent heavy-duty truck and trailer repair shop at I-40 Exit 37 in Candler, serving western NC since 2016. Fixed shop location (not mobile-only) offering diesel engine repair, commercial truck tire installation and repair, hydraulic hose repair, and RV/heavy equipment work. First-come, first-served; open weekdays with extended evening hours, closed weekends. Operating post-Hurricane Helene (reviews through 2026).",,,,,,,,,,yes,yes,,,,,,,I-40,37,yes,no
West Carolina Freightliner,Roadside Service,100 Highland Center Blvd,Asheville,NC,28806,,,828-667-3833,,"Freightliner dealership with fixed full-service truck repair, parts and maintenance facility in the Enka-Candler commerce area off Smokey Park Hwy (US 19/23), near I-40 Exit 44. Parts and service departments open 7 days a week; handles routine maintenance through major semi-truck repairs plus new/used truck sales.",,,,,,,,,,yes,yes,,,,,,,I-40,44,yes,no
Super 8 by Wyndham Black Mountain,Hotels with Truck Parking,101 Flat Creek Rd,Black Mountain,NC,28711,,,828-669-8076,https://www.wyndhamhotels.com/super-8/black-mountain-north-carolina/super-8-black-mountain/overview,"84-room motel just off I-40 Exit 65 (US 70), two blocks from downtown Black Mountain. Explicitly advertises plenty of free lot parking for trucks and RVs and is listed on Trucker Path as a truck-friendly hotel with RV/bus/truck parking. Free breakfast, free WiFi, laundry facilities, 24-hour front desk. Operating post-Hurricane Helene (2026 reviews/rates active).",,yes,,,yes,,yes,,yes,yes,,,yes,,,,,I-40,65,yes,no
Quality Inn Black Mountain-Asheville East,Hotels with Truck Parking,585 Hwy 9,Black Mountain,NC,28711,,,828-419-0014,https://www.choicehotels.com/north-carolina/black-mountain/quality-inn-hotels/nc258,"57-room Choice Hotels property just off I-40 Exit 64 (NC 9) in Black Mountain. Multiple booking listings explicitly note on-site RV, bus, and truck parking. Free hot breakfast, free WiFi, seasonal outdoor pool, guest laundry. Operating post-Hurricane Helene (2026 reviews/rates active).",,yes,,,yes,,yes,,yes,yes,,,yes,,,,,I-40,64,yes,no
Asheville Weigh Station (NC State Highway Patrol),Weigh Stations,"I-40 eastbound and westbound, approx. 12 miles west of Asheville (Buncombe County)",Asheville,NC,,,,828-667-2820,https://www.ncshp.gov/ncshp/commercial-vehicles/weigh-stations,"NCSHP-operated weigh station with two fixed scales on I-40 in Buncombe County (between exits 37 and 44, near Candler). HELD: official NCSHP/NCDPS listings confirm the station and phone number but publish no civic street address; the '410 I-40, Candler' / 'Mile Marker 41' addresses circulating online appear only on unofficial directories.",,,,,,,,,,,,,,,,,,I-40,,no,no
Truck Parking Club - 1464 Brevard Rd lot,Truck Parking,1464 Brevard Rd,Asheville,NC,,,,,https://truckparkingclub.com/us/north-carolina/asheville,"Bookable truck/trailer parking lot on Brevard Rd (NC 191) listed on Truck Parking Club: approx. 14-15 spaces, $15/day, $85/week, $250/month, 5.0-star member rating. HELD: single-source (Truck Parking Club marketplace only); 1464 Brevard Rd sits on the NC 191 corridor between I-40 Exit 47 and I-26 Exit 33, so I-40 exit assignment is unverified.",15,,yes,yes,yes,,,,,,,,,,https://truckparkingclub.com/us/north-carolina/asheville,,,I-40,47,no,no
Truck Parking Club - Candler lot off Smokey Park Hwy,Truck Parking,Smokey Park Hwy (exact street number not published in listing preview),Candler,NC,,,,,https://truckparkingclub.com/us/north-carolina/asheville,"Bookable truck/trailer parking off Smokey Park Hwy (US 19/23) in Candler listed on Truck Parking Club: $17/day, $75/week, $200/month, no low-boys, 5.0-star member rating; a second Candler listing shows 10 spaces at $15/day. HELD: single-source (Truck Parking Club marketplace only) and full street address not exposed without booking; Smokey Park Hwy corridor is served by I-40 exits 37 and 44.",,,yes,yes,yes,,,,,,,,,,https://truckparkingclub.com/us/north-carolina/asheville,,,I-40,44,no,no
Comfort Inn Asheville East-Blue Ridge Pkwy Access,Hotels with Truck Parking,1435 Tunnel Rd,Asheville,NC,28805,,,,https://www.choicehotels.com/north-carolina/asheville/comfort-inn-hotels/nc690,"Choice Hotels property on Tunnel Rd (US 70) at I-40 Exit 55 in east Asheville. Trucker-reported parking arrangement: large vehicles, tractor-trailers and trailers park across the street in the vacant lot east of the Waffle House, per crowd-sourced HotelTruckParking reports. HELD: truck-parking confirmation is a single crowd-sourced report describing off-site (not hotel-controlled) parking, and listed phone numbers conflict across sources.",,yes,,,yes,,yes,,,yes,,,yes,,,,,I-40,55,no,no
Walker Tire (Bill Walker Tire Centers),Tire Repair,529 Emma Rd,Asheville,NC,28806,,,,https://www.walker-tire.com,"Tire dealer and service center in West Asheville advertising 24/7 semi-truck roadside assistance (tire repair, fuel delivery) plus fleet services; Michelin/BFGoodrich commercial dealer. HELD: shop sits on Emma Rd roughly 2+ miles from I-40 Exit 44 via Patton Ave, not at an I-40 interchange, and published phone numbers conflict across sources (828-255-8200 vs 828-348-5093).",,,,,,,,,,yes,yes,,,,,,,I-40,44,no,no
Pilot Travel Center #393,Truck Stops,3712 Crabtree Rd,Waynesville,NC,28786,,,(828) 627-8611,https://locations.pilotflyingj.com/us/nc/waynesville/3712-crabtree-rd,"Full-service Pilot truck stop at I-40 Exit 24 (US 209/Crabtree Rd), the only major truck stop between the Tennessee line and Canton. Approximately 60 truck parking spaces (8 reserved/paid), 6-7 diesel lanes, 4 showers, CAT scale, Subway and pizza on site, DEF, Wi-Fi. Westernmost full truck stop on I-40 in NC; note one-lane-each-way conditions continue west of Exit 7 through the Pigeon River Gorge during Helene reconstruction (full lanes targeted for 2028).",60,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,,,,,I-40,24,yes,no
CAT Scale - Pilot Travel Center #393,CAT Scales,3712 Crabtree Rd,Waynesville,NC,28786,,,(828) 627-8611,https://catscale.com/cat-scale-locator/,CAT scale located at the Pilot Travel Center at I-40 Exit 24 (US 209). Only verified CAT scale between the Tennessee line and Exit 37.,,,,,,,,,,,,yes,,,,,,I-40,24,yes,no
TA Truck Service - Candler,Roadside Service,153 Wiggins Rd,Candler,NC,28715,,,(828) 665-1156,https://www.ta-petro.com/location/nc/ta-candler/,"Fixed-location truck repair shop at the TA travel center, I-40 Exit 37. Four service bays handling tires, brakes, electrical, DOT inspections, advanced diagnostics, HVAC, alignments, trailers, and aftertreatment; RoadSquad roadside assistance is dispatched from this fixed facility.",,,,,,,,,,yes,yes,,,,,,,I-40,37,yes,no
