name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Pilot Travel Center #53,truck-stops,Hurricane Mills,TN,pilot-travel-center-53-hurricane-mills-tn,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #369,truck-stops,Dickson,TN,love-s-travel-stop-369-dickson-tn,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #409,truck-stops,Dickson,TN,pilot-travel-center-409-dickson-tn,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
Petro Stopping Center Kingston Springs #349,truck-stops,Kingston Springs,TN,petro-stopping-center-kingston-springs-349-kingston-springs-tn,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - Pilot Travel Center #53 Hurricane Mills,cat-scales,Hurricane Mills,TN,cat-scale-pilot-travel-center-53-hurricane-mills-hurricane-mills-tn,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale - Love's Travel Stop #369 Dickson,cat-scales,Dickson,TN,cat-scale-love-s-travel-stop-369-dickson-dickson-tn,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale - Pilot Travel Center #409 Dickson,cat-scales,Dickson,TN,cat-scale-pilot-travel-center-409-dickson-dickson-tn,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale - Petro Kingston Springs,cat-scales,Kingston Springs,TN,cat-scale-petro-kingston-springs-kingston-springs-tn,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Southern Tire Mart at Pilot #330,tire-repair,Hurricane Mills,TN,southern-tire-mart-at-pilot-330-hurricane-mills-tn,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Love's Truck Care #369,tire-repair,Dickson,TN,love-s-truck-care-369-dickson-tn,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
TA Truck Service #349 (Petro Kingston Springs),roadside-service,Kingston Springs,TN,ta-truck-service-349-petro-kingston-springs-kingston-springs-tn,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Specialized Truck Repair - Kingston Springs,roadside-service,Kingston Springs,TN,specialized-truck-repair-kingston-springs-kingston-springs-tn,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
I-40 Truck Repair & Towing,roadside-service,Dickson,TN,i-40-truck-repair-towing-dickson-tn,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Finish Line Truck Wash - Fairview,truck-washes,Fairview,TN,finish-line-truck-wash-fairview-fairview-tn,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
