name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Shamrock Weigh Station,weigh-stations,Shamrock,TX,shamrock-weigh-station-shamrock-tx,,74,Good,needs-geocoding,,ready-to-publish,completeness 74 with address,Verified coordinates; Verified date; Approved reviews
Midway Truck and Travel Center,truck-stops,Shamrock,TX,midway-truck-and-travel-center-shamrock-tx,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Country Corner,truck-stops,McLean,TX,country-corner-mclean-tx,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Larry's Diesel Service,roadside-service,Groom,TX,larry-s-diesel-service-groom-tx,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Verified date; Approved reviews
Love's Travel Stop #229,truck-stops,Conway,TX,love-s-travel-stop-229-conway-tx,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #723,truck-stops,Amarillo,TX,flying-j-travel-center-723-amarillo-tx,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Amarillo,cat-scales,Amarillo,TX,cat-scale-at-flying-j-amarillo-amarillo-tx,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Website; Verified date; Approved reviews
Petro Amarillo (TravelCenters of America),truck-stops,Amarillo,TX,petro-amarillo-travelcenters-of-america-amarillo-tx,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Amarillo (TravelCenters of America),truck-stops,Amarillo,TX,ta-amarillo-travelcenters-of-america-amarillo-tx,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #250,truck-stops,Amarillo,TX,love-s-travel-stop-250-amarillo-tx,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #200,truck-stops,Amarillo,TX,love-s-travel-stop-200-amarillo-tx,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Toot'n Totum #99,truck-stops,Amarillo,TX,toot-n-totum-99-amarillo-tx,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Blue Beacon Truck Wash of Amarillo,truck-washes,Amarillo,TX,blue-beacon-truck-wash-of-amarillo-amarillo-tx,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Eagle Truck Wash,truck-washes,Amarillo,TX,eagle-truck-wash-amarillo-tx,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Website; Amenities; Verified date; Approved reviews
Southern Tire Mart #491,tire-repair,Amarillo,TX,southern-tire-mart-491-amarillo-tx,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
CAT Scale at Love's Travel Stop Amarillo (Exit 60),cat-scales,Amarillo,TX,cat-scale-at-love-s-travel-stop-amarillo-exit-60-amarillo-tx,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pilot Travel Center #1027,truck-stops,Vega,TX,pilot-travel-center-1027-vega-tx,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Travel Center Vega,cat-scales,Vega,TX,cat-scale-at-pilot-travel-center-vega-vega-tx,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Vega Truck Stop and Indian Kitchen,truck-stops,Vega,TX,vega-truck-stop-and-indian-kitchen-vega-tx,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Rose Punjab Truck Repair Shop & Road Service,roadside-service,Adrian,TX,rose-punjab-truck-repair-shop-road-service-adrian-tx,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
