Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
Pro Stop (Pilot Flying J Dealer #962),Truck Stops,1503 Avco Blvd,Sellersburg,IN,47172,,,,https://locations.pilotflyingj.com/us/in/sellersburg/1503-avco-blvd,"Pilot Flying J-branded fuel dealer / travel center at I-65 Exit 7 (SR 60) in Sellersburg, co-located with the Kenworth of Sellersburg dealership. Listed with diesel lanes, DEF, showers, restrooms, food, Wi-Fi and truck parking.",,,,,yes,yes,yes,yes,,yes,,yes,yes,,,,,I-65,7,yes,no
CAT Scale at Pro Stop (Sellersburg),CAT Scales,1503 Avco Blvd,Sellersburg,IN,47172,,,,https://locations.pilotflyingj.com/us/in/sellersburg/1503-avco-blvd,Certified CAT Scale located at the Pro Stop / Pilot Flying J dealer travel center at I-65 Exit 7 in Sellersburg.,,,,,,,,,,,,yes,,,,,,I-65,7,yes,no
Kenworth of Sellersburg (Palmer Trucks),Roadside Service,1503 Avco Blvd,Sellersburg,IN,47172,,,812-248-2314,https://www.palmertrucks.com/map-location/kenworth-of-sellersburg/,"Kenworth/Palmer Trucks full-service truck dealership at I-65 Exit 7 offering heavy-duty truck service, OEM repairs, parts and mobile diagnostics (PACCAR, Cummins, CAT). Co-located with the Pro Stop travel center at 1503 Avco Blvd. Service department hours Mon-Fri 7:00a-4:00p.",,,,,,,,,,,yes,,,,,,,I-65,7,yes,no
Bauer Built Tire & Service,Tire Repair,5601 US-31,Clarksville,IN,47129,,,812-285-8778,https://www.bauerbuilt.com/locations/clarksville/,"Commercial truck/OTR/ag tire dealer and service center on US-31 south of Clark Regional Airport, with 24/7 emergency truck tire service. Reached from I-65 via Exit 4 (northbound) or Exit 7 (southbound), roughly 3-4 miles along US-31.",,,,,,,,,,,yes,,,,,,,I-65,4,yes,no
Travelodge by Wyndham Sellersburg / Louisville North,Hotels with Truck Parking,7618 Old State Road 60,Sellersburg,IN,47172,,,812-246-4451,https://www.wyndhamhotels.com/travelodge/sellersburg-indiana/travelodge-sellersburg-louisville-north/overview,"Budget hotel just off I-65 Exit 7 in Sellersburg that advertises ample free parking for trucks and RVs, plus free Wi-Fi and a seasonal outdoor pool.",,yes,,,yes,,,,,,,,yes,,,,,I-65,7,yes,no
Ramada by Wyndham Sellersburg / Louisville North,Hotels with Truck Parking,360 Triangle Dr,Sellersburg,IN,47172,,,,https://www.wyndhamhotels.com/ramada/sellersburg-indiana/ramada-sellersburg-louisville-north/overview,"Hotel off I-65 Exit 7 in Sellersburg that advertises free parking for trucks, buses, RVs and campers, with an indoor pool and free breakfast.",,yes,,,yes,,,,,,,,yes,,,,,I-65,7,yes,no
Lockup Storage - Truck & Trailer Parking,Truck Parking,7507 US-31,Sellersburg,IN,47172,,,812-246-1351,https://www.rentlockup.com/,"Fenced, gated, video-monitored storage facility on US-31 about 1-2 miles from I-65 Exit 7 that offers semi-trailer and RV parking, bookable via Truck Parking Club.",,,yes,yes,yes,,,,,,,,,yes,https://truckparkingclub.com/truck-parking/indiana/sellersburg/7507-u-s--31-47172,,,I-65,7,yes,no
Truck & Trailer Parking - Avco Blvd (Sellersburg),Truck Parking,1523 Avco Blvd,Sellersburg,IN,47172,,,,https://truckparkingclub.com/truck-parking/indiana/sellersburg/1523-avco-blvd-47172,"Fenced gravel truck & trailer parking lot on Avco Blvd with 24/7 access, immediately off I-65 Exit 7 near the Pro Stop / Kenworth of Sellersburg. Bookable hourly, daily, weekly or monthly through Truck Parking Club.",,,yes,yes,yes,,,,,,,,,yes,https://truckparkingclub.com/truck-parking/indiana/sellersburg/1523-avco-blvd-47172,,,I-65,7,no,no
Mike's Diesel Tech,Roadside Service,,Sellersburg,IN,,,,812-989-5289,https://mobiledieseltech.com/,Mobile truck and trailer repair service covering the Sellersburg / Jeffersonville / Louisville-Southern Indiana area along I-65; phones answered 24 hours.,,,,,,,,,,,yes,,,,,,,I-65,,no,no
Interstate Fleet Services,Roadside Service,,Clarksville,IN,,,,,https://www.ifleetservices.com/indiana/clarksville/tire-sales-service/mobile-truck-tire-repair-in-clarksville-in,"24/7 mobile truck repair, trailer, reefer and tire service dispatched to the Clarksville / Jeffersonville I-65 area.",,,,,,,,,,,yes,,,,,,,I-65,,no,no
