name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Flying J Travel Center #661,truck-stops,Franklin,KY,flying-j-travel-center-661-franklin-ky,,75,Good,needs-geocoding,,ready-to-publish,completeness 75 with address,Verified coordinates; Parking type; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Travel Center #661,cat-scales,Franklin,KY,cat-scale-at-flying-j-travel-center-661-franklin-ky,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Keystop Truck Stop,truck-stops,Franklin,KY,keystop-truck-stop-franklin-ky,,68,Good,needs-geocoding,,ready-to-publish,completeness 68 with address,Verified coordinates; Website; Parking type; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #438,truck-stops,Franklin,KY,pilot-travel-center-438-franklin-ky,,75,Good,needs-geocoding,,ready-to-publish,completeness 75 with address,Verified coordinates; Parking type; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Travel Center #438,cat-scales,Franklin,KY,cat-scale-at-pilot-travel-center-438-franklin-ky,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Sudden Service #62 Travel Center,truck-stops,Franklin,KY,sudden-service-62-travel-center-franklin-ky,,75,Good,needs-geocoding,,ready-to-publish,completeness 75 with address,Verified coordinates; Parking type; TPC reservation link; Verified date; Approved reviews
Speedco (Love's) Franklin,roadside-service,Franklin,KY,speedco-love-s-franklin-franklin-ky,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
TA Truck Service Franklin,roadside-service,Franklin,KY,ta-truck-service-franklin-franklin-ky,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Pride Truck Wash - Franklin,truck-washes,Franklin,KY,pride-truck-wash-franklin-franklin-ky,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
Best One Fleet Service - Bowling Green,tire-repair,Bowling Green,KY,best-one-fleet-service-bowling-green-bowling-green-ky,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
