Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
Flying J Travel Center #661,Truck Stops,4380 Nashville Road,Franklin,KY,42134,,,270-586-3343,https://locations.pilotflyingj.com/us/ky/franklin/4380-nashville-road,"24-hour Pilot Flying J travel center on I-65 at Exit 2 (US-31W / Nashville Road), just north of the Tennessee line in Franklin (Simpson County). Amenities include diesel and DEF lanes, showers, a certified CAT Scale, restaurant/QSR, convenience store, ATM, propane, laundry/lounge, RV parking and premium Wi-Fi. Directories list roughly 170+ truck parking spaces.",172,,,,,yes,yes,yes,yes,,,yes,yes,,,,,I-65,2,yes,no
CAT Scale at Flying J Travel Center #661,CAT Scales,4380 Nashville Road,Franklin,KY,42134,,,877-228-7225,https://catscale.com,"Certified CAT Scale co-located at Flying J Travel Center #661, I-65 Exit 2 (Nashville Road), Franklin. Provides guaranteed-accurate certified weights for commercial trucks.",,,,,,,,,,,,yes,,,,,,I-65,2,yes,no
Keystop Truck Stop,Truck Stops,4425 Nashville Road,Franklin,KY,42134,,,270-586-5922,,"24-hour independent truck stop on I-65 at Exit 2 (Nashville Road), Franklin. Directories list about 79 truck parking spaces, 6 fuel lanes and 3 showers, plus diesel, fast food, deli, convenience store, ATM, dump station and Wi-Fi.",79,,,,,yes,yes,yes,,,,,yes,,,,,I-65,2,yes,no
Pilot Travel Center #438,Truck Stops,2940 Scottsville Road,Franklin,KY,42134,,,270-586-9544,https://locations.pilotflyingj.com/us/ky/franklin/2940-scottsville-rd,"24-hour Pilot travel center on I-65 at Exit 6 (KY-100 / Scottsville Road), Franklin. Amenities include diesel and DEF lanes, showers, a certified CAT Scale, QSR/food, convenience store, ATM and Wi-Fi. Directories list roughly 150 truck parking spaces (plus reservable prime spots) and 9 showers.",150,,,,,yes,yes,yes,,,,yes,yes,,,,,I-65,6,yes,no
CAT Scale at Pilot Travel Center #438,CAT Scales,2940 Scottsville Road,Franklin,KY,42134,,,877-228-7225,https://catscale.com,"Certified CAT Scale co-located at Pilot Travel Center #438, I-65 Exit 6 (Scottsville Road), Franklin. Provides guaranteed-accurate certified weights for commercial trucks.",,,,,,,,,,,,yes,,,,,,I-65,6,yes,no
Sudden Service #62 Travel Center,Truck Stops,3303 Scottsville Road,Franklin,KY,42134,,,270-586-3248,https://suddenserviceonline.com/locations/3303-scottsville-rd-franklin-ky/,"24-hour AMBEST / Shell-branded travel center on I-65 at Exit 6 (KY-100 / Scottsville Road), Franklin (formerly listed as Bluegrass Truck Plaza). Directories list about 92 truck parking spaces, 6 fuel lanes and 4 showers, plus bulk DEF, convenience store, fast food, laundry, truckers lounge, certified scales, trailer drop, on-site truck/trailer wash and truck repairs.",92,,,,,yes,yes,yes,yes,,,,yes,,,,,I-65,6,yes,no
Speedco (Love's) Franklin,Roadside Service,2875 Scottsville Road,Franklin,KY,42134,,,270-598-9521,https://www.loves.com/locations/ky/franklin/loves-speedco-franklin-919,"Speedco (Love's) truck lube, preventive-maintenance and tire shop on I-65 at Exit 6 (Scottsville Road), Franklin. Services include fast oil/lube PM service, DOT inspections and commercial tire sales/service for Class 8 trucks. Standalone service facility co-located near the Exit 6 truck-stop cluster.",,,,,,,,,,,,,,,,,,I-65,6,yes,no
TA Truck Service Franklin,Roadside Service,101 Trotter Lane,Franklin,KY,42134,,,,https://www.ta-petro.com/location/ky/ta-truck-service-franklin/,"TravelCenters of America (TA) standalone truck service shop on I-65 at Exit 6 (Scottsville Road), Franklin. Provides commercial truck tire sales/service and mechanical/diesel repair. Facility #0347.",,,,,,,,,,,,,,,,,,I-65,6,yes,no
Pride Truck Wash - Franklin,Truck Washes,2940 Scottsville Road,Franklin,KY,42134,,,270-586-0116,,"Commercial truck and trailer wash on I-65 at Exit 6 (Scottsville Road), Franklin, on the Pilot #438 lot. Services include tractor wash, trailer wash/washout, engine wash, undercarriage rinse, inside-frame wash and degrease. Standalone wash operator co-located with the truck stop.",,,,,,,,,,,,,,,,,,I-65,6,yes,no
Best One Fleet Service - Bowling Green,Tire Repair,200 Tobacco Road,Bowling Green,KY,42101,,,270-282-2108,https://bestonebg.com/locations/bowling-green/,"Commercial truck tire dealer and fleet service center in Bowling Green serving the I-65 freight corridor. 78,000 sq ft facility with 10 service bays, TIA-certified technicians, commercial tire sales/service, brakes, alignments, suspension and trailer repair, plus 24-hour roadside assistance.",,,,,,,,,,,,,,,,,,I-65,,yes,no
Ziegler Tire - Bowling Green (Commercial),Tire Repair,119 Ambassador Drive,Bowling Green,KY,42101,,,270-282-2171,https://www.zieglertire.com/commercial-locations/bowling-green-ky,"Ziegler Tire commercial location in Bowling Green serving the I-65 corridor. Commercial truck/OTR tire sales, retreading, fleet inspections and maintenance, with 24/7 roadside assistance.",,,,,,,,,,,,,,,,,,I-65,,yes,no
Days Inn by Wyndham Franklin,Hotels with Truck Parking,103 Trotter Lane,Franklin,KY,42134,,,270-598-0163,https://www.wyndhamhotels.com/days-inn/franklin-kentucky/days-inn-franklin-ky/overview,"Days Inn by Wyndham hotel on I-65 at Exit 6 (Scottsville Road), Franklin, offering free on-site truck/RV parking (directories list roughly 5-18 truck spaces on the south side of the property).",,yes,,,,,,,,,,,yes,,,,,I-65,6,yes,no
Ramada by Wyndham Bowling Green,Hotels with Truck Parking,4767 Scottsville Road,Bowling Green,KY,42104,,,,https://www.wyndhamhotels.com/ramada/bowling-green-kentucky/ramada-bowling-green/overview,"Ramada by Wyndham hotel on I-65 at Exit 22 (US-231 / Scottsville Road), Bowling Green, offering free RV/bus/truck parking for guests.",,yes,,,,,,,,,,,yes,,,,,I-65,22,yes,no
Kentucky Weigh Station - I-65 Northbound (Simpson County),Weigh Stations,,Franklin,KY,42134,,,,https://www.coopsareopen.com/kentucky-truck-scale-295.html,"Permanent Kentucky commercial-vehicle weigh/inspection station on northbound I-65 in Simpson County near Franklin, between Exit 2 (Nashville Road) and Exit 6 (Scottsville Road), just north of the Tennessee state line. Operated by Kentucky State Police Commercial Vehicle Enforcement (KSP CVE).",,,,,,,,,,,,,,,,,,I-65,,no,no
Simpson County (Franklin) Welcome Center - I-65 Northbound,Truck Parking,I-65 Northbound near Mile Marker 0.3,Franklin,KY,42134,,,270-586-6292,https://www.kentuckytourism.com/explore/simpson-county-(franklin)-welcome-center-northbound-1862,"Kentucky Welcome Center on northbound I-65 in Simpson County just north of the Tennessee line, near Franklin. New facility opened October 2025 (replacing the demolished 1974 center). Provides restrooms, vending and commercial truck parking (roughly 20 truck spaces) with high-mast lighting.",20,yes,,,,,,,,yes,,,,,,,,I-65,,no,no
All Star Towing & Road Service (at Sudden Service #62),Roadside Service,3303 Scottsville Road,Franklin,KY,42134,,,270-202-3331,,"24-hour towing and roadside truck-repair operator co-located at Sudden Service #62 Travel Center, I-65 Exit 6, Franklin. Listed services include towing, tire service, DOT inspections, mechanical repair and welding.",,,,,,,,,,,,,,,,,,I-65,6,no,no
TA Smiths Grove,Truck Stops,605 S Main St,Smiths Grove,KY,42171,,,270-563-4713,https://www.ta-petro.com/location/ky/ta-smiths-grove/,"TravelCenters of America (TA #468) travel center at I-65 Exit 38 in Smiths Grove. 24-hour truck stop with diesel, convenience store, Chester's Chicken and a full-service restaurant, showers, laundry, certified CAT Scale, and 100+ truck parking spaces. Formerly branded Smiths Grove Travel Center (Exxon/BP); now operating as TA.",100,,,,,yes,,,yes,,,yes,,,,,,I-65,38,yes,no
CAT Scale - TA Smiths Grove,CAT Scales,605 S Main St,Smiths Grove,KY,42171,,,270-563-4713,,"Certified CAT Scale located at the TA Smiths Grove travel center, I-65 Exit 38.",,,,,,,,,,,,,,,,,,I-65,38,yes,no
Park City Shell (IGA Express),Truck Stops,329 Mammoth Cave Pkwy,Park City,KY,42160,,,,https://find.shell.com/us/fuel/10011503-329-mammoth-cave-parkway/en_US,"Independent Shell/IGA Express truck stop at I-65 Exit 48 in Park City (Mammoth Cave area). Open 24 hours with gas and diesel, Subway, deli/restaurant, travel store, ATM, propane, and about 15 truck parking spaces.",15,,,,,,,,,,,,,,,,,I-65,48,yes,no
Higdon's Service Center,Roadside Service,1001 Doyle Ave,Cave City,KY,42127,,,270-773-2233,,"Service center / Chevron at I-65 Exit 53 in Cave City offering flatbed and wrecker towing, flat/tire repair, engine and lube service, and off-road (dyed) diesel. Associated Higdon's Wrecker Service provides 24/7 towing.",,,,,,,,,,,,,,,,,,I-65,53,yes,no
Crossroads Towing & Truck Repair,Roadside Service,128 W Estes Rd,Cave City,KY,42127,,,270-773-4000,https://ctstowing.com/,"24/7 heavy-duty towing and truck repair at I-65 Exit 53 in Cave City serving Horse Cave, Glasgow, Munfordville and the surrounding area. Services include HD towing/recovery, mobile mechanic, HD tire changes, load shifts/transfers, and equipment hauling.",,,,,,,,,,,,,,,,,,I-65,53,yes,no
Red Roof Inn & Suites Cave City,Hotels with Truck Parking,807 Mammoth Cave St,Cave City,KY,42127,,,,https://www.redroof.com/property/ky/cave-city/rri825,"Budget hotel at I-65 Exit 53 in Cave City (Mammoth Cave area) with free semi-truck and bus parking, 24-hour front desk, and free parking. Reviewers specifically note ample 18-wheeler parking.",,yes,,,,,,,,,,,,,,,,I-65,53,yes,no
Love's Travel Stop #360,Truck Stops,4000 L&N Turnpike Rd,Horse Cave,KY,42749,,,270-786-4000,https://www.loves.com/locations/ky/horse-cave/loves-travel-stop-horse-cave-360,"Love's Travel Stop #360 at I-65 Exit 58 in Horse Cave. 24-hour truck stop with diesel, DEF lanes, McDonald's and Subway, private showers, laundry, certified CAT Scale, dog park, RV hookups/dump station, propane, and truck parking. Co-located Love's Truck Care tire/service center.",,,,,,yes,,,yes,,,yes,yes,,,,,I-65,58,yes,no
CAT Scale #1174 - Love's #360 Horse Cave,CAT Scales,4000 L&N Turnpike Rd,Horse Cave,KY,42749,,,270-586-4149,,"Certified CAT Scale #1174 at the Love's Travel Stop #360, I-65 Exit 58 in Horse Cave.",,,,,,,,,,,,,,,,,,I-65,58,yes,no
Love's Truck Care #360,Roadside Service,4000 L&N Turnpike Rd,Horse Cave,KY,42749,,,270-786-4000,,"Love's Truck Care center co-located at Love's Travel Stop #360, I-65 Exit 58 in Horse Cave. Full-service truck care: commercial tire sales and repair (Bridgestone, Michelin, Goodyear, Yokohama, Love's Retread; Lionshead tires), light mechanical service, oil changes, Interstate Batteries, and emergency roadside assistance.",,,,,,,,,,,,,,,,,,I-65,58,yes,no
