name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #644,truck-stops,Burlington,CO,love-s-travel-stop-644-burlington-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Travel Shoppe (Conoco),truck-stops,Burlington,CO,travel-shoppe-conoco-burlington-co,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Limon (TravelCenters of America #228),truck-stops,Limon,CO,ta-limon-travelcenters-of-america-228-limon-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Flying J Travel Center #621,truck-stops,Limon,CO,pilot-flying-j-travel-center-621-limon-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Limon Port of Entry (Eastbound Weigh Station),weigh-stations,Limon,CO,limon-port-of-entry-eastbound-weigh-station-limon-co,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
CAT Scale at Love's #644,cat-scales,Burlington,CO,cat-scale-at-love-s-644-burlington-co,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at TA Limon,cat-scales,Limon,CO,cat-scale-at-ta-limon-limon-co,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
TravelCenters of America (TA) Commerce City,truck-stops,Commerce City,CO,travelcenters-of-america-ta-commerce-city-commerce-city-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Blue Beacon Truck Wash of Commerce City,truck-washes,Commerce City,CO,blue-beacon-truck-wash-of-commerce-city-commerce-city-co,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Flying J Travel Center - Aurora,truck-stops,Aurora,CO,flying-j-travel-center-aurora-aurora-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Aurora,cat-scales,Aurora,CO,cat-scale-at-flying-j-aurora-aurora-co,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Pomp's Tire Service - Commerce City,tire-repair,Commerce City,CO,pomp-s-tire-service-commerce-city-commerce-city-co,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Love's Travel Stop #300 - Bennett,truck-stops,Bennett,CO,love-s-travel-stop-300-bennett-bennett-co,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #517,truck-stops,Grand Junction,CO,love-s-travel-stop-517-grand-junction-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #592,truck-stops,Grand Junction,CO,pilot-travel-center-592-grand-junction-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #826,truck-stops,Parachute,CO,love-s-travel-stop-826-parachute-co,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Loco Travel Stop 17,truck-stops,Fruita,CO,loco-travel-stop-17-fruita-co,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kum & Go (Rifle),truck-stops,Rifle,CO,kum-go-rifle-rifle-co,,45,Needs work,needs-geocoding,,import-unpublished,"completeness 45, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Loma Port of Entry / Weigh Station,weigh-stations,Loma,CO,loma-port-of-entry-weigh-station-loma-co,,74,Good,needs-geocoding,,ready-to-publish,completeness 74 with address,Verified coordinates; Verified date; Approved reviews
Grand Junction Truck & Car Wash,truck-washes,Grand Junction,CO,grand-junction-truck-car-wash-grand-junction-co,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Website; Amenities; Verified date; Approved reviews
