name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #644,truck-stops,582 S Lincoln St,Burlington,CO,80807,719-346-5204,https://www.loves.com/locations/644,"Full-service Love's travel stop at I-70 Exit 437 with diesel, a Carl's Jr, showers, and truck parking.",I-70,437,yes,yes,yes,,yes,,yes,yes,
Travel Shoppe (Conoco),truck-stops,415 S Lincoln St,Burlington,CO,80807,719-346-8515,,"Independent Conoco-branded truck stop at I-70 Exit 437 with diesel lanes, a restaurant/deli, showers, and overnight truck parking.",I-70,437,yes,yes,yes,,yes,yes,,,
TA Limon (TravelCenters of America #228),truck-stops,2200 Ninth St,Limon,CO,80828,719-775-2811,https://www.ta-petro.com/location/co/ta-limon/,"TravelCenters of America at I-70 Exit 359 with a Country Pride restaurant, Subway, showers, laundry, and a CAT scale.",I-70,359,yes,yes,yes,yes,yes,yes,yes,,
Pilot Flying J Travel Center #621,truck-stops,2495 Williams Ave,Limon,CO,80828,719-775-9286,https://locations.pilotflyingj.com/us/co/limon/2495-williams-ave,"Flying J travel plaza at I-70 Exit 359 in Limon with diesel, an on-site restaurant, and multiple showers.",I-70,359,yes,yes,yes,,yes,,,,
Limon Port of Entry (Eastbound Weigh Station),weigh-stations,53407 CO-71,Limon,CO,80828,719-775-9758,https://csp.colorado.gov/services-we-provide/port-of-entry,"Colorado State Patrol port of entry and open truck scales on I-70 near Limon around mile marker 360, which trucks are required to cross.",I-70,,,,,,,,,,
CAT Scale at Love's #644,cat-scales,582 S Lincoln St,Burlington,CO,80807,719-346-5204,https://catscale.com/cat-scale-locator/,Certified CAT scale located at the Love's Travel Stop off I-70 Exit 437 in Burlington.,I-70,437,,,,,,,yes,,
CAT Scale at TA Limon,cat-scales,2200 Ninth St,Limon,CO,80828,719-775-2811,https://catscale.com/cat-scale-locator/,Certified CAT scale located at the TA travel center off I-70 Exit 359 in Limon.,I-70,359,,,,,,,yes,,
TravelCenters of America (TA) Commerce City,truck-stops,5101 Quebec St,Commerce City,CO,80022,303-286-0123,https://www.ta-petro.com/location/co/ta-commerce-city/,"Full-service TA travel center at the I-70/I-270 interchange in Commerce City with fuel islands, showers, restaurants, a certified CAT scale and a truck-service shop.",I-70,278,yes,yes,yes,yes,yes,yes,yes,yes,
Blue Beacon Truck Wash of Commerce City,truck-washes,7052 E 53rd Pl,Commerce City,CO,80022,303-288-2990,https://bluebeacon.com/locations/listing/commerce-city-co,24-hour commercial truck and trailer wash located just off I-70/I-270 Exit 278 behind the TA truck stop in Commerce City.,I-70,278,,,,,,,,,
Flying J Travel Center - Aurora,truck-stops,16751 E 32nd Ave,Aurora,CO,80011,303-366-7600,https://locations.pilotflyingj.com/us/co/aurora/16751-e-32nd-ave,"Pilot Flying J travel center on I-70 at the Chambers Road interchange in Aurora with diesel lanes, showers, laundry, a drivers lounge and a CAT scale.",I-70,285,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Flying J Aurora,cat-scales,16751 E 32nd Ave,Aurora,CO,80011,303-366-7600,https://catscale.com/cat-scale-locator/,Certified CAT truck scale located at the Flying J travel center on I-70 Exit 285 in Aurora.,I-70,285,,,yes,,yes,,yes,,
Pomp's Tire Service - Commerce City,tire-repair,5125 E 58th Place,Commerce City,CO,80022,303-287-0126,https://locations.pompstire.com/co/commerce-city/5125-e-58th-place,Commercial truck tire dealer in the Commerce City industrial area near the I-70/I-270 corridor offering commercial transportation tires and 24-hour roadside tire service.,I-70,,,,,,,yes,,,
Love's Travel Stop #300 - Bennett,truck-stops,1191 S 1st St,Bennett,CO,80102,,https://www.loves.com/locations,"Love's Travel Stop on I-70 at Exit 304 in Bennett at the far eastern edge of the Denver metro corridor, offering fuel, showers, food and truck parking.",I-70,304,yes,yes,yes,yes,yes,,,yes,
Love's Travel Stop #517,truck-stops,748 22nd Rd,Grand Junction,CO,81505,970-241-3337,https://www.loves.com/locations/517,"Full-service Love's travel center at I-70 Exit 26 in Grand Junction with 24-hour diesel, showers, a CAT Scale, and truck and tire repair.",I-70,26,yes,yes,yes,,yes,yes,yes,yes,
Pilot Travel Center #592,truck-stops,2195 Hwy 6 & 50,Grand Junction,CO,81505,970-245-1491,https://locations.pilotflyingj.com/us/co/grand-junction/2195-hwy-6-and-50,"Pilot travel center at I-70 Exit 26 in Grand Junction with diesel lanes, showers, laundry, a trucker lounge, and a CAT Scale.",I-70,26,yes,yes,yes,yes,yes,,yes,yes,
Love's Travel Stop #826,truck-stops,100 E Cardinal Way,Parachute,CO,81635,970-285-9200,https://www.loves.com/locations/826,"Love's travel center opened in 2023 at I-70 Exit 75 in Parachute with 24-hour diesel, showers, laundry, and truck parking.",I-70,75,yes,yes,yes,yes,yes,,,yes,
Loco Travel Stop 17,truck-stops,555 Raptor Rd,Fruita,CO,81521,970-858-8006,,"Independent travel stop at I-70 Exit 19 in Fruita with diesel lanes, truck parking, laundry, and a restaurant.",I-70,19,,yes,yes,yes,yes,,,,
Kum & Go (Rifle),truck-stops,,Rifle,CO,,,,"Fuel and convenience travel stop at I-70 Exit 90 in Rifle with 24-hour diesel, a paved lighted lot, and a deli.",I-70,90,,yes,yes,,yes,,,yes,
Loma Port of Entry / Weigh Station,weigh-stations,1255 Thirteen Rd,Loma,CO,81524,970-858-1068,,"Colorado State Patrol commercial-vehicle port of entry and weigh station on eastbound I-70 near Exit 15, about four miles west of Fruita toward the Utah line.",I-70,15,,,,,,,,,
Grand Junction Truck & Car Wash,truck-washes,2320 I-70 Business Loop,Grand Junction,CO,81501,970-241-7255,,"Self-service 6-bay wash on the I-70 Business Loop in Grand Junction that handles semi tractor-trailers, buses, and rigs.",I-70,,,,,,,,,,
