name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Travel Center Troy,truck-stops,819 Edwardsville Rd,Troy,IL,62294,618-667-9931,https://www.ta-petro.com/location/il/ta-troy/,"TravelCenters of America full-service truck stop at the I-55/I-70 Exit 18 (IL-162) interchange in Troy with fuel, dining, showers, and laundry.",I-70,18,yes,yes,yes,yes,yes,yes,,yes,
Speedco #949 (Love's Truck Care),tire-repair,2180 Liebler Rd,Troy,IL,62294,618-667-7811,https://www.loves.com/locations/il/troy/loves-speedco-troy-949,"Love's-operated Speedco lube and tire shop near the I-55/I-70 Exit 18 interchange in Troy offering oil changes, tires, and light mechanical work.",I-70,18,,,,,,yes,,,
Love's Travel Stop #384,truck-stops,1900 S State Route 127,Greenville,IL,62246,618-664-9287,https://www.loves.com/locations/384,"Full-service Love's travel stop directly at I-70 Exit 45 in Greenville with fuel, showers, restrooms, and a Subway/Chester's on site.",I-70,45,yes,yes,yes,,yes,,yes,yes,
Love's Truck Care Greenville,roadside-service,1900 S State Route 127,Greenville,IL,62246,618-664-9287,https://www.loves.com/locations/384,"On-site Love's Truck Care shop at the Greenville I-70 Exit 45 travel stop providing tire repair, diesel mechanic, and roadside assistance.",I-70,45,,,yes,,,yes,,,
CAT Scale at Love's Greenville,cat-scales,1900 S State Route 127,Greenville,IL,62246,,https://catscale.com/,Certified CAT Scale located at the Love's Travel Stop at I-70 Exit 45 in Greenville for truck weighing.,I-70,45,,,,,,,yes,,
Pilot Travel Center #1219,truck-stops,10 Interstate Drive,Vandalia,IL,62471,618-283-1557,https://locations.pilotflyingj.com/us/il/vandalia/10-interstate-dr,"Pilot travel center at the I-70 Exit 61 interchange in Vandalia offering diesel lanes, showers, laundry, and a truck scale.",I-70,61,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot Vandalia,cat-scales,10 Interstate Drive,Vandalia,IL,62471,,https://catscale.com/,Certified CAT Scale located at the Pilot travel center at I-70 Exit 61 in Vandalia for truck weighing.,I-70,61,,,,,,,yes,,
Maryville Weigh Station (I-55/I-70),weigh-stations,,Maryville,IL,,,https://www.coopsareopen.com/illinois-weigh-stations.html,State truck weigh station on westbound I-55/I-70 west of Troy near the IL-159 interchange in Madison County.,I-70,,,,,,,,,,
Love's Travel Stop #688,truck-stops,203 N Haughton Hwy,Greenup,IL,62428,217-923-3220,https://www.loves.com/locations/il/greenup/loves-travel-stop-greenup-688,"24-hour Love's Travel Stop at I-70 Exit 119 (IL-130) in Greenup with diesel lanes, showers, Chester's Chicken, and an on-site CAT Scale.",I-70,119,yes,yes,yes,,yes,,yes,yes,
Mach 1 Food Store #10,truck-stops,939 N Route 49,Casey,IL,62420,217-932-9205,,Independent 24-hour fuel and convenience travel center at I-70 Exit 129 (IL-49) in Casey with diesel lanes and driver showers.,I-70,129,yes,,yes,,yes,,,,
Pilot Travel Center #1174,truck-stops,104 W Trefz Dr,Marshall,IL,62441,217-826-1060,https://locations.pilotflyingj.com/us/il/marshall/104-w-trefz-dr,"24-hour Pilot Travel Center at I-70 Exit 147 (IL-1) in Marshall with fuel lanes, reservable showers, laundry, and a Taco Bell.",I-70,147,yes,yes,yes,yes,yes,,,yes,
Road Ranger Travel Center,truck-stops,2003 Illinois Hwy 1,Marshall,IL,62441,,https://www.roadrangerusa.com/node/245,"24-hour Road Ranger travel center at I-70 Exit 147 in Marshall with diesel lanes, showers, and multiple quick-serve food options.",I-70,147,yes,yes,yes,,yes,,,,
Marshall Weigh Station (I-70 Westbound),weigh-stations,,Marshall,IL,,,,"Illinois DOT truck weigh/inspection station on I-70 westbound near Marshall, around mile marker 151-152 east of IL-1.",I-70,,,,,,,,,,
Flying J Travel Center #643,truck-stops,1701 W Evergreen Ave,Effingham,IL,62401,217-347-7161,https://pilotflyingj.com/stores/643,"Full-service 24-hour Flying J truck stop at the I-57/I-70 junction in Effingham with fuel lanes, showers, and an on-site CAT Scale.",I-70,160,yes,yes,yes,,yes,,yes,yes,
TA Effingham (TravelCenters of America #035),truck-stops,1702 W Evergreen Ave,Effingham,IL,62401,217-347-7183,https://www.ta-petro.com/location/il/ta-effingham/,"TravelCenters of America full-service truck stop at I-57/I-70 Exit 160 offering fuel, dining, showers, and truck repair.",I-70,160,yes,yes,yes,,yes,yes,,yes,
Love's Travel Stop & Speedco #915,tire-repair,1704 W Evergreen Ave,Effingham,IL,62401,217-342-6935,https://www.loves.com/locations/il/effingham/loves-speedco-effingham-915,"Love's Speedco truck service center in the Effingham I-57/I-70 fuel cluster providing tire, lube, and preventive maintenance for semis.",I-70,160,,,yes,,,yes,,,
CAT Scale at Flying J #643,cat-scales,1701 W Evergreen Ave,Effingham,IL,62401,,https://catscale.com,"Certified CAT Scale for weighing loaded trucks, located at the Flying J Travel Center at I-57/I-70 Exit 160 in Effingham.",I-70,160,,,,,,,yes,,
