name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Oakley (TravelCenters of America),truck-stops,Oakley,KS,ta-oakley-travelcenters-of-america-oakley-ks,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Oakley,cat-scales,Oakley,KS,cat-scale-at-ta-oakley-oakley-ks,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
JJ Travel Stop (J-J Oil Co),truck-stops,Oakley,KS,jj-travel-stop-j-j-oil-co-oakley-ks,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mitten Truck Repair Service,roadside-service,Oakley,KS,mitten-truck-repair-service-oakley-ks,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Pilot Travel Center #920,truck-stops,Colby,KS,pilot-travel-center-920-colby-ks,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Travel Center Colby,cat-scales,Colby,KS,cat-scale-at-pilot-travel-center-colby-colby-ks,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
24/7 Travel Store - Goodland,truck-stops,Goodland,KS,24-7-travel-store-goodland-goodland-ks,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kanorado Weigh Station (KHP Scale 46),weigh-stations,Kanorado,KS,kanorado-weigh-station-khp-scale-46-kanorado-ks,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Petro Stopping Center Salina,truck-stops,Salina,KS,petro-stopping-center-salina-salina-ks,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #659,truck-stops,Salina,KS,flying-j-travel-center-659-salina-ks,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #903,truck-stops,Salina,KS,pilot-travel-center-903-salina-ks,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
24/7 Travel Store Russell,truck-stops,Russell,KS,24-7-travel-store-russell-russell-ks,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
