name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
AC&T Big Pool (Exxon),truck-stops,11079 Big Pool Rd,Big Pool,MD,21711,301-842-3289,,"Independent AC&T Exxon fuel stop just off I-70 Exit 12 near Clear Spring, with 24-hour diesel, bulk DEF, a deli and truck parking.",I-70,12,,yes,yes,,yes,,,,
Pilot Travel Center #150,truck-stops,11633 Greencastle Pike,Hagerstown,MD,21740,301-582-9004,,"Full-service Pilot travel center directly off I-70 Exit 24 (US-63) on the northwest side of Hagerstown, with diesel lanes, showers, a CAT scale, and quick-service restaurants.",I-70,24,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot Travel Center #150,cat-scales,11633 Greencastle Pike,Hagerstown,MD,21740,301-582-9004,,Certified CAT truck scale at the Pilot Travel Center off I-70 Exit 24 in Hagerstown.,I-70,24,,,,,,,yes,,
Pilot Travel Center #179,truck-stops,16921 Halfway Blvd,Hagerstown,MD,21740,301-582-6111,https://locations.pilotflyingj.com/us/md/hagerstown/16921-halfway-blvd,"Pilot travel center on Halfway Blvd at the I-70/I-81 interchange in Hagerstown, offering diesel lanes, showers, a CAT scale and truck parking.",I-70,,yes,yes,yes,yes,yes,,yes,yes,
South Mountain Welcome Center (I-70 Westbound),parking,,Myersville,MD,,,https://www.visitfrederick.org/listing/south-mountain-welcome-center-at-i-70-westbound/3137/,"State welcome center and rest area on westbound I-70 over South Mountain near Myersville, offering restrooms and truck parking.",I-70,,,,,,yes,,,,
South Mountain Welcome Center (I-70 Eastbound),parking,,Myersville,MD,,,https://www.visitmaryland.org/listing/visitor-centers/south-mountain-i-70-east-welcome-center,"State welcome center and rest area on eastbound I-70 over South Mountain near Myersville, with restrooms and truck parking that was recently expanded.",I-70,,,,,,yes,,,,
New Market Weigh & Inspection Facility,weigh-stations,,New Market,MD,21774,301-865-3601,,Maryland State Police truck weigh and inspection facility on eastbound I-70 east of MD-75 in Frederick County; trucks may park here when the station is closed.,I-70,,,,,,,,,,
I-70 Eastbound Truck Rest Area (Mount Airy area),parking,,Mount Airy,MD,,,,MDOT SHA truck-only rest area on eastbound I-70 in Frederick County near Bill Moxley Road (Mount Airy area) providing overnight parking for large trucks.,I-70,,,,,,,,,,
Service Tire Truck Center (STTC) - Frederick,tire-repair,4510 Metropolitan Court,Frederick,MD,21701,301-696-0669,https://www.sttc.com/locations/maryland-sttc/frederick/,"Commercial truck tire dealer and 24-hour road service center in Frederick serving the I-70 corridor with tire sales, retreads, and emergency roadside repair.",I-70,,,,,,,yes,,,
"Butler Tire Service, Inc.",tire-repair,6813 Plantation Road,Frederick,MD,21701,301-663-1343,https://www.butlertireservice.com/,"Frederick tire shop offering 24/7 commercial roadside assistance, truck and trailer repair, and towing covering the I-70 Frederick, Middletown, and Mount Airy area.",I-70,,,,,,,yes,,,
Derek's Towing & Recovery,roadside-service,,New Market,MD,,240-457-7774,https://www.derekstowing.com/,"New Market based 24-hour heavy-duty towing and roadside assistance service that covers I-70 plus Routes 40, 144, and 75 in Frederick County.",I-70,,,,,,,yes,,,
