name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #940,truck-stops,Oak Grove,MO,love-s-travel-stop-940-oak-grove-mo,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Speedco (at Love's #940) Oak Grove,tire-repair,Oak Grove,MO,speedco-at-love-s-940-oak-grove-oak-grove-mo,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Petro Stopping Center Oak Grove,truck-stops,Oak Grove,MO,petro-stopping-center-oak-grove-oak-grove-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Odessa BP Truck Stop,truck-stops,Odessa,MO,odessa-bp-truck-stop-odessa-mo,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #443,truck-stops,Higginsville,MO,pilot-travel-center-443-higginsville-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Concordia #018,truck-stops,Concordia,MO,ta-concordia-018-concordia-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Concordia,cat-scales,Concordia,MO,cat-scale-at-ta-concordia-concordia-mo,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Pilot Travel Center #44,truck-stops,Boonville,MO,pilot-travel-center-44-boonville-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #347,truck-stops,Boonville,MO,love-s-travel-stop-347-boonville-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Petro Kingdom City,truck-stops,Kingdom City,MO,petro-kingdom-city-kingdom-city-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Westland Travel Center,truck-stops,Kingdom City,MO,westland-travel-center-kingdom-city-mo,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Quality Truck Washes - Kingdom City,truck-washes,Kingdom City,MO,quality-truck-washes-kingdom-city-kingdom-city-mo,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Love's Travel Stop #788,truck-stops,New Florence,MO,love-s-travel-stop-788-new-florence-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Speedco at Love's Travel Stop #788,tire-repair,New Florence,MO,speedco-at-love-s-travel-stop-788-new-florence-mo,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Website; Verified date; Approved reviews
Flying J Travel Center #674,truck-stops,Warrenton,MO,flying-j-travel-center-674-warrenton-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Warrenton,cat-scales,Warrenton,MO,cat-scale-at-flying-j-warrenton-warrenton-mo,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Website; Verified date; Approved reviews
Midway Travel Plaza,truck-stops,Midway,MO,midway-travel-plaza-midway-mo,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Break Time,parking,Columbia,MO,break-time-columbia-mo,,45,Needs work,needs-geocoding,,import-unpublished,"completeness 45, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TravelCenters of America - Foristell (TA St. Louis West),truck-stops,Foristell,MO,travelcenters-of-america-foristell-ta-st-louis-west-foristell-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mr. Fuel Travel Center (Pilot Flying J dealer),truck-stops,Foristell,MO,mr-fuel-travel-center-pilot-flying-j-dealer-foristell-mo,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
QuikTrip #608,truck-stops,St. Peters,MO,quiktrip-608-st-peters-mo,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Foristell Weigh Station / MSHP Scale House,weigh-stations,Foristell,MO,foristell-weigh-station-mshp-scale-house-foristell-mo,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
