name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #940,truck-stops,301 SE 4th St,Oak Grove,MO,64075,,https://www.loves.com/locations/940,Love's travel stop at I-70 Exit 28 in Oak Grove with a co-located Speedco service bay.,I-70,28,yes,yes,yes,,yes,yes,,yes,
Speedco (at Love's #940) Oak Grove,tire-repair,301 SE 4th St,Oak Grove,MO,64075,816-690-8717,,Speedco lube and tire service bay co-located with Love's at I-70 Exit 28 in Oak Grove.,I-70,28,,,,,,yes,,,
Petro Stopping Center Oak Grove,truck-stops,301 SW 1st St,Oak Grove,MO,64075,816-690-4455,https://www.ta-petro.com/location/mo/petro-oak-grove/,Petro (TravelCenters of America) full-service truck stop at I-70 Exit 28 in Oak Grove with truck and tire repair.,I-70,28,yes,yes,yes,yes,yes,yes,yes,yes,
Odessa BP Truck Stop,truck-stops,414 Old Hwy 40,Odessa,MO,64076,,,Independent BP fuel stop off I-70 Exit 37 in Odessa offering truck parking and a store/deli.,I-70,37,,yes,yes,,yes,,,,
Pilot Travel Center #443,truck-stops,6676 S Hwy 13,Higginsville,MO,64037,660-584-8484,https://locations.pilotflyingj.com/us/mo/higginsville/6676-mo-13,"Pilot travel center at I-70 Exit 49 in Higginsville with showers, restaurants, and a CAT scale.",I-70,49,yes,yes,yes,yes,yes,,yes,yes,
TA Concordia #018,truck-stops,102 NW 4th St,Concordia,MO,64020,660-463-2001,https://www.ta-petro.com/location/mo/ta-concordia/,"TravelCenters of America full-service truck stop at I-70 Exit 58 in Concordia with restaurant, showers, and repair.",I-70,58,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at TA Concordia,cat-scales,102 NW 4th St,Concordia,MO,64020,660-463-2001,,Certified CAT Scale located at the TA travel center off I-70 Exit 58 in Concordia.,I-70,58,,,,,,,yes,,
Pilot Travel Center #44,truck-stops,1701 W Ashley Rd,Boonville,MO,65233,660-882-9120,https://locations.pilotflyingj.com/us/mo/boonville/1701-w-ashley-rd,"Pilot travel center at I-70 Exit 101 in Boonville with showers, fast food, and a CAT scale.",I-70,101,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop #347,truck-stops,2501 W Ashley Rd,Boonville,MO,65233,660-882-7770,https://www.loves.com/locations/347,Love's travel stop at I-70 Exit 101 in Boonville with a co-located Hardee's.,I-70,101,yes,yes,yes,,yes,,,yes,
Petro Kingdom City,truck-stops,3304 Gold Road,Kingdom City,MO,65262,573-642-0676,https://www.ta-petro.com/location/mo/petro-kingdom-city/,"Large Petro/TA travel center at the I-70/US-54 interchange with an Iron Skillet restaurant, TA Truck Service bays, and a CAT scale.",I-70,148,yes,yes,yes,yes,yes,yes,yes,yes,
Westland Travel Center,truck-stops,3296 Gold Avenue,Kingdom City,MO,65262,573-592-9000,,"Independent 24-hour travel center at Exit 148 with a Subway, convenience store, CAT scale, and an on-site truck wash.",I-70,148,yes,yes,yes,yes,yes,,yes,,
Quality Truck Washes - Kingdom City,truck-washes,3290 Gold Road,Kingdom City,MO,65262,573-642-1212,https://truckwashes.com/locations/kingdom-city/,24/7 commercial truck and trailer wash at the I-70/US-54 Kingdom City interchange.,I-70,148,,,,,,,,,
Love's Travel Stop #788,truck-stops,482 Tree Farm Road,New Florence,MO,63363,573-835-3100,https://www.loves.com/locations/788,"Love's travel stop at Exit 175 (MO-19) with an Arby's, roughly 89 truck parking spaces, and an on-site Speedco.",I-70,175,yes,yes,yes,,yes,yes,,yes,
Speedco at Love's Travel Stop #788,tire-repair,482 Tree Farm Road,New Florence,MO,63363,,,"On-site Speedco offering tire service, oil changes, and light mechanical work at the New Florence Love's.",I-70,175,,,,,,yes,,,
Flying J Travel Center #674,truck-stops,1 Campbranch Road,Warrenton,MO,63383,636-456-2001,https://locations.pilotflyingj.com/us/mo/warrenton/1-campbranch-rd,"24-hour Flying J travel center at Exit 188 with a Denny's, laundry, showers, EV charging, and a CAT scale.",I-70,188,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Flying J Warrenton,cat-scales,1 Campbranch Road,Warrenton,MO,63383,,,Certified CAT scale located at the Flying J Travel Center at Exit 188.,I-70,188,,,,,,,yes,,
Midway Travel Plaza,truck-stops,6401 West Highway 40,Midway,MO,65202,573-445-9466,,"Long-standing independent truck stop and travel plaza at Exit 121 west of Columbia with fuel, a restaurant, showers, and service bays.",I-70,121,yes,yes,yes,,yes,yes,,,
Break Time,parking,,Columbia,MO,,,,Break Time convenience store and fuel stop at the I-70/US-63 interchange with limited truck parking and diesel lanes.,I-70,128A,,yes,yes,,yes,,,,
