name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #940,truck-stops,301 SE 4th St,Oak Grove,MO,64075,,https://www.loves.com/locations/940,Love's travel stop at I-70 Exit 28 in Oak Grove with a co-located Speedco service bay.,I-70,28,yes,yes,yes,,yes,yes,,yes,
Speedco (at Love's #940) Oak Grove,tire-repair,301 SE 4th St,Oak Grove,MO,64075,816-690-8717,,Speedco lube and tire service bay co-located with Love's at I-70 Exit 28 in Oak Grove.,I-70,28,,,,,,yes,,,
Petro Stopping Center Oak Grove,truck-stops,301 SW 1st St,Oak Grove,MO,64075,816-690-4455,https://www.ta-petro.com/location/mo/petro-oak-grove/,Petro (TravelCenters of America) full-service truck stop at I-70 Exit 28 in Oak Grove with truck and tire repair.,I-70,28,yes,yes,yes,yes,yes,yes,yes,yes,
Odessa BP Truck Stop,truck-stops,414 Old Hwy 40,Odessa,MO,64076,,,Independent BP fuel stop off I-70 Exit 37 in Odessa offering truck parking and a store/deli.,I-70,37,,yes,yes,,yes,,,,
Pilot Travel Center #443,truck-stops,6676 S Hwy 13,Higginsville,MO,64037,660-584-8484,https://locations.pilotflyingj.com/us/mo/higginsville/6676-mo-13,"Pilot travel center at I-70 Exit 49 in Higginsville with showers, restaurants, and a CAT scale.",I-70,49,yes,yes,yes,yes,yes,,yes,yes,
TA Concordia #018,truck-stops,102 NW 4th St,Concordia,MO,64020,660-463-2001,https://www.ta-petro.com/location/mo/ta-concordia/,"TravelCenters of America full-service truck stop at I-70 Exit 58 in Concordia with restaurant, showers, and repair.",I-70,58,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at TA Concordia,cat-scales,102 NW 4th St,Concordia,MO,64020,660-463-2001,,Certified CAT Scale located at the TA travel center off I-70 Exit 58 in Concordia.,I-70,58,,,,,,,yes,,
Pilot Travel Center #44,truck-stops,1701 W Ashley Rd,Boonville,MO,65233,660-882-9120,https://locations.pilotflyingj.com/us/mo/boonville/1701-w-ashley-rd,"Pilot travel center at I-70 Exit 101 in Boonville with showers, fast food, and a CAT scale.",I-70,101,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop #347,truck-stops,2501 W Ashley Rd,Boonville,MO,65233,660-882-7770,https://www.loves.com/locations/347,Love's travel stop at I-70 Exit 101 in Boonville with a co-located Hardee's.,I-70,101,yes,yes,yes,,yes,,,yes,
Petro Kingdom City,truck-stops,3304 Gold Road,Kingdom City,MO,65262,573-642-0676,https://www.ta-petro.com/location/mo/petro-kingdom-city/,"Large Petro/TA travel center at the I-70/US-54 interchange with an Iron Skillet restaurant, TA Truck Service bays, and a CAT scale.",I-70,148,yes,yes,yes,yes,yes,yes,yes,yes,
