name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Petro Stopping Center New Paris #357,truck-stops,9787 US Route 40 W,New Paris,OH,45347,937-437-8593,https://www.ta-petro.com/location/oh/petro-new-paris/,"Full-service Petro truck stop just inside Ohio at the Indiana line, reached via the US-40 interchange (Indiana Exit 156B), with an Iron Skillet restaurant, showers, laundry, fuel, and truck repair.",I-70,,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at Petro New Paris,cat-scales,9787 US Route 40 W,New Paris,OH,45347,,,Certified CAT Scale located on-site at the Petro New Paris truck stop near the Ohio-Indiana line.,I-70,,,,,,,,yes,,
Petro New Paris Truck Wash,truck-washes,9787 US Route 40 W,New Paris,OH,45347,937-437-8593,https://www.ta-petro.com/location/oh/petro-new-paris/,On-site truck and trailer wash at the Petro New Paris travel center off I-70 at the Indiana line.,I-70,,,,,,,,,,
New Paris Food Mart,truck-stops,9592 US Route 40 W,New Paris,OH,,,,"Independent 24-hour fuel and food mart on US-40 near the I-70 Indiana-line interchange offering truck parking, deli, and showers.",I-70,,yes,yes,yes,,yes,,,,
Weigh Station I-70 Eastbound (Ohio Entry),weigh-stations,,New Paris,OH,45347,,,Ohio DOT eastbound weigh station just inside the state line near New Paris where I-70 enters Ohio from Indiana.,I-70,,,,,,,,,,
Speedway Brookville,truck-stops,799 Arlington Rd,Brookville,OH,45309,,,"Speedway fuel stop and travel center at I-70 Exit 21 in Brookville with a certified CAT scale, deli, and 24-hour convenience store.",I-70,21,,yes,yes,,yes,,yes,yes,
Speedway Huber Heights,truck-stops,8134 Old Troy Pike,Huber Heights,OH,45424,937-233-1320,https://www.speedway.com/locations/OH/Huber-Heights/8134-Troy-Pike,24-hour Speedway with diesel and truck parking at I-70 Exit 36 (OH-202/Old Troy Pike) in the Dayton-north corridor.,I-70,36,,yes,yes,,yes,,,,
Love's Travel Stop #605,truck-stops,1725 Ridge Rd,Springfield,OH,45502,937-325-2961,https://www.loves.com/locations/oh/springfield/loves-travel-stop-springfield-605,"Love's Travel Stop at I-70 Exit 59 in Springfield with roughly 112 truck spaces, showers, Subway and Wendy's, a tire care center, and CAT scale.",I-70,59,yes,yes,yes,,yes,yes,yes,yes,
CAT Scale at Love's #605 Springfield,cat-scales,1725 Ridge Rd,Springfield,OH,45502,,,Certified CAT Scale on-site at the Love's Travel Stop at I-70 Exit 59 in Springfield.,I-70,59,,,,,,,yes,,
TA London #24,truck-stops,940 US Highway 42 NE,London,OH,43140,740-852-3810,https://www.ta-petro.com/location/oh/ta-london/,"A full-service TravelCenters of America truck stop at the I-70/US-42 exit on the southwest approach to Columbus, with a Country Pride restaurant, showers, laundry and a truck service shop.",I-70,79,yes,yes,yes,yes,yes,yes,yes,yes,
Love's Travel Stop #969,truck-stops,540 Timmons Way,West Jefferson,OH,43162,614-379-9312,https://www.loves.com/locations/oh/west-jefferson/loves-travel-stop-west-jefferson-969,"A Love's travel stop that opened in June 2025 along I-70 west of Columbus, with truck parking, diesel service bays, a Hardee's and a CAT scale.",I-70,,yes,yes,yes,,yes,yes,yes,yes,
Pilot Travel Center #213,truck-stops,3600 Interchange Rd,Columbus,OH,43204,614-308-9195,https://locations.pilotflyingj.com/us/oh/columbus/3600-interchange-rd,"A 24-hour Pilot travel center on the west side of Columbus at the I-70 Wilson Road exit, with showers, a Wendy's, laundry and a CAT scale.",I-70,94,yes,yes,yes,yes,yes,,yes,yes,
Love's Travel Stop #892,truck-stops,9901 Schuster Way,Etna,OH,43018,740-963-7134,https://www.loves.com/locations/oh/etna/loves-travel-stop-etna-892,"A Love's travel stop at the I-70 Etna/Pataskala (OH-310) exit on the east side of the Columbus metro, with truck parking, showers, a Hardee's and a CAT scale.",I-70,118,yes,yes,yes,,yes,,yes,yes,
Flying J Travel Center #699,truck-stops,10480 Baltimore Rd,Millersport,OH,43046,740-964-9601,https://locations.pilotflyingj.com/us/oh/millersport/10480-baltimore-rd-sw,"Full-service Flying J travel plaza at the I-70 Kirkersville/OH-158 exit with a Denny's, truck fueling lanes, showers, laundry and CAT scale.",I-70,122,yes,yes,yes,yes,yes,,yes,yes,
