name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
24/7 Travel Store,truck-stops,,Washington,PA,,,,"Independent 24/7 Travel Store truck stop at I-70 Exit 17 (PA-18/Jefferson Ave) in Washington with 24-hour diesel, showers, and certified scales.",I-70,17,yes,yes,yes,yes,yes,,,yes,
Pennsylvania Welcome Center (I-70 East),parking,,Claysville,PA,15323,724-663-5248,,"PennDOT welcome center and rest area on I-70 eastbound at mile marker 5 near Claysville with restrooms, vending, and truck parking, open 24 hours.",I-70,,,,,,yes,,,,yes
I-70 Eastbound Weigh Station (Claysville),weigh-stations,,Claysville,PA,,,,"PennDOT truck weigh station on I-70 eastbound in Washington County near the West Virginia line, adjacent to the eastbound welcome center.",I-70,,,,,,,,,,
Pilot Travel Center #348,truck-stops,205 Wilson Rd,Bentleyville,PA,15314,724-239-5855,https://locations.pilotflyingj.com/us/pa/bentleyville/205-wilson-rd,"Full-service Pilot travel center at I-70 Exit 32B in Bentleyville with diesel fuel, showers, a CAT scale, and a truck wash.",I-70,32B,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot Travel Center #348,cat-scales,205 Wilson Rd,Bentleyville,PA,15314,724-239-5855,,Certified CAT Scale for weighing trucks located at the Pilot Travel Center at I-70 Exit 32B in Bentleyville.,I-70,32B,,,,,,,yes,,
Flying J Travel Center #620,truck-stops,122 Fitz Henry Rd,Smithton,PA,15479,724-872-4050,https://locations.pilotflyingj.com/us/pa/smithton/122-fitz-henry-rd,"Flying J travel plaza at I-70 Exit 49 in Smithton offering diesel, showers, a CAT scale, a Denny's, and truck and tire repair.",I-70,49,yes,yes,yes,yes,yes,yes,yes,yes,
Somerset Travel Center (Roady's),truck-stops,318 Laurel Crest Dr,Somerset,PA,15501,814-443-1663,,"Travel center and truck-repair facility off the I-70/I-76 Turnpike Exit 110 at Somerset offering fuel, 24-hour road service, truck and trailer repairs, and tires.",I-70,110,,,yes,,yes,yes,,yes,
North Midway Service Plaza,truck-stops,,Bedford,PA,,,https://www.paturnpike.com/traveling/service-plazas/north-midway,"Pennsylvania Turnpike service plaza on the I-70/I-76 concurrency near milepost 147.3 by Bedford, with Sunoco fuel, diesel, truck parking, and food options.",I-70,,,yes,yes,,yes,,,,
South Midway Service Plaza,truck-stops,,Bedford,PA,,,https://www.paturnpike.com/traveling/service-plazas/south-midway,"Pennsylvania Turnpike service plaza on the I-70/I-76 concurrency near milepost 147.3, offering Sunoco fuel, diesel, truck parking, and food.",I-70,,,yes,yes,,yes,,,,
TA Breezewood (TravelCenters of America #075),truck-stops,16567 Lincoln Hwy,Breezewood,PA,15533,814-735-2011,https://www.ta-petro.com/location/pa/ta-breezewood/,"Full-service TravelCenters of America truck stop at the I-70/I-76 Exit 161 interchange in Breezewood with extensive truck parking, fuel lanes, showers, a CAT Scale, and truck service bays.",I-70,161,yes,yes,yes,,yes,yes,yes,yes,
Gateway Travel Plaza,truck-stops,16563 Lincoln Hwy,Breezewood,PA,15533,814-735-4011,,"Long-running 24-hour Breezewood travel plaza on the US-30/I-70 corridor offering fuel, a family restaurant and food court, showers, laundry, and a truck service center.",I-70,,yes,yes,yes,yes,yes,yes,,,
Pilot Travel Center Breezewood,truck-stops,,Breezewood,PA,15533,,https://locations.pilotflyingj.com/us/pa/breezewood,"Pilot Travel Center on Post House Road in the Breezewood cluster near the I-70/I-76 interchange, with fuel, showers, and a CAT Scale for trucks.",I-70,,yes,yes,yes,yes,yes,,yes,yes,
Mega Truck Stop (former Flying J),truck-stops,167 Post House Rd,Breezewood,PA,15533,814-735-4076,,"Independent truck stop on Post House Road in Breezewood, a former Flying J, offering diesel fuel, showers, laundry, and a CAT Scale.",I-70,,yes,,yes,yes,yes,,yes,,
