Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
Palmetto Truck Plaza,Truck Stops,9101 W Okeechobee Rd,Hialeah Gardens,FL,33016,,,786-644-1999,,"Full-service truck plaza at US-27 (Okeechobee Rd) and SR-826 (Palmetto Expressway), near the southern terminus of I-75. Gated 24-hour lot with diesel fuel, showers, laundry, convenience store/deli, Cuban restaurant, CAT scale, and truck service bays.",,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,I-75,,yes,no
"CAT Scale — Palmetto Truck Plaza, Hialeah Gardens",CAT Scales,9101 W Okeechobee Rd,Hialeah Gardens,FL,33016,,,786-644-1999,,"CAT Scale at Palmetto Truck Plaza (US-27 / SR-826), near the southern terminus of I-75.",,,,,,,,,,,,yes,,,,,,I-75,,yes,no
National Truck Parking Miami,Truck Parking,15545 NW 122nd Ave,Hialeah Gardens,FL,33018,,,305-819-1981,https://nationaltruckparking.com/locations/truck-parking-in-miami-fl/,"Large (reported ~51-acre) secured truck and trailer parking facility in Hialeah Gardens with a fully fenced perimeter, lighting, CCTV surveillance and security patrols; 24-hour access. Operator advertises quick access to I-75, I-95 and the Palmetto Expressway, near the southern end of I-75.",,,yes,yes,yes,,,,,,,,,yes,,,,I-75,,yes,no
Florida Secure Self-Storage — Pembroke Pines,Truck Parking,19701 Sheridan St,Pembroke Pines,FL,,,,,https://www.floridasecurestorage.com/,"Secure storage facility at 19701 Sheridan St, near the US-27 / I-75 (Sheridan St, Exit 11) area in West Pembroke Pines, offering covered and uncovered enclosed parking for cars, trucks and trailers.",,,yes,yes,,,,,,,,,,yes,,,,I-75,,no,no
Miccosukee Service Plaza,Truck Stops,47801 W State Road 84,Ochopee,FL,34141,,,954-217-9942,https://miccosukee.com/service-plaza/,"The only fuel/service plaza on Alligator Alley (I-75) crossing the Everglades, on the Miccosukee Reservation at approximately I-75 Exit 49. Open 24 hours with 24-hour diesel, bulk DEF, convenience store/deli, gift shop, Glades Cafe and Dunkin', showers, WiFi, ATM, and a lighted, paved lot with 18-wheeler and RV parking. This is the last/first services for the ~50+ mile stretch of I-75 with no other stops between Naples and the Fort Lauderdale end.",,,,,yes,yes,yes,yes,,yes,,,yes,,,,,I-75,49,yes,no
"Collier County Rest Area (Alligator Alley, Milepost 63)",Truck Parking,,Alligator Alley,FL,,,,,,"FDOT rest area on I-75/Alligator Alley in Collier County at approximately milepost 63, roughly 37 miles east of the Naples toll plaza. The facility sits on the south side of the toll road and is accessible from both northbound and southbound directions, with restrooms, roofed picnic tables and parking used by truck drivers to rest.",,yes,,,,,,,,yes,,,,,,,,I-75,,yes,no
"Performance Truck Tire, Inc.",Tire Repair,4035 23rd Ave SW,Naples,FL,34116,,,239-427-0762,https://www.performancetrucktire.com/,"Commercial truck and equipment tire dealer/service in Naples serving the I-75 corridor. Offers new commercial and agricultural tires, tire sales, 24-hour tire repair, roadside assistance, and wheel alignment. Authorized dealer for Michelin, Bridgestone and Cooper commercial tires.",,,,,,,,,,,yes,,,,,,,I-75,,yes,no
Naples Truck and Tire,Tire Repair,3884 Prospect Ave,Naples,FL,34104,,,239-682-8565,,"Full-service truck and tire shop in Naples near I-75 (listed at Exit 105), open 24 hours, 7 days a week. Services include truck repair, tire repair, tire sales, wheel alignment, rotation/balancing, and 24-hour road service.",,,,,,,,,,,yes,,,,,,,I-75,105,yes,no
"After Hours Road Service, Inc.",Roadside Service,,Naples,FL,,,,239-417-2980,https://afterhoursroadservice.com/,"Family-owned/operated 24/7 mobile roadside assistance and towing based in Naples, serving the I-75 corridor for over 30 years. Services include tire repair and replacement, mechanical breakdowns, fuel delivery, jump starts, lock-outs, load swaps, winch-outs, trailer maintenance and towing.",,,,,,,,,,,yes,,,,,,,I-75,,yes,no
Pilot Travel Center #352,Truck Stops,6050 Plaza Dr,Fort Myers,FL,33905,,,(239) 693-6868,https://locations.pilotflyingj.com/us/fl/fort-myers/6050-plaza-dr,"24-hour Pilot Travel Center at I-75 Exit 139 (Luckett Rd), Fort Myers. About 80 truck parking spaces (15 reserved, 15 paid), 7 fuel lanes, 6 showers, CAT Scale, DEF, WiFi, ATM, propane, and 24-hour convenience store.",80,,yes,yes,yes,yes,,yes,,yes,,yes,yes,,,,,I-75,139,yes,no
