Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
America's Truck Stop,Truck Stops,2100 Jonesboro Rd SE,Atlanta,GA,30315,,,,https://www.americastruckstop.com/,"Independent truck parking facility off the I-75/85 Downtown Connector in Atlanta with paid overnight parking, showers, and laundry.",,,yes,,yes,yes,,,yes,,,,,yes,,,,I-75,,no,no
Pilot Travel Center #267,Truck Stops,2965 Highway 247C,Byron,GA,,,,478-956-5316,https://locations.pilotflyingj.com/us/ga/byron/2965-highway-247c,"Pilot Travel Center with Arby's, 11 showers and CAT scales at I-75 Exit 146 in Byron.",150,,,,,yes,yes,yes,yes,,,yes,yes,,,,,I-75,146,yes,no
Love's Travel Stop #735,Truck Stops,1081 Belwood Rd SE,Calhoun,GA,30701,,,706-624-8193,https://www.loves.com/locations/ga/calhoun/loves-travel-stop-calhoun-735,"Love's Travel Stop at I-75 exit 310 (Union Grove Road) near Calhoun with diesel, showers, and truck parking.",93,,,,,yes,yes,yes,,,yes,,,,,,,I-75,310,yes,no
Pilot Travel Center #4558,Truck Stops,2111 US Highway 41 NE,Calhoun,GA,30701,,,706-625-4368,https://locations.pilotflyingj.com/us/ga/calhoun/2111-us-highway-41-ne,"Pilot travel center at I-75 exit 318 in Calhoun with diesel lanes, showers, laundry, and truck parking.",84,,yes,yes,,yes,yes,yes,yes,,,yes,yes,,,,,I-75,318,yes,no
JP Truck Center,Truck Stops,2320 Hwy 411 NE,Cartersville,GA,30121,,,678-972-7675,,"Independent 24-hour Marathon-branded truck stop at I-75 exit 293 in Cartersville with diesel, CAT scale, and truck parking.",50,,,,,,yes,yes,,,,yes,,,,,,I-75,293,no,no
Pilot Travel Center #67,Truck Stops,968 Cassville White Rd,Cartersville,GA,30120,,,770-607-7835,https://locations.pilotflyingj.com/us/ga/cartersville/968-cassville-white-rd,"Pilot travel center at I-75 exit 296 in Cartersville with diesel lanes, showers, laundry, and truck parking.",78,,yes,yes,,yes,yes,yes,yes,yes,,yes,yes,,,,,I-75,296,yes,no
TA Cartersville #146,Truck Stops,981 Cassville-White Rd,Cartersville,GA,30121,,,770-607-8885,https://www.ta-petro.com/location/ga/ta-cartersville/,"TravelCenters of America full-service travel center at I-75 exit 296 in Cartersville with diesel, showers, restaurants, and truck repair.",212,,yes,yes,,yes,yes,yes,yes,yes,yes,yes,,,,,,I-75,296,yes,no
Love's Travel Stop #801,Truck Stops,1525 E 8th Ave,Cordele,GA,31015,,,229-947-6205,https://www.loves.com/locations/ga/cordele/loves-travel-stop-cordele-801,Love's Travel Stop with three truck service bays and an adjacent Love's RV Stop at I-75 Exit 102 in Cordele.,92,yes,no,no,,yes,,yes,,,yes,,,,,,,I-75,102,yes,no
Pilot Travel Center #416,Truck Stops,2201 16th Ave E,Cordele,GA,31015,,,229-271-5775,https://locations.pilotflyingj.com/us/ga/cordele/2201-16th-ave-e,"Pilot Travel Center with 10 showers, laundry and deli at I-75 Exit 101 in Cordele.",67,,yes,yes,,yes,yes,yes,yes,,,,,,,,,I-75,101,yes,no
ONE9 Travel Center #319,Truck Stops,243 Connector 3 SW,Dalton,GA,30720,,,706-277-7934,https://locations.pilotflyingj.com/us/ga/dalton/243-connector-3-sw,"ONE9 (Pilot network) travel center at I-75 exit 328 in Dalton with 24-hour diesel, showers, and truck parking.",100,,yes,yes,,yes,yes,yes,,,,yes,yes,,,,,I-75,328,yes,no
