Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
"CAT Scale — Adel Truck Plaza, Adel",CAT Scales,1503 W 4th St,Adel,GA,31620,,,229-896-7453,,Certified CAT Scale located at the independent Adel Truck Plaza off I-75 Exit 39 in Adel.,,,,,,yes,yes,yes,yes,,yes,yes,,,,,,I-75,39,yes,no
"CAT Scale — Pilot Travel Center #267, Byron",CAT Scales,2965 Hwy 247C,Byron,GA,31008,,,478-956-5316,,Certified CAT Scale located at the Pilot Travel Center off I-75 Exit 146 in Byron.,150,,,,,yes,yes,yes,yes,,,yes,,,,,,I-75,146,yes,no
"CAT Scale — Love's Travel Stop #735, Calhoun",CAT Scales,1081 Belwood Rd SE,Calhoun,GA,30701,,,706-624-8193,,Certified CAT Scale located at the Love's Travel Stop off I-75 Exit 310 in Calhoun.,,,,,,,,,,,,yes,,,,,,I-75,310,yes,no
"CAT Scale — Pilot Travel Center #4558, Calhoun",CAT Scales,2111 US Highway 41 NE,Calhoun,GA,30701,,,706-625-4368,https://locations.pilotflyingj.com/us/ga/calhoun/2111-us-highway-41-ne,Certified CAT Scale located at the Pilot Travel Center off I-75 Exit 318 in Calhoun.,,,,,,yes,yes,yes,,yes,,yes,,,,,,I-75,318,yes,no
"CAT Scale — Pilot Travel Center #67, Cartersville",CAT Scales,968 Cassville-White Rd,Cartersville,GA,30120,,,770-607-7835,https://locations.pilotflyingj.com/us/ga/cartersville/968-cassville-white-rd,Certified CAT Scale located at the Pilot Travel Center off I-75 Exit 296 in Cartersville.,100,,,,,yes,yes,yes,yes,,,yes,yes,,,,,I-75,296,yes,no
CAT Scale — TA Cartersville,CAT Scales,981 Cassville-White Rd,Cartersville,GA,30121,,,770-607-8885,https://www.ta-petro.com/location/ga/ta-cartersville/,Certified CAT Scale located at the TA Cartersville travel center off I-75 Exit 296.,212,,,,,,,,,,,yes,,,,,,I-75,296,yes,no
"CAT Scale — Pilot Travel Center #416, Cordele",CAT Scales,2201 E 16th Ave,Cordele,GA,,,,229-271-5775,,Certified CAT Scale located at the Pilot Travel Center off I-75 Exit 101 in Cordele.,,,,,,yes,yes,yes,yes,,,yes,,,,,,I-75,101,yes,no
"CAT Scale — Pilot Travel Center #319, Dalton",CAT Scales,243 Connector 3 SW,Dalton,GA,30720,,,706-277-7934,,Certified CAT Scale located at the Pilot Travel Center off I-75 Exit 328 in Dalton.,100,,,,,yes,,yes,,,,yes,,,,,,I-75,328,yes,no
"CAT Scale — Flying J Travel Center #630, Jackson",CAT Scales,1125 Bucksnort Rd,Jackson,GA,30233,,,770-775-0138,https://locations.pilotflyingj.com/us/ga/jackson/1125-bucksnort-rd,Certified CAT Scale located at the Flying J Travel Center off I-75 Exit 201 in Jackson.,220,,yes,yes,,yes,,yes,yes,,,yes,yes,,,,,I-75,201,yes,no
"CAT Scale — Flying J Travel Center #631, Lake Park",CAT Scales,7001 Bellville Rd,Lake Park,GA,31636,,,229-559-6500,https://locations.pilotflyingj.com/us/ga/lake-park/7001-bellville-rd,Certified CAT Scale located at the Flying J Travel Center off I-75 Exit 2 in Lake Park.,210,,,,,yes,,yes,,,,yes,,,,,,I-75,2,yes,no
