name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Travel Center - Monroe #069,truck-stops,Monroe,MI,ta-travel-center-monroe-069-monroe-mi,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #24 - Monroe,truck-stops,Monroe,MI,pilot-travel-center-24-monroe-monroe-mi,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #284 - Monroe,truck-stops,Monroe,MI,pilot-travel-center-284-monroe-monroe-mi,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #645,truck-stops,Monroe,MI,love-s-travel-stop-645-monroe-mi,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #895 - Woodhaven,truck-stops,Woodhaven,MI,flying-j-travel-center-895-woodhaven-woodhaven-mi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Truck-space count; TPC reservation link; Verified date; Approved reviews
"CAT Scale — TA Monroe, Monroe",cat-scales,Monroe,MI,cat-scale-ta-monroe-monroe-monroe-mi,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #24, Monroe",cat-scales,Monroe,MI,cat-scale-pilot-travel-center-24-monroe-monroe-mi,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #284, Monroe",cat-scales,Monroe,MI,cat-scale-pilot-travel-center-284-monroe-monroe-mi,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Love's Travel Stop #645, Frenchtown (Monroe)",cat-scales,Frenchtown,MI,cat-scale-love-s-travel-stop-645-frenchtown-monroe-frenchtown-mi,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Flying J #895, Woodhaven",cat-scales,Woodhaven,MI,cat-scale-flying-j-895-woodhaven-woodhaven-mi,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Southern Tire Mart at Pilot - Woodhaven,tire-repair,Woodhaven,MI,southern-tire-mart-at-pilot-woodhaven-woodhaven-mi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
TA Truck Service - Monroe,roadside-service,Monroe,MI,ta-truck-service-monroe-monroe-mi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pilot Flying J Truck Care - Woodhaven,roadside-service,Woodhaven,MI,pilot-flying-j-truck-care-woodhaven-woodhaven-mi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Monroe Truck & RV Wash,truck-washes,Monroe,MI,monroe-truck-rv-wash-monroe-mi,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
Baymont by Wyndham Monroe,hotels-truck-parking,Monroe,MI,baymont-by-wyndham-monroe-monroe-mi,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Truck-space count; TPC reservation link; Verified date; Approved reviews
