Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
"BP Truck Stop (I-75 Exit 47A, Detroit)",Truck Stops,,Detroit,MI,,,,,,Directory-listed BP truck stop with limited truck parking near I-75 Exit 47A in Detroit. Existence and I-75 association plausible but current status and exact address unconfirmed.,,,,,,,,,,,,,,,,,,I-75,,no,no
Truck Parking Club - Auburn Hills,Truck Parking,,Auburn Hills,MI,,,,,https://truckparkingclub.com/us/michigan/auburn-hills,Truck Parking Club advertises bookable truck/trailer parking and drop lots in Auburn Hills near the I-75 corridor. Specific lot street address could not be retrieved (site blocked to fetch).,,,yes,yes,,,,,,,,,,,https://truckparkingclub.com/us/michigan/auburn-hills,,,I-75,,no,no
Truck Parking Club - Madison Heights,Truck Parking,,Madison Heights,MI,,,,,https://truckparkingclub.com/us/michigan/madison-heights,Truck Parking Club advertises bookable truck/trailer parking and drop lots in Madison Heights near the I-75 corridor. Specific lot street address could not be retrieved (site blocked to fetch).,,,yes,yes,,,,,,,,,,,https://truckparkingclub.com/us/michigan/madison-heights,,,I-75,,no,no
Love's Travel Stop #743,Truck Stops,6560 Dixie Hwy,Bridgeport,MI,48722,,,(989) 746-9561,https://www.loves.com/locations/mi/bridgeport/loves-travel-stop-bridgeport-743,"24-hour Love's Travel Stop at I-75 Exit 144 (Bridgeport, serving the Birch Run/Frankenmuth area). 102 truck parking spaces, 7 showers, CAT Scale, laundry, on-site Hardee's, DEF, and Love's Truck Care/Speedco (oil change, tires, light mechanical, roadside).",102,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-75,144,yes,no
TA Saginaw #198 (Bridgeport),Truck Stops,6364 Dixie Hwy,Bridgeport,MI,48722,,,989-777-7650,https://www.ta-petro.com/location/mi/ta-saginaw/,"TravelCenters of America (TA Saginaw) at I-75 Exit 144 in Bridgeport. 24-hour Amoco diesel, CAT Scale, 70 truck parking spaces, 4 showers, Country Pride restaurant, laundry, WiFi, 2 truck service bays, tire repair, DOT inspections.",70,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-75,144,yes,no
Speedway #8723,Truck Stops,6595 Dixie Hwy,Bridgeport,MI,48722,,,(989) 777-8425,https://www.speedway.com/locations/mi/bridgeport/6595-dixie-highway-44467,"24-hour Speedway fuel/truck stop at I-75 Exit 144A, Bridgeport. Approximately 25 truck parking spaces, 5 diesel lanes, bulk DEF, 24/7 convenience store and ATM.",25,,,,,,,yes,,,,,,,,,,I-75,144A,yes,no
Beacon & Bridge Market - Mt Morris,Truck Stops,4181 W Mount Morris Rd,Mount Morris,MI,48458,,,(810) 687-4810,,"24-hour independent travel center at I-75 Exit 126 (Mt Morris, north of Flint). Offers 24-hour diesel, 7 fuel lanes, 2 showers, CAT Scale, convenience store/deli, A&W fast food, trucker lounge, WiFi, tire service, and patrolled/lighted truck parking.",,,,,,yes,yes,yes,,yes,yes,yes,yes,yes,,,,I-75,126,yes,no
BP Fuel Stop - Mt Morris,Truck Stops,4313 W Mount Morris Rd,Mount Morris,MI,48458,,,,,"BP-branded truck stop at I-75 Exit 126, Mt Morris. Listed with about 15 truck parking spaces, deli/restaurant, trucker lounge, and ATM.",15,,,,,,yes,yes,,,,,,,,,,I-75,126,yes,no
Birch Run Express Travel Center,Truck Stops,8830 Main St,Birch Run,MI,48415,,,(989) 624-5671,,"24-hour independent travel center at I-75 Exit 136, Birch Run. Small-format truck stop with about 7 truck parking spaces, 2 fuel lanes, 2 showers, deli, and ATM.",7,,,,,yes,yes,yes,,yes,,,,,,,,I-75,136,yes,no
Conlee Travel Center - Birch Run,Truck Stops,9180 E Birch Run Rd,Birch Run,MI,48415,,,(989) 624-5941,https://www.conleeoil.com/index.php/about-us/locations,"24-hour Conlee Oil travel center at I-75 Exit 136, Birch Run. About 5 truck parking spaces, 3 fuel lanes, 24-hour diesel.",5,,,,,,,yes,,,,,,,,,,I-75,136,yes,no
Conlee Travel Center - Clio,Truck Stops,4514 W Vienna Rd,Clio,MI,48420,,,(810) 687-6230,https://www.conleeoil.com/index.php/about-us/locations,"24-hour Conlee Oil travel center at I-75 Exit 131, Clio. 3 fuel lanes, 24-hour diesel, convenience store, fast food, ATM, lighted paved lot.",,,,,,,yes,yes,,,,,,,,,,I-75,131,yes,no
Alex's Market & Grill,Truck Stops,6410 Grange Hall Rd,Holly,MI,,,,(248) 634-6100,https://alexsmarketandgrill.com/,"24-hour fuel stop and grill at I-75 Exit 101 (Grange Hall Rd, Holly). About 20 parking spaces, 24-hour diesel, convenience store, fast food/grill, WiFi, and restrooms.",20,,,,,,yes,yes,,yes,,,yes,,,,,I-75,101,yes,no
East Holly Truck Stop,Truck Stops,8435 E Holly Rd,Holly,MI,,,,,,"Independent truck stop at I-75 Exit 98 (E Holly Rd, Holly). Directory-listed with deli, restaurant, and ATM.",,,,,,,yes,,,,,,,,,,,I-75,98,yes,no
