Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
TA Travel Center - Monroe #069,Truck Stops,1255 N Dixie Hwy,Monroe,MI,48162,,,734-384-7952,https://www.ta-petro.com/location/mi/ta-monroe/,"TravelCenters of America full-service travel center at I-75 Exit 15. 156 truck parking spaces, 10 showers, CAT scale, 3-bay truck service shop, and on-site restaurants (Tim Hortons, Popeyes, Fazoli's). Open 24 hours; BP-branded diesel.",156,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-75,15,yes,no
Pilot Travel Center #24 - Monroe,Truck Stops,1100 N Dixie Hwy,Monroe,MI,48162,,,734-242-9650,https://locations.pilotflyingj.com/us/mi/monroe/1100-n-dixie-hwy,"Pilot Travel Center at I-75 Exit 15. 16 truck parking spaces, 3 showers, CAT scale, public laundry, Subway, DEF lanes, premium WiFi. Open 24 hours.",16,yes,,,yes,yes,yes,yes,yes,yes,,yes,yes,,,,,I-75,15,yes,no
Pilot Travel Center #284 - Monroe,Truck Stops,1200 Nadeau Rd,Monroe,MI,48161,,,734-457-3500,https://locations.pilotflyingj.com/us/mi/monroe/1200-nadeau-rd,"Pilot Travel Center at I-75 Exit 18. 60 truck parking spaces, 5 showers, CAT scale, DEF lanes, fast food, EV charging. Open 24 hours.",60,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,,,,,I-75,18,yes,no
Love's Travel Stop #645,Truck Stops,1609 Nadeau Rd,Monroe,MI,48162,,,734-289-4111,https://www.loves.com/locations/645,"Love's Travel Stop at I-75 Exit 18. 100 truck parking spaces, 6 showers, CAT scale, DEF, Hardee's and Subway. Open 24 hours. Located in Frenchtown Township, Monroe.",100,yes,,,yes,yes,yes,yes,,yes,,yes,yes,,,,,I-75,18,yes,no
Flying J Travel Center #895 - Woodhaven,Truck Stops,21055 West Rd,Woodhaven,MI,48183,,,734-675-0222,https://locations.pilotflyingj.com/us/mi/woodhaven/21055-west-rd,"Pilot Flying J travel center at I-75 Exit 32 (West Rd). Showers, CAT scale, public laundry, 24-hour restaurant, truck service center, on-site tire shop (Southern Tire Mart), barber, game room, DEF lanes. Open 24 hours.",,yes,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-75,32,yes,no
"CAT Scale — TA Monroe, Monroe",CAT Scales,1255 N Dixie Hwy,Monroe,MI,48162,,,734-384-7952,,"CAT Scale at the TA Travel Center, I-75 Exit 15.",,,,,,,,,,,,yes,,,,,,I-75,15,yes,no
"CAT Scale — Pilot Travel Center #24, Monroe",CAT Scales,1100 N Dixie Hwy,Monroe,MI,48162,,,734-242-9650,,"CAT Scale at Pilot Travel Center #24, I-75 Exit 15.",,,,,,,,,,,,yes,,,,,,I-75,15,yes,no
"CAT Scale — Pilot Travel Center #284, Monroe",CAT Scales,1200 Nadeau Rd,Monroe,MI,48162,,,(734) 457-3500,https://locations.pilotflyingj.com/us/mi/monroe/1200-nadeau-rd,"CAT Scale at Pilot Travel Center #284, I-75 Exit 18 (Nadeau Rd) in Monroe. Full travel center with diesel, showers, and truck parking.",60,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,,I-75,18,yes,no
"CAT Scale — Love's Travel Stop #645, Frenchtown (Monroe)",CAT Scales,1609 Nadeau Rd,Frenchtown,MI,48161,,,(734) 289-4111,https://www.loves.com/locations/mi/frenchtown/loves-travel-stop-frenchtown-645,"CAT Scale at Love's Travel Stop #645, I-75 Exit 18 (Nadeau Rd) in the Frenchtown/Monroe area. Co-located with Love's Truck Care.",100,,,,yes,yes,yes,yes,,yes,yes,yes,,,,,,I-75,18,yes,no
"CAT Scale — Flying J #895, Woodhaven",CAT Scales,21055 West Rd,Woodhaven,MI,48183,,,734-675-0222,,"CAT Scale at the Pilot Flying J travel center, I-75 Exit 32.",,,,,,,,,,,,yes,,,,,,I-75,32,yes,no
Southern Tire Mart at Pilot - Woodhaven,Tire Repair,21055 West Rd,Woodhaven,MI,48183,,,734-304-5400,https://locations.stmtires.com/mi/woodhaven/21055-west-road-i-75-exit-32,"Commercial truck tire shop inside the Pilot Flying J at I-75 Exit 32. On-site service, 24/7 emergency roadside tire service, tire mounting and repair, light mechanical, alignment.",,,,,,,,,,,yes,,,,,,,I-75,32,yes,no
TA Truck Service - Monroe,Roadside Service,1255 N Dixie Hwy,Monroe,MI,48162,,,734-384-7952,https://www.ta-petro.com/location/mi/ta-monroe/,"Heavy-duty truck service shop at TA Monroe, I-75 Exit 15. 3 service bays; 24-hour truck repair and maintenance.",,,,,,,,,,,yes,,,,,,,I-75,15,yes,no
Pilot Flying J Truck Care - Woodhaven,Roadside Service,21055 West Rd,Woodhaven,MI,48183,,,734-675-0222,https://locations.pilotflyingj.com/us/mi/woodhaven/21055-west-rd,"Truck Care service center at the Pilot Flying J, I-75 Exit 32. Truck/trailer repair, mobile mechanic, brake service, 24-hour towing; 5 service bays.",,,,,,,,,,,yes,,,,,,,I-75,32,yes,no
Monroe Truck & RV Wash,Truck Washes,1840 Frenchtown Center Dr,Monroe,MI,48162,,,734-289-4000,https://www.monroetruckandrvwash.com/,"Truck and RV wash near I-75 in Monroe (Frenchtown Township). Hand wash (brush and mitts), aluminum polishing, and wash-outs for tractors and trailers.",,,,,,,,,,,,,,,,,,I-75,,yes,no
Baymont by Wyndham Monroe,Hotels with Truck Parking,14774 LaPlaisance Rd,Monroe,MI,48161,,,,https://www.wyndhamhotels.com/baymont/monroe-michigan/baymont-inn-and-suites-monroe/overview,"Wyndham hotel at I-75 Exit 11 (LaPlaisance Rd) advertising free parking for buses, trucks, and RVs. Free WiFi, free breakfast, indoor pool, pet friendly.",,yes,,,yes,,,,,,,,yes,,,,,I-75,11,yes,no
Truck Parking Club - 1290 N Monroe St (Monroe),Truck Parking,1290 N Monroe St,Monroe,MI,48162,,,,https://truckparkingclub.com/truck-parking/michigan/monroe/1290-n-monroe-st-48162,"Reservable paved truck/trailer parking lot listed on Truck Parking Club, 24/7 access, approximately 4 miles from I-75 Exit 18 in Monroe.",,,yes,yes,yes,,,,,,,,,,https://truckparkingclub.com/truck-parking/michigan/monroe/1290-n-monroe-st-48162,,,I-75,18,yes,no
TruckParkingClub - Taylor (24420 Pennsylvania Rd),Truck Parking,24420 Pennsylvania Rd,Taylor,MI,48180,,,,,Reservable truck and trailer parking listed on TruckParkingClub near the I-75 / I-94 / I-275 interchange in Taylor. Fenced lot with lighting and camera surveillance; 24/7 access.,,,yes,yes,yes,,,,,,,,,yes,https://truckparkingclub.com/truck-parking/michigan/taylor/24420-pennsylvania-road-48180,,,I-75,,yes,no
"Weigh Station — I-75 Northbound, Luna Pier",Weigh Stations,,Luna Pier,MI,48157,,,,,Michigan State Police / MDOT commercial vehicle weigh and inspection station on I-75 northbound near mile marker 7 in Monroe County (Luna Pier / Erie). Port-of-entry style inspection facility; ~15 public parking spaces.,,,,,,,,,,,,,,,,,,I-75,,no,no
"Weigh Station — I-75 Southbound, Monroe/Erie",Weigh Stations,,Erie,MI,,,,734-848-5715,,"Michigan State Police / MDOT commercial vehicle weigh and inspection station on I-75 southbound near mile marker 8 in Monroe County (Erie / Luna Pier), just north of the Ohio state line.",,,,,,,,,,,,,,,,,,I-75,,no,no
Motor City Truck Plaza,Truck Stops,377 S Schaefer Hwy,Detroit,MI,48217,,,313-554-1899,,"Independent 24-hour truck stop in southwest Detroit at I-75 Exit 43 (Schaefer Hwy). Marathon-branded diesel fuel, driver showers, deli/fast food, ATM, truck and tire repair, and WiFi. Reported truck parking capacity varies by directory (roughly 10-30 spaces).",,,,,yes,yes,yes,yes,,yes,yes,,yes,,,,,I-75,43,yes,no
Fuel Mart of America,Truck Stops,335 S Schaefer Hwy,Detroit,MI,48217,,,313-842-8500,,"BP-branded fuel mart / small truck stop in southwest Detroit at I-75 Exit 43 (Schaefer Hwy), adjacent to Motor City Truck Plaza. Offers 24-hour diesel fueling, convenience store/deli, ATM, and WiFi with limited truck parking.",,,,,,,,yes,,,,,yes,,,,,I-75,43,yes,no
"Michigan Weigh Station - I-75 Northbound (Oakland County, Baldwin Rd)",Weigh Stations,,Auburn Hills,MI,,,,,,"Michigan State Police commercial vehicle weigh/inspection station on I-75 northbound in Oakland County, located roughly one mile northwest of Baldwin Road in the Pontiac/Auburn Hills area. One of 14 MSP weigh stations statewide.",,,,,,,,,,,,,,,,,,I-75,,no,no
Diesel Down LLC,Roadside Service,,Auburn Hills,MI,,,,248-818-0669,,"Mobile 24/7 semi-truck and trailer repair service based in the Auburn Hills/Pontiac area serving the I-75 corridor. Services include DOT inspections, mechanical/electrical, brakes, suspension, hydraulics, AC/reefer, welding and fleet maintenance. No after-hours fee.",,,,,,,,,,,yes,,,,,,,I-75,,yes,no
