name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
"CAT Scale — Anna Truck Stop, Anna",cat-scales,Anna,OH,cat-scale-anna-truck-stop-anna-anna-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
"CAT Scale — Flying J Travel Center #695, Beaverdam",cat-scales,Beaverdam,OH,cat-scale-flying-j-travel-center-695-beaverdam-beaverdam-oh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #457, Beaverdam",cat-scales,Beaverdam,OH,cat-scale-pilot-travel-center-457-beaverdam-beaverdam-oh,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Phone; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #360, Findlay",cat-scales,Findlay,OH,cat-scale-pilot-travel-center-360-findlay-findlay-oh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Speedway, Findlay",cat-scales,Findlay,OH,cat-scale-speedway-findlay-findlay-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #9, Franklin",cat-scales,Franklin,OH,cat-scale-pilot-travel-center-9-franklin-franklin-oh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #231, Monroe",cat-scales,Monroe,OH,cat-scale-pilot-travel-center-231-monroe-monroe-oh,,51,Needs work,needs-geocoding,,import-unpublished,"completeness 51, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Verified date; Approved reviews
"CAT Scale — Love's Travel Stop #356, North Baltimore",cat-scales,North Baltimore,OH,cat-scale-love-s-travel-stop-356-north-baltimore-north-baltimore-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
"CAT Scale — Petro Stopping Center #325, North Baltimore",cat-scales,North Baltimore,OH,cat-scale-petro-stopping-center-325-north-baltimore-north-baltimore-oh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Flying J Travel Center #700, Perrysburg",cat-scales,Perrysburg,OH,cat-scale-flying-j-travel-center-700-perrysburg-perrysburg-oh,,75,Good,needs-geocoding,,ready-to-publish,completeness 75 with address,ZIP; Verified coordinates; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #24, Sharonville",cat-scales,Sharonville,OH,cat-scale-pilot-travel-center-24-sharonville-sharonville-oh,,51,Needs work,needs-geocoding,,import-unpublished,"completeness 51, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Verified date; Approved reviews
"CAT Scale — Love's Travel Stop #747, Sidney",cat-scales,Sidney,OH,cat-scale-love-s-travel-stop-747-sidney-sidney-oh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #15, Toledo",cat-scales,Toledo,OH,cat-scale-pilot-travel-center-15-toledo-toledo-oh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
"CAT Scale — Flying J Travel Center #97, Vandalia",cat-scales,Vandalia,OH,cat-scale-flying-j-travel-center-97-vandalia-vandalia-oh,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Phone; Verified date; Approved reviews
"CAT Scale — TA Wapakoneta #082, Wapakoneta",cat-scales,Wapakoneta,OH,cat-scale-ta-wapakoneta-082-wapakoneta-wapakoneta-oh,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Phone; Verified date; Approved reviews
"CAT Scale — Pilot Travel Center #284, West Chester",cat-scales,West Chester,OH,cat-scale-pilot-travel-center-284-west-chester-west-chester-oh,,51,Needs work,needs-geocoding,,import-unpublished,"completeness 51, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Verified date; Approved reviews
Holiday Inn Express & Suites Findlay North,hotels-truck-parking,Findlay,OH,holiday-inn-express-suites-findlay-north-findlay-oh,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Truck-space count; TPC reservation link; Verified date; Approved reviews
Red Roof Inn Findlay,hotels-truck-parking,Findlay,OH,red-roof-inn-findlay-findlay-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Truck-space count; TPC reservation link; Verified date; Approved reviews
Holiday Inn Express & Suites Monroe (Cincinnati North),hotels-truck-parking,Monroe,OH,holiday-inn-express-suites-monroe-cincinnati-north-monroe-oh,,66,Good,needs-geocoding,,ready-to-publish,completeness 66 with address,Verified coordinates; Phone; Truck-space count; TPC reservation link; Verified date; Approved reviews
Super 8 by Wyndham Sidney,hotels-truck-parking,Sidney,OH,super-8-by-wyndham-sidney-sidney-oh,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,ZIP; Verified coordinates; Phone; Truck-space count; TPC reservation link; Verified date; Approved reviews
Motel 6 Toledo,hotels-truck-parking,Toledo,OH,motel-6-toledo-toledo-oh,,60,Needs work,needs-geocoding,,import-unpublished,completeness 60 — enrich before publishing,Exit number; Verified coordinates; Phone; Truck-space count; TPC reservation link; Verified date; Approved reviews
"Englewood Truck (SW Ohio Towing, Recovery & Mobile Truck Repair)",roadside-service,Englewood,OH,englewood-truck-sw-ohio-towing-recovery-mobile-truck-repair-englewood-oh,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Ed's 24 Hour Service,roadside-service,Findlay,OH,ed-s-24-hour-service-findlay-oh,,48,Needs work,needs-geocoding,,import-unpublished,"completeness 48, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Verified date; Approved reviews
"North Dixie Truck & Trailer, Inc.",roadside-service,Lima,OH,north-dixie-truck-trailer-inc-lima-oh,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,Exit number; Verified coordinates; Phone; Verified date; Approved reviews
Alpha Dawg Diesel Truck & Trailer Repair,roadside-service,Monroe,OH,alpha-dawg-diesel-truck-trailer-repair-monroe-oh,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
"TA Truck Service - Petro #325, North Baltimore",roadside-service,North Baltimore,OH,ta-truck-service-petro-325-north-baltimore-north-baltimore-oh,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Phone; Verified date; Approved reviews
JAM Best-One Fleet Service,roadside-service,Northwood,OH,jam-best-one-fleet-service-northwood-oh,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Wayne Truck & Trailer (Sidney),roadside-service,Sidney,OH,wayne-truck-trailer-sidney-sidney-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
"TA Truck Service - TA Wapakoneta #082, Wapakoneta",roadside-service,Wapakoneta,OH,ta-truck-service-ta-wapakoneta-082-wapakoneta-wapakoneta-oh,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Phone; Verified date; Approved reviews
"Speedco - Love's Travel Stop #905, Beaverdam",tire-repair,Beaverdam,OH,speedco-love-s-travel-stop-905-beaverdam-beaverdam-oh,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Hamilton Truck and Tire Service,tire-repair,Cincinnati,OH,hamilton-truck-and-tire-service-cincinnati-oh,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Best-One Tire and Service of Mid America,tire-repair,Dayton,OH,best-one-tire-and-service-of-mid-america-dayton-oh,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Love's Truck Tire Care - Dayton (S. Edwin C. Moses Blvd),tire-repair,Dayton,OH,love-s-truck-tire-care-dayton-s-edwin-c-moses-blvd-dayton-oh,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,ZIP; Verified coordinates; Phone; Verified date; Approved reviews
Best-One Tire & Service of Lima,tire-repair,Lima,OH,best-one-tire-service-of-lima-lima-oh,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,Exit number; Verified coordinates; Phone; Verified date; Approved reviews
"Speedco - Love's Travel Stop #747, Sidney",tire-repair,Sidney,OH,speedco-love-s-travel-stop-747-sidney-sidney-oh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Shrader Tire & Oil — North Toledo Truck Tire Center,tire-repair,Toledo,OH,shrader-tire-oil-north-toledo-truck-tire-center-toledo-oh,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Ziegler Tire,tire-repair,Toledo,OH,ziegler-tire-toledo-oh,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Verified date; Approved reviews
Ziegler Tire,tire-repair,Walbridge,OH,ziegler-tire-walbridge-oh,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Truck Parking Club - 3928 Glenway Ave (Cincinnati),parking,Cincinnati,OH,truck-parking-club-3928-glenway-ave-cincinnati-cincinnati-oh,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Phone; Truck-space count; Verified date; Approved reviews
Truck Parking Club - 415 W Seymour Ave (Cincinnati),parking,Cincinnati,OH,truck-parking-club-415-w-seymour-ave-cincinnati-cincinnati-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Phone; Truck-space count; Verified date; Approved reviews
"Truck Parking Club - 737 W 6th St (Cincinnati, bobtail/box only)",parking,Cincinnati,OH,truck-parking-club-737-w-6th-st-cincinnati-bobtail-box-only-cincinnati-oh,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Phone; Truck-space count; Verified date; Approved reviews
"Truck Parking Club - 215 Basswood Ave (Dayton, bobtail/box)",parking,Dayton,OH,truck-parking-club-215-basswood-ave-dayton-bobtail-box-dayton-oh,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Phone; Truck-space count; Verified date; Approved reviews
Truck Parking Club - 3100 Transportation Rd / Heavy Haul Transport (Dayton),parking,Dayton,OH,truck-parking-club-3100-transportation-rd-heavy-haul-transport-dayton-dayton-oh,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Phone; Truck-space count; Verified date; Approved reviews
Truck Parking Club - 3350 Stop 8 Rd (Dayton),parking,Dayton,OH,truck-parking-club-3350-stop-8-rd-dayton-dayton-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Phone; Truck-space count; Verified date; Approved reviews
