Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
I-75 Rest Area — Northbound (Miami County),Truck Parking,I-75 Northbound near mile marker 80,Piqua,OH,,,,,https://www.transportation.ohio.gov,"ODOT-operated I-75 northbound rest area in Miami County (near Piqua), rebuilt and reopened November 2025 with modernized restrooms and expanded truck parking. Northbound facility reported at 77 car and 29 truck spaces.",29,yes,,,,,,,,yes,,,,,,,,I-75,,no,no
I-75 Rest Area — Southbound (Miami County),Truck Parking,I-75 Southbound near mile marker 81,Piqua,OH,,,,,https://www.transportation.ohio.gov,"ODOT-operated I-75 southbound rest area in Miami County (near Piqua), rebuilt and reopened November 2025 with modernized restrooms and additional truck parking.",,yes,,,,,,,,yes,,,,,,,,I-75,,no,no
My Parking Hub - Toledo (Sam's Hub Access),Truck Parking,,Toledo,OH,,,,,https://myparkinghub.com/,"Independent monthly truck & trailer parking in Toledo advertised as gated, lit and secured near I-75 and the Ohio Turnpike, from about $90/space per month.",,,yes,yes,yes,,,,,,,,,yes,,,,I-75,,no,no
Toledo Truck Hub,Truck Parking,,Toledo,OH,,,,,http://toledotruckhub.com/,"Independent secure truck/trailer parking and outdoor storage near I-75 in Toledo for semis, trailers, box trucks and fleet vehicles.",,,yes,,yes,,,,,,,,,yes,,,,I-75,,no,no
Truck Parking Club - 1333 Matzinger Rd / Ironhorn Enterprises (Toledo),Truck Parking,1333 Matzinger Rd,Toledo,OH,43612,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/1333-matzinger-rd-43612,Reservable truck & trailer parking by Ironhorn Enterprises in north Toledo (43612) via Truck Parking Club.,,,yes,yes,,,,,,,,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/1333-matzinger-rd-43612,,,I-75,,no,no
Truck Parking Club - 435 Dura Ave (Toledo),Truck Parking,435 Dura Ave,Toledo,OH,43612,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/435-dura-ave-43612,Reservable truck & trailer parking in north Toledo (43612 cluster near I-75 Exits 204–210) via Truck Parking Club.,,,yes,yes,,,,,,,,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/435-dura-ave-43612,,,I-75,,no,no
Truck Parking Club - 5430 Stickney Ave (Toledo),Truck Parking,5430 Stickney Ave,Toledo,OH,43612,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/5430-stickney-ave-43612,Reservable truck & trailer parking in north Toledo (43612) via Truck Parking Club.,,,yes,yes,,,,,,,,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/5430-stickney-ave-43612,,,I-75,,no,no
Truck Parking Club - 6180 Benore Rd (Toledo),Truck Parking,6180 Benore Rd,Toledo,OH,43612,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/6180-benore-rd-43612,Paved reservable truck & trailer lot ~1 mile from I-75 Exit 210 per the Toledo listing set. Reservable via Truck Parking Club.,,,yes,yes,yes,,,,,,,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/6180-benore-rd-43612,,,I-75,210,no,no
Truck Parking Club - 6180 Hagman Rd (Toledo),Truck Parking,6180 Hagman Rd,Toledo,OH,43612,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/6180-hagman-rd-43612,Reservable truck & trailer parking in north Toledo (43612) via Truck Parking Club.,,,yes,yes,,,,,,,,,,,https://truckparkingclub.com/truck-parking/ohio/toledo/6180-hagman-rd-43612,,,I-75,,no,no
Pilot Travel Center #24,Truck Stops,,(I-75 Exit 15 area),OH,,,,,,"Directory listing ""Pilot Travel Center #24 | I-75 Exit 15"" appears in truckstopsandservices for the Sharonville/Glendale (Exit 15, Sharon Rd) area, but no current street address, phone, or confirmation of continued operation could be verified from any independent source.",,,,,,,,,,,,,,,,,,I-75,15,no,no
