Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
Petro Knoxville,Truck Stops,722 Watt Rd,Knoxville,TN,37934,,,865-693-6542,https://www.ta-petro.com/location/tn/petro-knoxville/,Petro Stopping Center (#312) on Watt Road at the I-40/I-75 concurrency with an Iron Skillet restaurant and a five-bay truck service shop.,250,,yes,yes,,yes,yes,yes,yes,,yes,yes,,,,,,I-75,369,yes,no
Pilot Travel Center #187,Truck Stops,100 Merchants Rd,Knoxville,TN,37912,,,865-689-4690,,Pilot travel center at the Merchants Drive exit of I-75 on the north side of Knoxville with diesel lanes and DEF.,,,,,yes,,,yes,,,,,,,,,,I-75,108,no,no
Speedway #7156 (Lovell Road),Truck Stops,617 Lovell Rd,Knoxville,TN,37932,,,,,Speedway fuel stop with diesel and a convenience store on Lovell Road in west Knoxville.,,,,,,,yes,yes,,yes,,,,,,,,,,no,no
TA Knoxville West,Truck Stops,615 Watt Rd,Knoxville,TN,37922,,,865-531-7676,https://www.ta-petro.com/location/tn/ta-knoxville-west/,TravelCenters of America location (TA #269) on Watt Road at the I-40/I-75 concurrency in west Knoxville with multiple fast-food outlets and truck service.,176,,,,,yes,yes,yes,yes,,yes,yes,,,,,,I-75,369,yes,no
Love's Travel Stop #480,Truck Stops,9155 Highway 321 N,Lenoir City,TN,37771,,,865-988-3668,https://www.loves.com/locations/tn/lenoir-city/loves-travel-stop-lenoir-city-480,Love's travel stop in Lenoir City with McDonald's and Subway restaurants and a Love's Truck Tire Care center.,95,,,,,yes,yes,yes,,yes,yes,yes,yes,,,,,,,no,no
Love's Travel Stop #861,Truck Stops,222 Elizabeth Lee Pkwy,Loudon,TN,37774,,,865-205-3070,https://www.loves.com/locations/tn/loudon/loves-travel-stop-loudon-861,Love's travel stop at I-75 Exit 72 in Loudon with an Arby's and an on-site Speedco truck service shop.,102,,,,,yes,yes,yes,yes,,yes,yes,yes,,,,,I-75,72,yes,no
Pilot Travel Center #481,Truck Stops,281 Pleasant Grove Road SW,McDonald,TN,37353,,,(423) 476-3892,https://locations.pilotflyingj.com/us/tn/mcdonald/281-pleasant-grove-road-sw,"Pilot travel center at I-75 exit 20 with diesel lanes, showers, CAT scale and fast food including McDonald's and Subway.",80,yes,yes,yes,,yes,yes,yes,yes,,,yes,yes,,,,,I-75,20,yes,no
Crazy Ed's Travel Center,Truck Stops,547 Highway 309,Niota,TN,37826,,,(423) 568-2529,,"Independent travel center at I-75 exit 56 in Niota with diesel, a restaurant, showers, a store and repair service.",,,,,,yes,yes,yes,,,yes,,,,,,,I-75,56,no,no
Pilot Travel Center #4598,Truck Stops,507 Hwy 309,Niota,TN,37826,,,(423) 568-3500,https://locations.pilotflyingj.com/us/tn/niota/507-hwy-309,"Pilot travel center at I-75 exit 56 in Niota with diesel lanes, showers, a CAT scale and a Wendy's.",80,,,,,yes,yes,yes,,,,yes,yes,,,,,I-75,56,yes,no
Pilot Travel Center #1577,Truck Stops,106 Comfort Ln,Pioneer,TN,37847,,,423-562-8483,https://locations.pilotflyingj.com/us/tn/pioneer/106-comfort-ln,Newer Pilot travel center at I-75 Exit 141 in Pioneer with a Subway and deli.,,,,,,yes,yes,yes,,,,yes,,,,,,I-75,141,yes,no
