name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Vaca Valley Travel Center,truck-stops,Vacaville,CA,vaca-valley-travel-center-vacaville-ca,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Cordelia Truck Scales (Commercial Vehicle Enforcement Facility),weigh-stations,Suisun City,CA,cordelia-truck-scales-commercial-vehicle-enforcement-facility-suisun-city-ca,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Hunter Hill Rest Area (Westbound),parking,Vallejo,CA,hunter-hill-rest-area-westbound-vallejo-ca,,36,Incomplete,needs-geocoding,,import-unpublished,"completeness 36, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
North Bay Truck Center,tire-repair,Fairfield,CA,north-bay-truck-center-fairfield-ca,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
A & T Road Service,roadside-service,Fairfield,CA,a-t-road-service-fairfield-ca,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,Exit number; Verified coordinates; Website; Verified date; Approved reviews
Sacramento 49er Travel Plaza,truck-stops,Sacramento,CA,sacramento-49er-travel-plaza-sacramento-ca,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
West Sac Truck Stop,truck-stops,West Sacramento,CA,west-sac-truck-stop-west-sacramento-ca,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Ramos Oil Co (Shell/CFN),truck-stops,Dixon,CA,ramos-oil-co-shell-cfn-dixon-ca,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Ramos Oil Co (Dixon),cat-scales,Dixon,CA,cat-scale-at-ramos-oil-co-dixon-dixon-ca,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pacific Pride (Roseville),parking,Roseville,CA,pacific-pride-roseville-roseville-ca,,48,Needs work,needs-geocoding,,import-unpublished,completeness 48 — enrich before publishing,Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sacramento 49er Travel Plaza CAT Scale,cat-scales,Sacramento,CA,sacramento-49er-travel-plaza-cat-scale-sacramento-ca,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Maverik #654,cat-scales,West Sacramento,CA,cat-scale-at-maverik-654-west-sacramento-ca,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,Exit number; Verified coordinates; Phone; Website; Verified date; Approved reviews
Sacramento 49er Truck Wash,truck-washes,Sacramento,CA,sacramento-49er-truck-wash-sacramento-ca,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
