name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Sacramento 49er Travel Plaza,truck-stops,2828 El Centro Rd,Sacramento,CA,95833,916-927-4774,https://sacramento49er.com/,"Full-service independent travel plaza (Pilot diesel dealer #879) at the West El Camino Ave exit with 275 truck parking spaces, restaurant, showers, laundry, repair shop, truck wash and certified/CAT scale.",I-80,85,yes,yes,yes,yes,yes,yes,yes,yes,
West Sac Truck Stop,truck-stops,4790 W Capitol Ave,West Sacramento,CA,95691,916-371-0454,,"Independent ARCO-branded truck stop (Ramos Oil cardlock) just off the West Capitol Ave exit offering diesel, roughly 30 truck parking spaces, ATM, convenience store and restrooms.",I-80,81,,,yes,,yes,,,,
Ramos Oil Co (Shell/CFN),truck-stops,1900 N First St,Dixon,CA,95620,707-678-1670,https://www.ramosoil.com/company/locations/dixon-ca-north-first-street/,"24-hour Shell/CFN cardlock fuel and mini-mart at the SR-113 exit with diesel lanes, DEF, deli, certified scales and truck parking.",I-80,66,,yes,yes,,yes,,yes,,
CAT Scale at Ramos Oil Co (Dixon),cat-scales,1900 N First St,Dixon,CA,95620,707-678-1670,https://catscale.com/cat-scale-locator/,Certified CAT Scale on-site at the Ramos Oil Co Shell/CFN travel center at I-80 Exit 66 (SR-113) in Dixon — the nearest CAT Scale to the Bay Area/Vacaville corridor.,I-80,66,,,,,,,yes,,
Pacific Pride (Roseville),parking,609 Riverside Ave,Roseville,CA,95678,,,"Pacific Pride cardlock (AFI-CA934) near the Riverside Ave exit offering diesel and overnight truck parking, not a full-service truck stop.",I-80,,,,yes,,,,,,
Sacramento 49er Travel Plaza CAT Scale,cat-scales,2828 El Centro Rd,Sacramento,CA,95833,916-927-4774,https://sacramento49er.com/,Certified CAT Scale on-site at the Sacramento 49er Travel Plaza at the West El Camino Ave exit of I-80.,I-80,85,,,,,,,yes,,
CAT Scale at Maverik #654,cat-scales,3985 Lake Rd,West Sacramento,CA,95691,,,CAT Scale #3390 located at the Maverik #654 fuel station off I-80 in West Sacramento.,I-80,,,,,,,,yes,,
Sacramento 49er Truck Wash,truck-washes,2828 El Centro Rd,Sacramento,CA,95833,916-927-4774,https://sacramento49er.com/,"On-site truck and trailer wash (interior/exterior, engine wash, spray wax, detailing) at the Sacramento 49er Travel Plaza, West El Camino Ave exit.",I-80,85,,,,,yes,yes,,,
Antelope Weigh Station,weigh-stations,,Antelope,CA,,916-263-3557,,"Caltrans/CHP commercial vehicle enforcement (weigh) station on I-80 near Antelope/Sacramento at about milepost 99, serving eastbound and westbound trucks with PrePass.",I-80,,,,,,,,,,
Sacramento 49er Motel,hotels-truck-parking,2828 El Centro Rd,Sacramento,CA,95833,916-927-4774,https://sacramento49er.com/,On-site motel at the Sacramento 49er Travel Plaza with adjacent large truck parking lot at the West El Camino Ave exit of I-80.,I-80,85,,yes,yes,,yes,,,yes,
A Plus Truck Repair,roadside-service,3040 Duluth St,West Sacramento,CA,95691,916-519-3286,https://aplustruckrepair.com/,24/7 mobile semi-truck and trailer repair based in West Sacramento serving the I-80 corridor including the Antelope weigh station area.,I-80,,,,,,,yes,,,
Radial Tire Center,tire-repair,,West Sacramento,CA,,916-869-5388,https://www.radialtirecenter.com/,"24-hour commercial truck tire roadside assistance (flat repair and replacement) serving West Sacramento, Sacramento and Davis along I-80.",I-80,,,,,,,yes,,,
