name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Beck's Oil (Geneseo),truck-stops,Geneseo,IL,beck-s-oil-geneseo-geneseo-il,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #766,truck-stops,Atkinson,IL,love-s-travel-stop-766-atkinson-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Atkinson Plaza (Shell),truck-stops,Atkinson,IL,atkinson-plaza-shell-atkinson-il,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Road Ranger Travel Center #541,truck-stops,Princeton,IL,road-ranger-travel-center-541-princeton-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sapp Bros Travel Center - Peru,truck-stops,Peru,IL,sapp-bros-travel-center-peru-peru-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #644,truck-stops,La Salle,IL,flying-j-travel-center-644-la-salle-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #351,truck-stops,Utica,IL,love-s-travel-stop-351-utica-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale (Geneseo / Beck's Oil),cat-scales,Geneseo,IL,cat-scale-geneseo-beck-s-oil-geneseo-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale (Atkinson / Love's #766),cat-scales,Atkinson,IL,cat-scale-atkinson-love-s-766-atkinson-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale (Princeton / Road Ranger),cat-scales,Princeton,IL,cat-scale-princeton-road-ranger-princeton-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale (La Salle / Flying J #644),cat-scales,La Salle,IL,cat-scale-la-salle-flying-j-644-la-salle-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale (Utica / Love's #351),cat-scales,Utica,IL,cat-scale-utica-love-s-351-utica-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Diamond Truck Wash,truck-washes,Peru,IL,diamond-truck-wash-peru-il,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
Princeton Tire Service,tire-repair,Princeton,IL,princeton-tire-service-princeton-il,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Mississippi Rapids Rest Area (Welcome Center),parking,Rapids City,IL,mississippi-rapids-rest-area-welcome-center-rapids-city-il,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Great Sauk Trail Rest Area,parking,Wyanet,IL,great-sauk-trail-rest-area-wyanet-il,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-80 Weigh Station (Quad Cities),weigh-stations,East Moline,IL,i-80-weigh-station-quad-cities-east-moline-il,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Love's Travel Stop #859,truck-stops,Morris,IL,love-s-travel-stop-859-morris-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #483,truck-stops,Morris,IL,pilot-travel-center-483-morris-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Morris,truck-stops,Morris,IL,ta-morris-morris-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #236,truck-stops,Minooka,IL,pilot-travel-center-236-minooka-il,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #1024,truck-stops,Joliet,IL,pilot-travel-center-1024-joliet-il,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Chicago Southland Lincoln Oasis,truck-stops,South Holland,IL,chicago-southland-lincoln-oasis-south-holland-il,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #859 CAT Scale,cat-scales,Morris,IL,love-s-travel-stop-859-cat-scale-morris-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pilot Travel Center #483 CAT Scale,cat-scales,Morris,IL,pilot-travel-center-483-cat-scale-morris-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
TA Morris CAT Scale,cat-scales,Morris,IL,ta-morris-cat-scale-morris-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pilot Travel Center #236 CAT Scale,cat-scales,Minooka,IL,pilot-travel-center-236-cat-scale-minooka-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Joliet CAT Scale (Route 53 / Exit 132),cat-scales,Joliet,IL,joliet-cat-scale-route-53-exit-132-joliet-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Exit 90 on I-80 Truck & Trailer Wash (Lotz),truck-washes,Ottawa,IL,exit-90-on-i-80-truck-trailer-wash-lotz-ottawa-il,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Lotz Truck Shop,roadside-service,Ottawa,IL,lotz-truck-shop-ottawa-il,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Three Rivers Rest Area (Eastbound),parking,Morris,IL,three-rivers-rest-area-eastbound-morris-il,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Three Rivers Rest Area (Westbound),parking,Minooka,IL,three-rivers-rest-area-westbound-minooka-il,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Frankfort Weigh Station (Eastbound),weigh-stations,Frankfort,IL,frankfort-weigh-station-eastbound-frankfort-il,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Frankfort Weigh Station (Westbound),weigh-stations,Frankfort,IL,frankfort-weigh-station-westbound-frankfort-il,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
