name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Beck's Oil (Geneseo),truck-stops,2433 S Oakwood Ave,Geneseo,IL,61254,309-944-6040,,"Independent fuel/travel stop at I-80 Exit 19 in Geneseo offering diesel, a convenience store and deli, and a CAT Scale.",I-80,19,,yes,yes,,yes,,yes,,
Love's Travel Stop #766,truck-stops,5 S State St,Atkinson,IL,61235,309-936-1488,https://www.loves.com/locations/il/atkinson/loves-travel-stop-atkinson-766,"24-hour Love's travel center at I-80 Exit 27 with roughly 137 truck spaces, 7 showers, Subway/Chester's/Godfather's, truck service bays, laundry and a CAT Scale.",I-80,27,yes,yes,yes,yes,yes,yes,yes,yes,
Atkinson Plaza (Shell),truck-stops,,Atkinson,IL,61235,309-936-7557,,"Independent Shell-branded truck plaza at I-80 Exit 27 offering fuel, food, restrooms, showers and truck parking.",I-80,27,yes,yes,yes,,yes,,,,
Road Ranger Travel Center #541,truck-stops,2835 N Main St,Princeton,IL,61356,815-315-4951,https://www.roadrangerusa.com/node/134,"Large Road Ranger travel center at I-80 Exit 56 with about 250 truck spaces, showers, laundry, an on-site Boss Truck Shop with tire/repair service, and a CAT Scale.",I-80,56,yes,yes,yes,yes,yes,yes,yes,yes,
Sapp Bros Travel Center - Peru,truck-stops,3130 May Rd,Peru,IL,61354,815-224-1065,https://www.sappbros.net/location/sapp-bros-peru/,"24-hour Sapp Bros travel center at I-80 Exit 73 with Burger King, showers, laundry, and a full heavy-duty truck and tire service center.",I-80,73,yes,yes,yes,yes,yes,yes,,yes,
Flying J Travel Center #644,truck-stops,343 Civic Rd,La Salle,IL,61301,815-220-0611,https://locations.pilotflyingj.com/us/il/la-salle/343-civic-rd,"Flying J travel plaza at I-80 Exit 77 with roughly 186 truck spaces, 15 showers, a 24/7 Denny's, laundry and a CAT Scale.",I-80,77,yes,yes,yes,yes,yes,,yes,yes,
Love's Travel Stop #351,truck-stops,3020 E 8th Rd,Utica,IL,61373,815-667-4572,https://www.loves.com/locations/il/utica/loves-travel-stop-utica-351,"24-hour Love's travel stop at I-80 Exit 81 with showers, laundry, Subway and McDonald's, and a CAT Scale.",I-80,81,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale (Geneseo / Beck's Oil),cat-scales,2433 S Oakwood Ave,Geneseo,IL,61254,309-944-6040,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Beck's Oil truck stop off I-80 Exit 19.,I-80,19,,,,,,,yes,,
CAT Scale (Atkinson / Love's #766),cat-scales,5 S State St,Atkinson,IL,61235,309-936-1488,https://catscale.com/cat-scale-locator/,Certified CAT Scale at Love's Travel Stop #766 off I-80 Exit 27.,I-80,27,,,,,,,yes,,
CAT Scale (Princeton / Road Ranger),cat-scales,2835 N Main St,Princeton,IL,61356,815-315-4951,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Road Ranger travel center off I-80 Exit 56.,I-80,56,,,,,,,yes,,
CAT Scale (La Salle / Flying J #644),cat-scales,343 Civic Rd,La Salle,IL,61301,815-220-0611,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Flying J travel center off I-80 Exit 77.,I-80,77,,,,,,,yes,,
CAT Scale (Utica / Love's #351),cat-scales,3020 E 8th Rd,Utica,IL,61373,815-667-4572,https://catscale.com/cat-scale-locator/,Certified CAT Scale at Love's Travel Stop #351 off I-80 Exit 81.,I-80,81,,,,,,,yes,,
Diamond Truck Wash,truck-washes,3129 May Rd,Peru,IL,61354,815-220-8180,,Truck and trailer wash on May Road near I-80 Exit 73 in Peru.,I-80,73,,,,,,,,,
Princeton Tire Service,tire-repair,901 N Main St,Princeton,IL,61356,815-872-9241,,Tire dealer and medium/heavy-duty repair shop near I-80 Exit 56 offering 24-hour emergency road service.,I-80,56,,,,,,yes,,,
Mississippi Rapids Rest Area (Welcome Center),parking,,Rapids City,IL,,,https://www.illinoisrestareas.com/il-i80-interstate-80-illinois-mississippi-rapids-rest-area-eastbound-mile-marker-1/,Illinois welcome center and rest area on I-80 eastbound near mile marker 1 (about 1 mile east of the Iowa line) with truck and car parking and restrooms.,I-80,,,,,,yes,,,,
Great Sauk Trail Rest Area,parking,,Wyanet,IL,61379,,https://www.illinoisrestareas.com/il-i80-interstate-80-illinois-great-sauk-trail-rest-area-westbound-mile-marker-51/,"24-hour Illinois rest area on both directions of I-80 near mile marker 51 (west of Princeton) with lighted, paved truck and car parking and restrooms.",I-80,,,,,,yes,,,,
I-80 Weigh Station (Quad Cities),weigh-stations,,East Moline,IL,,,https://www.coopsareopen.com/illinois-truck-scale-222.html,State truck weigh/inspection scales on I-80 in the East Moline/Quad Cities area near the Iowa line (eastbound and westbound facilities).,I-80,,,,,,,,,,
