name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #417,truck-stops,Gary,IN,love-s-travel-stop-417-gary-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Petro Stopping Center #369 (Petro Gary),truck-stops,Gary,IN,petro-stopping-center-369-petro-gary-gary-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Gary #010,truck-stops,Gary,IN,ta-gary-010-gary-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #271,truck-stops,Gary,IN,pilot-travel-center-271-gary-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #650,truck-stops,Lake Station,IN,flying-j-travel-center-650-lake-station-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Lake Station,truck-stops,Lake Station,IN,ta-lake-station-lake-station-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mr. Fuel Travel Center,truck-stops,Lake Station,IN,mr-fuel-travel-center-lake-station-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Road Ranger - Lake Station,truck-stops,Lake Station,IN,road-ranger-lake-station-lake-station-in,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Love's Travel Stop #417,cat-scales,Gary,IN,cat-scale-at-love-s-travel-stop-417-gary-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Petro Gary #369,cat-scales,Gary,IN,cat-scale-at-petro-gary-369-gary-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at TA Gary #010,cat-scales,Gary,IN,cat-scale-at-ta-gary-010-gary-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Pilot Travel Center #271,cat-scales,Gary,IN,cat-scale-at-pilot-travel-center-271-gary-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Flying J Travel Center #650,cat-scales,Lake Station,IN,cat-scale-at-flying-j-travel-center-650-lake-station-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Mr. Fuel Travel Center,cat-scales,Lake Station,IN,cat-scale-at-mr-fuel-travel-center-lake-station-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Road Ranger Lake Station,cat-scales,Lake Station,IN,cat-scale-at-road-ranger-lake-station-lake-station-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Blue Beacon Truck Wash of Lake Station,truck-washes,Lake Station,IN,blue-beacon-truck-wash-of-lake-station-lake-station-in,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Speedco (Love's Truck Care) Gary,tire-repair,Gary,IN,speedco-love-s-truck-care-gary-gary-in,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
TA Truck Service - Gary,roadside-service,Gary,IN,ta-truck-service-gary-gary-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Petro Truck Service - Gary,roadside-service,Gary,IN,petro-truck-service-gary-gary-in,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
"George Ade Travel Plaza (Portage, Eastbound)",truck-stops,Portage,IN,george-ade-travel-plaza-portage-eastbound-portage-in,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
"J.T. McCutcheon Travel Plaza (Portage, Westbound)",truck-stops,Portage,IN,j-t-mccutcheon-travel-plaza-portage-westbound-portage-in,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
"Knute Rockne Travel Plaza (Rolling Prairie, Eastbound)",truck-stops,Rolling Prairie,IN,knute-rockne-travel-plaza-rolling-prairie-eastbound-rolling-prairie-in,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
"Wilbur Shaw Travel Plaza (Rolling Prairie, Westbound)",truck-stops,Rolling Prairie,IN,wilbur-shaw-travel-plaza-rolling-prairie-westbound-rolling-prairie-in,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
"George N. Craig Travel Plaza (Elkhart, Eastbound)",truck-stops,Elkhart,IN,george-n-craig-travel-plaza-elkhart-eastbound-elkhart-in,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
"Henry F. Schricker Travel Plaza (Elkhart, Westbound)",truck-stops,Elkhart,IN,henry-f-schricker-travel-plaza-elkhart-westbound-elkhart-in,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
