name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
"George Ade Travel Plaza (Portage, Eastbound)",truck-stops,,Portage,IN,46368,,https://www.indianatollroad.org/plazas-parking/,"Eastbound Indiana Toll Road (I-80/90) service plaza at mile marker 22 with Sunoco fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 22 EB,,yes,yes,,yes,,,yes,
"J.T. McCutcheon Travel Plaza (Portage, Westbound)",truck-stops,,Portage,IN,46368,,https://www.indianatollroad.org/plazas-parking/,"Westbound Indiana Toll Road (I-80/90) service plaza at mile marker 22 with Sunoco fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 22 WB,,yes,yes,,yes,,,yes,
"Knute Rockne Travel Plaza (Rolling Prairie, Eastbound)",truck-stops,,Rolling Prairie,IN,46371,,https://www.indianatollroad.org/plazas-parking/,"Eastbound Indiana Toll Road (I-80/90) service plaza at mile marker 56 with Sunoco fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 56 EB,,yes,yes,,yes,,,yes,
"Wilbur Shaw Travel Plaza (Rolling Prairie, Westbound)",truck-stops,,Rolling Prairie,IN,46371,,https://www.indianatollroad.org/plazas-parking/,"Westbound Indiana Toll Road (I-80/90) service plaza at mile marker 56 with Sunoco/BP fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 56 WB,,yes,yes,,yes,,,yes,
"George N. Craig Travel Plaza (Elkhart, Eastbound)",truck-stops,,Elkhart,IN,46514,,https://www.indianatollroad.org/plazas-parking/,"Eastbound Indiana Toll Road (I-80/90) service plaza at mile marker 90 with Sunoco fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 90 EB,,yes,yes,,yes,,,yes,
"Henry F. Schricker Travel Plaza (Elkhart, Westbound)",truck-stops,,Elkhart,IN,46514,,https://www.indianatollroad.org/plazas-parking/,"Westbound Indiana Toll Road (I-80/90) service plaza at mile marker 90 with Sunoco fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 90 WB,,yes,yes,,yes,,,yes,
"Gene S. Porter Travel Plaza (Howe, Eastbound)",truck-stops,,Howe,IN,46746,,https://www.indianatollroad.org/plazas-parking/,"Eastbound Indiana Toll Road (I-80/90) service plaza at mile marker 126 with Sunoco fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 126 EB,,yes,yes,,yes,,,yes,
"Ernie Pyle Travel Plaza (Howe, Westbound)",truck-stops,5000 E 750 N,Howe,IN,46746,,https://www.indianatollroad.org/plazas-parking/,"Westbound Indiana Toll Road (I-80/90) service plaza at mile marker 126 with Sunoco fuel, HMSHost dining, restrooms and truck parking.",I-80,MM 126 WB,,yes,yes,,yes,,,yes,
Pilot Travel Center #35,truck-stops,6424 W Brick Rd,South Bend,IN,46628,574-272-8212,https://locations.pilotflyingj.com/us/in/south-bend/6424-w-brick-rd,"Full-service truck stop at Indiana Toll Road (I-80/90) Exit 72 (US-31) with 70 truck parking spaces, 8 diesel lanes, showers, Subway and a CAT Scale.",I-80,72,yes,yes,yes,,yes,,yes,yes,
Speedway (Toll Road Exit 72),truck-stops,6161 W Brick Rd,South Bend,IN,46628,,,"Fuel and convenience stop at Indiana Toll Road (I-80/90) Exit 72 (US-31) with about 25 truck parking spaces, 5 diesel lanes, deli and bulk DEF.",I-80,72,,yes,yes,,yes,,,,
Yoder Truck Stop,truck-stops,1125 Kent St,Elkhart,IN,46514,574-264-7867,,"Independent Yoder Oil truck stop on SR-19 near Indiana Toll Road (I-80/90) Exit 92 with truck parking, showers, laundry, deli and trucker lounge.",I-80,92,yes,yes,yes,yes,yes,,,,
Pilot Travel Center #35 CAT Scale,cat-scales,6424 W Brick Rd,South Bend,IN,46628,574-272-8212,https://catscale.com/cat-scale-locator/,CAT Scale certified truck scale at the Pilot Travel Center at Indiana Toll Road (I-80/90) Exit 72 in South Bend.,I-80,72,,,,,,,yes,,
Marv's Truck Service & Wash,truck-washes,1117 Kent St,Elkhart,IN,46514,574-264-9988,,Independent semi truck wash and truck service on SR-19 near Indiana Toll Road (I-80/90) Exit 92 in Elkhart.,I-80,92,,,,,,yes,,,
