name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #417,truck-stops,3150 Grant St,Gary,IN,46408,219-981-4646,https://www.loves.com/locations/417,"24-hour Love's travel center on Grant Street just off the I-80/94 Borman Expressway with about 154 truck parking spaces, fuel, showers and an on-site CAT Scale.",I-80,9,yes,yes,yes,,yes,yes,yes,yes,
Petro Stopping Center #369 (Petro Gary),truck-stops,3001 Grant St,Gary,IN,46408,219-884-1133,https://www.ta-petro.com/location/in/petro-gary/,"Large TravelCenters of America Petro stop on Grant Street off the I-80/94 Borman Expressway with roughly 405 truck spaces, TA Truck Service bays and a CAT Scale.",I-80,9-A,yes,yes,yes,yes,yes,yes,yes,yes,
TA Gary #010,truck-stops,2510 Burr St,Gary,IN,46406,219-845-3721,https://www.ta-petro.com/location/in/ta-gary/,"TravelCenters of America travel center on Burr Street off the I-80/94 Borman Expressway with about 318 truck spaces, fuel, showers and a full truck-service shop.",I-80,6,yes,yes,yes,yes,yes,yes,yes,yes,
Pilot Travel Center #271,truck-stops,2501 Burr St,Gary,IN,46406,219-844-2661,https://locations.pilotflyingj.com/us/in/gary/2501-burr-st,"24-hour Pilot travel center on Burr Street off the I-80/94 Borman Expressway with about 215 truck spaces, fuel, showers and an on-site CAT Scale.",I-80,6,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #650,truck-stops,1401 Ripley St,Lake Station,IN,46405,219-962-6555,https://locations.pilotflyingj.com/us/in/lake-station/1401-ripley-street,"Major Flying J travel plaza on Ripley Street near the I-80/90 split at Lake Station with roughly 375 truck spaces, a Boss Shop, laundry, truck wash and CAT Scale.",I-80,15B,yes,yes,yes,yes,yes,yes,yes,yes,
TA Lake Station,truck-stops,1201 Ripley St,Lake Station,IN,46405,219-962-6552,https://www.ta-petro.com/location/in/ta-lake-station/,"TravelCenters of America travel center on Ripley Street at Lake Station off the I-80/94 corridor with about 252 truck spaces, fuel, showers and laundry.",I-80,15B,yes,yes,yes,yes,yes,,,yes,
Mr. Fuel Travel Center,truck-stops,1235 Ripley St,Lake Station,IN,46405,219-962-1110,https://locations.pilotflyingj.com/us/in/lake-station/1235-ripley-st,"Independent One9/Roadys-affiliated travel center on Ripley Street at Lake Station (former Blue Ox Travel Plaza) with diesel, showers, truck wash and CAT Scale.",I-80,15B,yes,yes,yes,,yes,,yes,yes,
Road Ranger - Lake Station,truck-stops,2151 Ripley St,Lake Station,IN,46405,219-962-5025,https://www.roadrangerusa.com/node/138,"Road Ranger fuel stop on Ripley Street at Lake Station off the I-80/94 corridor with diesel lanes, showers, Subway, truck wash and CAT Scale.",I-80,15B,yes,yes,yes,,yes,,yes,yes,
CAT Scale at Love's Travel Stop #417,cat-scales,3150 Grant St,Gary,IN,46408,219-981-4646,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Love's Travel Stop on Grant Street off the I-80/94 Borman Expressway.,I-80,9,,,,,,,yes,,
CAT Scale at Petro Gary #369,cat-scales,3001 Grant St,Gary,IN,46408,219-884-1133,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Petro Gary travel center on Grant Street off the I-80/94 Borman Expressway.,I-80,9-A,,,,,,,yes,,
