name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Council Bluffs,truck-stops,Council Bluffs,IA,ta-council-bluffs-council-bluffs-ia,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #329,truck-stops,Council Bluffs,IA,pilot-travel-center-329-council-bluffs-ia,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sapp Bros Council Bluffs Travel Center,truck-stops,Council Bluffs,IA,sapp-bros-council-bluffs-travel-center-council-bluffs-ia,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #426,truck-stops,Shelby,IA,love-s-travel-stop-426-shelby-ia,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Casey's Travel Center - Stuart,truck-stops,Stuart,IA,casey-s-travel-center-stuart-stuart-ia,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #411,truck-stops,Clive,IA,love-s-travel-stop-411-clive-ia,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #373,truck-stops,Des Moines,IA,pilot-travel-center-373-des-moines-ia,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #913,truck-stops,Altoona,IA,flying-j-travel-center-913-altoona-ia,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kum & Go #32 Colfax,truck-stops,Colfax,IA,kum-go-32-colfax-colfax-ia,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #361,truck-stops,Newton,IA,love-s-travel-stop-361-newton-ia,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - Pilot Travel Center #329,cat-scales,Council Bluffs,IA,cat-scale-pilot-travel-center-329-council-bluffs-ia,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
