name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Conoco (Kimball),truck-stops,Kimball,NE,conoco-kimball-kimball-ne,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #625,truck-stops,Sidney,NE,love-s-travel-stop-625-sidney-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sapp Bros Travel Center - Sidney,truck-stops,Sidney,NE,sapp-bros-travel-center-sidney-sidney-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Truck Care (Sidney),tire-repair,Sidney,NE,love-s-truck-care-sidney-sidney-ne,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Flying J Travel Center #904,truck-stops,Big Springs,NE,flying-j-travel-center-904-big-springs-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Big Springs Truck & Travel,truck-stops,Big Springs,NE,big-springs-truck-travel-big-springs-ne,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sapp Bros Travel Center - Ogallala,truck-stops,Ogallala,NE,sapp-bros-travel-center-ogallala-ogallala-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Ogallala #090,truck-stops,Ogallala,NE,ta-ogallala-090-ogallala-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Fat Dogs (Ogallala),truck-stops,Ogallala,NE,fat-dogs-ogallala-ogallala-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #390,truck-stops,North Platte,NE,love-s-travel-stop-390-north-platte-ne,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #687,truck-stops,North Platte,NE,flying-j-travel-center-687-north-platte-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pump & Pantry #39,truck-stops,North Platte,NE,pump-pantry-39-north-platte-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's CAT Scale (Sidney),cat-scales,Sidney,NE,love-s-cat-scale-sidney-sidney-ne,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
TA CAT Scale (Ogallala),cat-scales,Ogallala,NE,ta-cat-scale-ogallala-ogallala-ne,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Verified date; Approved reviews
Love's CAT Scale (North Platte),cat-scales,North Platte,NE,love-s-cat-scale-north-platte-north-platte-ne,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Flying J CAT Scale (North Platte),cat-scales,North Platte,NE,flying-j-cat-scale-north-platte-north-platte-ne,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Bosselman Boss Truck Shop #18,tire-repair,North Platte,NE,bosselman-boss-truck-shop-18-north-platte-ne,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Red Arrow Truck & RV Wash,truck-washes,North Platte,NE,red-arrow-truck-rv-wash-north-platte-ne,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Website; Amenities; Verified date; Approved reviews
North Platte Weigh Station (I-80),weigh-stations,North Platte,NE,north-platte-weigh-station-i-80-north-platte-ne,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Kimball Rest Area (Eastbound),parking,Bushnell,NE,kimball-rest-area-eastbound-bushnell-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kimball Rest Area (Westbound),parking,Kimball,NE,kimball-rest-area-westbound-kimball-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sidney Rest Area (Eastbound),parking,Sidney,NE,sidney-rest-area-eastbound-sidney-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Ogallala Rest Area (Eastbound),parking,Ogallala,NE,ogallala-rest-area-eastbound-ogallala-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Ogallala Rest Area (Westbound),parking,Ogallala,NE,ogallala-rest-area-westbound-ogallala-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sutherland Rest Area (Eastbound),parking,Sutherland,NE,sutherland-rest-area-eastbound-sutherland-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Cubby's Gothenburg Truck Plaza,truck-stops,Gothenburg,NE,cubby-s-gothenburg-truck-plaza-gothenburg-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Nebraskaland Tire Truck Center,tire-repair,Lexington,NE,nebraskaland-tire-truck-center-lexington-ne,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Sapp Bros Travel Center - Odessa,truck-stops,Odessa,NE,sapp-bros-travel-center-odessa-odessa-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kearney Welcome Center (Rest Area),parking,Kearney,NE,kearney-welcome-center-rest-area-kearney-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Fort Kearney Trading Post,truck-stops,Kearney,NE,fort-kearney-trading-post-kearney-ne,,53,Needs work,needs-geocoding,,import-unpublished,completeness 53 — enrich before publishing,ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #912,truck-stops,Wood River,NE,pilot-travel-center-912-wood-river-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Grand Island,truck-stops,Alda,NE,ta-grand-island-alda-ne,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Grand Island Rest Area,parking,Grand Island,NE,grand-island-rest-area-grand-island-ne,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Bosselman Travel Center / Pilot #902,truck-stops,Grand Island,NE,bosselman-travel-center-pilot-902-grand-island-ne,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
